ensembl_id	species	gene_symbol	ens_orthogroup_id	ens_hqorthogroup_id	species_code
ENSMFAG00000000123	macaque		OG_01949	HQ_00519	MACFA
ENSMFAG00000000124	macaque	CSPG5	OG_05520	HQ_03973	MACFA
ENSMFAG00000000125	macaque	RPRD1A	OG_08365	HQ_06777	MACFA
ENSMFAG00000000127	macaque	SLC22A7	OG_07833	HQ_06250	MACFA
ENSMFAG00000000128	macaque	RAP1GDS1	OG_08050	HQ_06461	MACFA
ENSMFAG00000000129	macaque	PLA2G7	OG_08893	HQ_07296	MACFA
ENSMFAG00000000130	macaque	DIDO1	OG_04091	HQ_13597	MACFA
ENSMFAG00000000131	macaque	SLC2A8	OG_07774	HQ_06192	MACFA
ENSMFAG00000000132	macaque	PPP2R1A	OG_04594	HQ_03036	MACFA
ENSMFAG00000000133	macaque	ENTPD6	OG_14130	HQ_12290	MACFA
ENSMFAG00000000134	macaque	DLK2	OG_11947	HQ_10233	MACFA
ENSMFAG00000000136	macaque	BRS3	OG_04234	HQ_02684	MACFA
ENSMFAG00000000137	macaque		OG_01948	HQ_SNG_001569	MACFA
ENSMFAG00000000138	macaque	RPTOR	OG_08395	HQ_06806	MACFA
ENSMFAG00000000139	macaque	ARIH2	OG_12653	HQ_10913	MACFA
ENSMFAG00000000140	macaque	ADCY8	OG_09721	HQ_08101	MACFA
ENSMFAG00000000141	macaque	PCLO	OG_01946	HQ_15463	MACFA
ENSMFAG00000000142	macaque	TMCC3	OG_02782	HQ_01219	MACFA
ENSMFAG00000000143	macaque	EIF4EBP2	OG_01592	HQ_07520	MACFA
ENSMFAG00000000144	macaque	HUS1	OG_07706	HQ_06125	MACFA
ENSMFAG00000000145	macaque	SLC25A3	OG_03209	HQ_13472	MACFA
ENSMFAG00000000146	macaque	BAG6	OG_14487	HQ_12628	MACFA
ENSMFAG00000000147	macaque	MFNG	OG_03876	HQ_02319	MACFA
ENSMFAG00000000149	macaque	HK3	OG_10188	HQ_08538	MACFA
ENSMFAG00000000150	macaque	PCBD1	OG_01730	HQ_00443	MACFA
ENSMFAG00000000151	macaque	DAB2	OG_09498	HQ_07885	MACFA
ENSMFAG00000000154	macaque	SGSM2	OG_08343	HQ_06757	MACFA
ENSMFAG00000000155	macaque	MECR	OG_05726	HQ_04180	MACFA
ENSMFAG00000000157	macaque		OG_01404	HQ_SNG_001570	MACFA
ENSMFAG00000000158	macaque	SAXO1	OG_09716	HQ_08096	MACFA
ENSMFAG00000000159	macaque		OG_00369	HQ_00170	MACFA
ENSMFAG00000000160	macaque		OG_10230	HQ_SNG_001571	MACFA
ENSMFAG00000000162	macaque	PDE4B	OG_13352	HQ_11568	MACFA
ENSMFAG00000000163	macaque	MYH7	OG_03723	HQ_02162	MACFA
ENSMFAG00000000164	macaque	NAA11	OG_17628	HQ_16526	MACFA
ENSMFAG00000000165	macaque	CEP120	OG_11586	HQ_09888	MACFA
ENSMFAG00000000166	macaque	SCGN	OG_03349	HQ_01786	MACFA
ENSMFAG00000000167	macaque	PPFIA4	OG_08644	HQ_07049	MACFA
ENSMFAG00000000168	macaque	C1RL	OG_08103	HQ_06514	MACFA
ENSMFAG00000000170	macaque	CFTR	OG_02164	HQ_00603	MACFA
ENSMFAG00000000172	macaque	OPN5	OG_06501	HQ_04940	MACFA
ENSMFAG00000000173	macaque	QSOX2	OG_10999	HQ_09320	MACFA
ENSMFAG00000000174	macaque	SOS2	OG_03985	HQ_02430	MACFA
ENSMFAG00000000176	macaque	CTBP1	OG_10068	HQ_08436	MACFA
ENSMFAG00000000178	macaque	SIRT5	OG_06463	HQ_04902	MACFA
ENSMFAG00000000179	macaque	KIFC3	OG_08305	HQ_06719	MACFA
ENSMFAG00000000180	macaque	CCN1	OG_08496	HQ_06900	MACFA
ENSMFAG00000000182	macaque	OR4Q2	OG_13953	HQ_15580	MACFA
ENSMFAG00000000183	macaque	NFATC4	OG_04051	HQ_02504	MACFA
ENSMFAG00000000184	macaque	USH1C	OG_02257	HQ_00702	MACFA
ENSMFAG00000000185	macaque	KCNMB3	OG_11903	HQ_10190	MACFA
ENSMFAG00000000186	macaque	COL28A1	OG_14748	HQ_12865	MACFA
ENSMFAG00000000188	macaque	NEB	OG_13171	HQ_11397	MACFA
ENSMFAG00000000189	macaque	MINPP1	OG_04847	HQ_03288	MACFA
ENSMFAG00000000191	macaque	DEFB136	OG_14596	HQ_15772	MACFA
ENSMFAG00000000192	macaque	EPHA6	OG_03361	HQ_01798	MACFA
ENSMFAG00000000193	macaque		OG_SNG_000949	HQ_SNG_001572	MACFA
ENSMFAG00000000195	macaque	NAALADL2	OG_12680	HQ_10936	MACFA
ENSMFAG00000000196	macaque		OG_02082	HQ_00567	MACFA
ENSMFAG00000000197	macaque		OG_01130	HQ_SNG_001573	MACFA
ENSMFAG00000000198	macaque	ABHD16A	OG_14481	HQ_12622	MACFA
ENSMFAG00000000199	macaque	ZNF573	OG_18772	HQ_18188	MACFA
ENSMFAG00000000200	macaque	SIGLECL1	OG_17780	HQ_18041	MACFA
ENSMFAG00000000201	macaque	NIPA2	OG_08222	HQ_06631	MACFA
ENSMFAG00000000202	macaque	ACOT12	OG_12089	HQ_10374	MACFA
ENSMFAG00000000203	macaque	PDLIM3	OG_09619	HQ_08002	MACFA
ENSMFAG00000000204	macaque	CASP4	OG_07901	HQ_06314	MACFA
ENSMFAG00000000205	macaque	ACTA2	OG_04848	HQ_03289	MACFA
ENSMFAG00000000206	macaque	FAM91A1	OG_12576	HQ_10843	MACFA
ENSMFAG00000000207	macaque	IGSF6	OG_08294	HQ_06709	MACFA
ENSMFAG00000000208	macaque		OG_09904	HQ_SNG_001574	MACFA
ENSMFAG00000000209	macaque	ATP1A3	OG_04572	HQ_03019	MACFA
ENSMFAG00000000210	macaque	SIGLEC5	OG_15018	HQ_17225	MACFA
ENSMFAG00000000211	macaque	TTLL4	OG_07636	HQ_06052	MACFA
ENSMFAG00000000212	macaque	RCAN1	OG_10026	HQ_08396	MACFA
ENSMFAG00000000214	macaque		OG_13450	HQ_SNG_001575	MACFA
ENSMFAG00000000216	macaque	ZSCAN29	OG_08227	HQ_14301	MACFA
ENSMFAG00000000217	macaque	ITGB8	OG_04652	HQ_03092	MACFA
ENSMFAG00000000218	macaque	PEX26	OG_14754	HQ_12870	MACFA
ENSMFAG00000000220	macaque	MFF	OG_11589	HQ_09890	MACFA
ENSMFAG00000000221	macaque	FNDC4	OG_05584	HQ_04037	MACFA
ENSMFAG00000000222	macaque		OG_01106	HQ_00657	MACFA
ENSMFAG00000000225	macaque	PARP6	OG_07916	HQ_06329	MACFA
ENSMFAG00000000226	macaque	EMC1	OG_06728	HQ_05161	MACFA
ENSMFAG00000000228	macaque	AMPH	OG_03294	HQ_01733	MACFA
ENSMFAG00000000229	macaque	IL6	OG_07699	HQ_16429	MACFA
ENSMFAG00000000230	macaque		OG_00895	HQ_SNG_001576	MACFA
ENSMFAG00000000231	macaque	TIMM17A	OG_07419	HQ_05833	MACFA
ENSMFAG00000000232	macaque	MAMLD1	OG_15337	HQ_13359	MACFA
ENSMFAG00000000234	macaque	NBEAL2	OG_10178	HQ_08531	MACFA
ENSMFAG00000000235	macaque	IL9R	OG_06445	HQ_04883	MACFA
ENSMFAG00000000236	macaque	DOCK11	OG_08997	HQ_07397	MACFA
ENSMFAG00000000237	macaque	RFX3	OG_03363	HQ_01800	MACFA
ENSMFAG00000000238	macaque	ARMC2	OG_05930	HQ_04389	MACFA
ENSMFAG00000000239	macaque	PLIN4	OG_11372	HQ_14858	MACFA
ENSMFAG00000000240	macaque	PHPT1	OG_17447	HQ_16190	MACFA
ENSMFAG00000000241	macaque	FMR1	OG_04217	HQ_02666	MACFA
ENSMFAG00000000242	macaque	SELENOO	OG_03138	HQ_01572	MACFA
ENSMFAG00000000244	macaque	TMEM219	OG_09229	HQ_07624	MACFA
ENSMFAG00000000246	macaque	TRO	OG_02964	HQ_16196	MACFA
ENSMFAG00000000247	macaque		OG_16948	HQ_15713	MACFA
ENSMFAG00000000248	macaque	PLIN5	OG_14724	HQ_12847	MACFA
ENSMFAG00000000249	macaque	KICS2	OG_12304	HQ_10575	MACFA
ENSMFAG00000000250	macaque	SLC29A3	OG_14222	HQ_12386	MACFA
ENSMFAG00000000251	macaque	NSMCE4A	OG_04839	HQ_03279	MACFA
ENSMFAG00000000252	macaque	NPTXR	OG_14796	HQ_12899	MACFA
ENSMFAG00000000253	macaque	KLHDC4	OG_04472	HQ_02927	MACFA
ENSMFAG00000000255	macaque	CLCC1	OG_06220	HQ_04668	MACFA
ENSMFAG00000000256	macaque	LCA5	OG_07538	HQ_05950	MACFA
ENSMFAG00000000257	macaque		OG_01814	HQ_00471	MACFA
ENSMFAG00000000258	macaque	PREX1	OG_06405	HQ_04846	MACFA
ENSMFAG00000000259	macaque	OCIAD2	OG_08798	HQ_07204	MACFA
ENSMFAG00000000260	macaque		OG_15416	HQ_16203	MACFA
ENSMFAG00000000263	macaque	TRIM23	OG_05439	HQ_03888	MACFA
ENSMFAG00000000265	macaque	ZMYND10	OG_02196	HQ_00639	MACFA
ENSMFAG00000000267	macaque	ABRAXAS1	OG_10491	HQ_08818	MACFA
ENSMFAG00000000268	macaque		OG_01751	HQ_00450	MACFA
ENSMFAG00000000269	macaque	MMGT1	OG_00946	HQ_09965	MACFA
ENSMFAG00000000271	macaque	ABL1	OG_03809	HQ_02248	MACFA
ENSMFAG00000000272	macaque		OG_01592	HQ_SNG_001577	MACFA
ENSMFAG00000000273	macaque	CDS2	OG_04114	HQ_02566	MACFA
ENSMFAG00000000274	macaque	RBMS1	OG_09517	HQ_07904	MACFA
ENSMFAG00000000275	macaque	AIFM1	OG_09792	HQ_08169	MACFA
ENSMFAG00000000277	macaque	APOBEC1	OG_05226	HQ_03681	MACFA
ENSMFAG00000000278	macaque	RABEP2	OG_12661	HQ_10921	MACFA
ENSMFAG00000000279	macaque	MAPRE3	OG_03482	HQ_01921	MACFA
ENSMFAG00000000281	macaque	EPB41L4A	OG_06901	HQ_05332	MACFA
ENSMFAG00000000282	macaque	PSD	OG_02807	HQ_01241	MACFA
ENSMFAG00000000283	macaque	PLCG1	OG_06416	HQ_04856	MACFA
ENSMFAG00000000284	macaque	PPP1R36	OG_11032	HQ_09354	MACFA
ENSMFAG00000000285	macaque	KLHL22	OG_03847	HQ_02291	MACFA
ENSMFAG00000000286	macaque	TBC1D19	OG_05032	HQ_03486	MACFA
ENSMFAG00000000287	macaque	TAC1	OG_15317	HQ_13331	MACFA
ENSMFAG00000000289	macaque	FAM13B	OG_02536	HQ_00974	MACFA
ENSMFAG00000000290	macaque	DIPK1A	OG_09616	HQ_08000	MACFA
ENSMFAG00000000291	macaque	MYOZ2	OG_12074	HQ_10359	MACFA
ENSMFAG00000000292	macaque	KHSRP	OG_01182	HQ_02016	MACFA
ENSMFAG00000000294	macaque	C1orf105	OG_12969	HQ_11208	MACFA
ENSMFAG00000000295	macaque	CWH43	OG_04997	HQ_03448	MACFA
ENSMFAG00000000296	macaque		OG_01386	HQ_SNG_001578	MACFA
ENSMFAG00000000298	macaque		OG_SNG_000950	HQ_SNG_001579	MACFA
ENSMFAG00000000302	macaque	HSBP1	OG_17997	HQ_17135	MACFA
ENSMFAG00000000304	macaque	ASPA	OG_04904	HQ_03348	MACFA
ENSMFAG00000000305	macaque	PPP1R13B	OG_03597	HQ_02032	MACFA
ENSMFAG00000000306	macaque		OG_01671	HQ_17865	MACFA
ENSMFAG00000000307	macaque	UBE2A	OG_03286	HQ_01725	MACFA
ENSMFAG00000000308	macaque	FNDC8	OG_03145	HQ_01581	MACFA
ENSMFAG00000000309	macaque	HDGFL2	OG_11371	HQ_09683	MACFA
ENSMFAG00000000310	macaque	PCSK9	OG_11616	HQ_09917	MACFA
ENSMFAG00000000312	macaque	CHRNA4	OG_04098	HQ_02550	MACFA
ENSMFAG00000000314	macaque		OG_02028	HQ_SNG_001580	MACFA
ENSMFAG00000000316	macaque	ST18	OG_09022	HQ_07420	MACFA
ENSMFAG00000000317	macaque	INAVA	OG_10499	HQ_08826	MACFA
ENSMFAG00000000318	macaque	CRMP1	OG_03124	HQ_01560	MACFA
ENSMFAG00000000319	macaque	MAFF	OG_13402	HQ_11612	MACFA
ENSMFAG00000000321	macaque	ZNF684	OG_17517	HQ_16320	MACFA
ENSMFAG00000000322	macaque		OG_00020	HQ_00438	MACFA
ENSMFAG00000000323	macaque	MYH6	OG_14138	HQ_12298	MACFA
ENSMFAG00000000324	macaque	CR1L	OG_18798	HQ_18226	MACFA
ENSMFAG00000000325	macaque		OG_SNG_000951	HQ_SNG_001581	MACFA
ENSMFAG00000000326	macaque	TNFAIP3	OG_05914	HQ_04372	MACFA
ENSMFAG00000000327	macaque	GRK4	OG_06531	HQ_04969	MACFA
ENSMFAG00000000328	macaque	SLC30A3	OG_05578	HQ_13824	MACFA
ENSMFAG00000000329	macaque	SCARB1	OG_03134	HQ_01569	MACFA
ENSMFAG00000000330	macaque	TSHB	OG_07387	HQ_05797	MACFA
ENSMFAG00000000331	macaque	CCDC146	OG_07518	HQ_05929	MACFA
ENSMFAG00000000334	macaque	MAP7D3	OG_15771	HQ_17737	MACFA
ENSMFAG00000000335	macaque	CCL21	OG_00475	HQ_00089	MACFA
ENSMFAG00000000337	macaque	NIM1K	OG_12647	HQ_10908	MACFA
ENSMFAG00000000338	macaque	LNX1	OG_03105	HQ_01540	MACFA
ENSMFAG00000000341	macaque	JMJD1C	OG_12021	HQ_10304	MACFA
ENSMFAG00000000344	macaque	G6PC1	OG_15817	HQ_14113	MACFA
ENSMFAG00000000345	macaque	IARS2	OG_02968	HQ_01405	MACFA
ENSMFAG00000000346	macaque	HAAO	OG_10412	HQ_08741	MACFA
ENSMFAG00000000347	macaque	POP1	OG_04433	HQ_02889	MACFA
ENSMFAG00000000348	macaque	PPP1R3C	OG_06040	HQ_04499	MACFA
ENSMFAG00000000349	macaque	CXCR6	OG_12050	HQ_10334	MACFA
ENSMFAG00000000350	macaque	ARHGAP5	OG_04040	HQ_02489	MACFA
ENSMFAG00000000351	macaque		OG_00198	HQ_SNG_001582	MACFA
ENSMFAG00000000353	macaque	GCH1	OG_07143	HQ_05560	MACFA
ENSMFAG00000000354	macaque	NABP2	OG_08153	HQ_06564	MACFA
ENSMFAG00000000355	macaque	E2F7	OG_11043	HQ_09365	MACFA
ENSMFAG00000000356	macaque	EIF4EBP1	OG_13726	HQ_16922	MACFA
ENSMFAG00000000357	macaque	COLEC12	OG_09938	HQ_08313	MACFA
ENSMFAG00000000358	macaque	FAM227A	OG_13387	HQ_15402	MACFA
ENSMFAG00000000361	macaque	GPR142	OG_15040	HQ_13121	MACFA
ENSMFAG00000000362	macaque		OG_00020	HQ_00438	MACFA
ENSMFAG00000000363	macaque	GJE1	OG_14391	HQ_12547	MACFA
ENSMFAG00000000364	macaque	ZNF248	OG_14208	HQ_12372	MACFA
ENSMFAG00000000365	macaque	SEMA3C	OG_03195	HQ_01633	MACFA
ENSMFAG00000000366	macaque	RPLP1	OG_00477	HQ_14249	MACFA
ENSMFAG00000000367	macaque		OG_19002	HQ_SNG_001583	MACFA
ENSMFAG00000000368	macaque	TMC8	OG_11408	HQ_09718	MACFA
ENSMFAG00000000369	macaque	LRIT1	OG_09110	HQ_07506	MACFA
ENSMFAG00000000370	macaque	PLEK2	OG_03996	HQ_02443	MACFA
ENSMFAG00000000371	macaque		OG_00218	HQ_SNG_001584	MACFA
ENSMFAG00000000372	macaque	NEPRO	OG_10564	HQ_08889	MACFA
ENSMFAG00000000374	macaque	ATXN2	OG_14524	HQ_12658	MACFA
ENSMFAG00000000375	macaque	ADAMTS4	OG_09996	HQ_08368	MACFA
ENSMFAG00000000376	macaque	SYCP2	OG_13907	HQ_12084	MACFA
ENSMFAG00000000377	macaque	CENPV	OG_00493	HQ_09508	MACFA
ENSMFAG00000000378	macaque	SMCO1	OG_14707	HQ_12831	MACFA
ENSMFAG00000000379	macaque	UBE2N	OG_12691	HQ_15169	MACFA
ENSMFAG00000000382	macaque		OG_19003	HQ_SNG_001585	MACFA
ENSMFAG00000000383	macaque	FANCM	OG_13719	HQ_11908	MACFA
ENSMFAG00000000386	macaque	GCHFR	OG_15915	HQ_14253	MACFA
ENSMFAG00000000387	macaque	DNAAF8	OG_16275	HQ_16604	MACFA
ENSMFAG00000000388	macaque	EPB41L5	OG_05567	HQ_04020	MACFA
ENSMFAG00000000389	macaque	RREB1	OG_01418	HQ_13963	MACFA
ENSMFAG00000000391	macaque	HSPB11	OG_03408	HQ_01846	MACFA
ENSMFAG00000000392	macaque	ATF4	OG_06783	HQ_05214	MACFA
ENSMFAG00000000393	macaque	ACP2	OG_07445	HQ_05855	MACFA
ENSMFAG00000000394	macaque		OG_00172	HQ_18554	MACFA
ENSMFAG00000000395	macaque	BRAT1	OG_04682	HQ_03122	MACFA
ENSMFAG00000000398	macaque	WDR87	OG_16396	HQ_17969	MACFA
ENSMFAG00000000399	macaque		OG_00073	HQ_04720	MACFA
ENSMFAG00000000402	macaque	CTSK	OG_08576	HQ_06977	MACFA
ENSMFAG00000000405	macaque	MYDGF	OG_03184	HQ_01620	MACFA
ENSMFAG00000000406	macaque	OSGIN1	OG_08316	HQ_06729	MACFA
ENSMFAG00000000407	macaque	GPR156	OG_12472	HQ_10744	MACFA
ENSMFAG00000000408	macaque	THAP3	OG_02617	HQ_01057	MACFA
ENSMFAG00000000409	macaque		OG_00638	HQ_00406	MACFA
ENSMFAG00000000410	macaque	BROX	OG_10404	HQ_08732	MACFA
ENSMFAG00000000412	macaque	CA3	OG_10856	HQ_09177	MACFA
ENSMFAG00000000413	macaque	SMARCD1	OG_02924	HQ_01361	MACFA
ENSMFAG00000000414	macaque	NKTR	OG_05545	HQ_03997	MACFA
ENSMFAG00000000415	macaque	MAP3K11	OG_12198	HQ_10479	MACFA
ENSMFAG00000000416	macaque	CNST	OG_10408	HQ_08736	MACFA
ENSMFAG00000000418	macaque	ZMYND11	OG_02432	HQ_00873	MACFA
ENSMFAG00000000419	macaque		OG_01032	HQ_00258	MACFA
ENSMFAG00000000420	macaque		OG_SNG_000952	HQ_SNG_001586	MACFA
ENSMFAG00000000421	macaque	GRK5	OG_14346	HQ_12508	MACFA
ENSMFAG00000000423	macaque	SLC15A5	OG_13857	HQ_12039	MACFA
ENSMFAG00000000424	macaque	NDE1	OG_03128	HQ_01564	MACFA
ENSMFAG00000000425	macaque	MINAR1	OG_11647	HQ_09947	MACFA
ENSMFAG00000000426	macaque	CHUK	OG_14655	HQ_12779	MACFA
ENSMFAG00000000427	macaque	ANKAR	OG_09358	HQ_07756	MACFA
ENSMFAG00000000428	macaque	ZNF410	OG_06016	HQ_04474	MACFA
ENSMFAG00000000429	macaque	KPNA6	OG_02507	HQ_00948	MACFA
ENSMFAG00000000431	macaque	C17orf75	OG_01304	HQ_03385	MACFA
ENSMFAG00000000432	macaque	FBXL7	OG_13223	HQ_11445	MACFA
ENSMFAG00000000433	macaque	RNF175	OG_18574	HQ_17794	MACFA
ENSMFAG00000000434	macaque	SAP30BP	OG_10227	HQ_08574	MACFA
ENSMFAG00000000435	macaque	ZNF169	OG_12480	HQ_10751	MACFA
ENSMFAG00000000436	macaque	MAGEA1	OG_18811	HQ_18253	MACFA
ENSMFAG00000000437	macaque	CAT	OG_06196	HQ_04645	MACFA
ENSMFAG00000000438	macaque	C6orf136	OG_16963	HQ_15733	MACFA
ENSMFAG00000000440	macaque		OG_00600	HQ_SNG_001587	MACFA
ENSMFAG00000000442	macaque	PAX8	OG_15721	HQ_13975	MACFA
ENSMFAG00000000443	macaque	RBM18	OG_05978	HQ_04437	MACFA
ENSMFAG00000000444	macaque	EPS15L1	OG_06734	HQ_05167	MACFA
ENSMFAG00000000447	macaque	DOCK2	OG_01483	HQ_05848	MACFA
ENSMFAG00000000448	macaque	SGCE	OG_06765	HQ_05197	MACFA
ENSMFAG00000000449	macaque	HSD3B2	OG_00128	HQ_00010	MACFA
ENSMFAG00000000450	macaque	ERP27	OG_08090	HQ_06499	MACFA
ENSMFAG00000000451	macaque	GALK2	OG_09809	HQ_08187	MACFA
ENSMFAG00000000452	macaque	NUBP1	OG_15508	HQ_13634	MACFA
ENSMFAG00000000453	macaque	ZNF800	OG_02662	HQ_01105	MACFA
ENSMFAG00000000454	macaque	FAM199X	OG_06369	HQ_04813	MACFA
ENSMFAG00000000455	macaque	HSPA1L	OG_14472	HQ_12614	MACFA
ENSMFAG00000000456	macaque	HAND1	OG_05397	HQ_03848	MACFA
ENSMFAG00000000457	macaque	PCCB	OG_05477	HQ_03928	MACFA
ENSMFAG00000000458	macaque	LCTL	OG_13787	HQ_11970	MACFA
ENSMFAG00000000459	macaque	EFNA5	OG_13317	HQ_11537	MACFA
ENSMFAG00000000462	macaque	IGSF22	OG_18689	HQ_18035	MACFA
ENSMFAG00000000464	macaque	RCOR3	OG_05856	HQ_04316	MACFA
ENSMFAG00000000465	macaque	AGAP2	OG_07559	HQ_05971	MACFA
ENSMFAG00000000466	macaque	PRKCD	OG_10643	HQ_08968	MACFA
ENSMFAG00000000467	macaque	PAK2	OG_12920	HQ_11157	MACFA
ENSMFAG00000000468	macaque	TASOR2	OG_04878	HQ_03321	MACFA
ENSMFAG00000000469	macaque	PRIMPOL	OG_10754	HQ_09080	MACFA
ENSMFAG00000000470	macaque	CAB39	OG_07648	HQ_06063	MACFA
ENSMFAG00000000471	macaque	ROPN1L	OG_08824	HQ_07228	MACFA
ENSMFAG00000000472	macaque	MORN4	OG_11910	HQ_10198	MACFA
ENSMFAG00000000473	macaque	LGALS4	OG_11989	HQ_10272	MACFA
ENSMFAG00000000474	macaque		OG_01204	HQ_02251	MACFA
ENSMFAG00000000475	macaque	WDR46	OG_14828	HQ_12928	MACFA
ENSMFAG00000000476	macaque	KCTD9	OG_04474	HQ_02930	MACFA
ENSMFAG00000000477	macaque	ADIRF	OG_17606	HQ_16492	MACFA
ENSMFAG00000000478	macaque	PCYT2	OG_13508	HQ_11712	MACFA
