ensembl_gene_id,ensembl_transcript_id,ensembl_transcript_id_version,transcript_is_canonical,species
ENSMFAG00000000048,ENSMFAT00000029525,ENSMFAT00000029525.2,NA,macaque
ENSMFAG00000000062,ENSMFAT00000029156,ENSMFAT00000029156.2,1,macaque
ENSMFAG00000000062,ENSMFAT00000029166,ENSMFAT00000029166.2,NA,macaque
ENSMFAG00000000062,ENSMFAT00000029165,ENSMFAT00000029165.2,NA,macaque
ENSMFAG00000000062,ENSMFAT00000029152,ENSMFAT00000029152.2,NA,macaque
ENSMFAG00000000062,ENSMFAT00000097847,ENSMFAT00000097847.1,NA,macaque
ENSMFAG00000000062,ENSMFAT00000072962,ENSMFAT00000072962.1,NA,macaque
ENSMFAG00000000066,ENSMFAT00000028961,ENSMFAT00000028961.2,NA,macaque
ENSMFAG00000000066,ENSMFAT00000028957,ENSMFAT00000028957.2,1,macaque
ENSMFAG00000000066,ENSMFAT00000028959,ENSMFAT00000028959.2,NA,macaque
ENSMFAG00000000029,ENSMFAT00000000389,ENSMFAT00000000389.2,1,macaque
ENSMFAG00000000071,ENSMFAT00000028795,ENSMFAT00000028795.2,1,macaque
ENSMFAG00000000044,ENSMFAT00000029594,ENSMFAT00000029594.2,1,macaque
ENSMFAG00000000044,ENSMFAT00000029596,ENSMFAT00000029596.2,NA,macaque
ENSMFAG00000000038,ENSMFAT00000000118,ENSMFAT00000000118.2,1,macaque
ENSMFAG00000000038,ENSMFAT00000000119,ENSMFAT00000000119.2,NA,macaque
ENSMFAG00000000064,ENSMFAT00000029005,ENSMFAT00000029005.2,1,macaque
ENSMFAG00000000050,ENSMFAT00000029467,ENSMFAT00000029467.2,1,macaque
ENSMFAG00000000058,ENSMFAT00000029193,ENSMFAT00000029193.2,1,macaque
ENSMFAG00000000078,ENSMFAT00000028581,ENSMFAT00000028581.2,NA,macaque
ENSMFAG00000000078,ENSMFAT00000028561,ENSMFAT00000028561.2,NA,macaque
ENSMFAG00000000078,ENSMFAT00000085104,ENSMFAT00000085104.1,NA,macaque
ENSMFAG00000000078,ENSMFAT00000028556,ENSMFAT00000028556.2,1,macaque
ENSMFAG00000000078,ENSMFAT00000028569,ENSMFAT00000028569.2,NA,macaque
ENSMFAG00000000078,ENSMFAT00000028583,ENSMFAT00000028583.2,NA,macaque
ENSMFAG00000000078,ENSMFAT00000078961,ENSMFAT00000078961.1,NA,macaque
ENSMFAG00000000073,ENSMFAT00000028812,ENSMFAT00000028812.2,1,macaque
ENSMFAG00000000077,ENSMFAT00000028653,ENSMFAT00000028653.2,NA,macaque
ENSMFAG00000000077,ENSMFAT00000028651,ENSMFAT00000028651.2,1,macaque
ENSMFAG00000000077,ENSMFAT00000028656,ENSMFAT00000028656.2,NA,macaque
ENSMFAG00000000077,ENSMFAT00000028659,ENSMFAT00000028659.2,NA,macaque
ENSMFAG00000000042,ENSMFAT00000029641,ENSMFAT00000029641.2,1,macaque
ENSMFAG00000000042,ENSMFAT00000029640,ENSMFAT00000029640.2,NA,macaque
ENSMFAG00000000042,ENSMFAT00000095368,ENSMFAT00000095368.1,NA,macaque
ENSMFAG00000000067,ENSMFAT00000028967,ENSMFAT00000028967.2,1,macaque
ENSMFAG00000000067,ENSMFAT00000028960,ENSMFAT00000028960.2,NA,macaque
ENSMFAG00000000067,ENSMFAT00000028966,ENSMFAT00000028966.2,NA,macaque
ENSMFAG00000000039,ENSMFAT00000000113,ENSMFAT00000000113.2,1,macaque
ENSMFAG00000000063,ENSMFAT00000029064,ENSMFAT00000029064.2,NA,macaque
ENSMFAG00000000063,ENSMFAT00000088812,ENSMFAT00000088812.1,1,macaque
ENSMFAG00000000075,ENSMFAT00000028664,ENSMFAT00000028664.2,1,macaque
ENSMFAG00000000034,ENSMFAT00000000242,ENSMFAT00000000242.2,1,macaque
ENSMFAG00000000040,ENSMFAT00000000086,ENSMFAT00000000086.2,1,macaque
ENSMFAG00000000028,ENSMFAT00000000414,ENSMFAT00000000414.2,1,macaque
ENSMFAG00000000036,ENSMFAT00000077957,ENSMFAT00000077957.1,1,macaque
ENSMFAG00000000036,ENSMFAT00000000188,ENSMFAT00000000188.2,NA,macaque
ENSMFAG00000000036,ENSMFAT00000088819,ENSMFAT00000088819.1,NA,macaque
ENSMFAG00000000025,ENSMFAT00000000457,ENSMFAT00000000457.2,1,macaque
ENSMFAG00000000025,ENSMFAT00000000459,ENSMFAT00000000459.2,NA,macaque
ENSMFAG00000000041,ENSMFAT00000000044,ENSMFAT00000000044.2,1,macaque
ENSMFAG00000000061,ENSMFAT00000026238,ENSMFAT00000026238.2,NA,macaque
ENSMFAG00000000061,ENSMFAT00000029103,ENSMFAT00000029103.2,1,macaque
ENSMFAG00000000055,ENSMFAT00000029266,ENSMFAT00000029266.2,NA,macaque
ENSMFAG00000000055,ENSMFAT00000029259,ENSMFAT00000029259.2,NA,macaque
ENSMFAG00000000055,ENSMFAT00000097163,ENSMFAT00000097163.1,NA,macaque
ENSMFAG00000000055,ENSMFAT00000080341,ENSMFAT00000080341.1,1,macaque
ENSMFAG00000000055,ENSMFAT00000029261,ENSMFAT00000029261.2,NA,macaque
ENSMFAG00000000053,ENSMFAT00000029287,ENSMFAT00000029287.2,NA,macaque
ENSMFAG00000000053,ENSMFAT00000086086,ENSMFAT00000086086.1,NA,macaque
ENSMFAG00000000053,ENSMFAT00000029288,ENSMFAT00000029288.2,1,macaque
ENSMFAG00000000053,ENSMFAT00000089181,ENSMFAT00000089181.1,NA,macaque
ENSMFAG00000000059,ENSMFAT00000029196,ENSMFAT00000029196.2,1,macaque
ENSMFAG00000000052,ENSMFAT00000029301,ENSMFAT00000029301.2,1,macaque
ENSMFAG00000000072,ENSMFAT00000028780,ENSMFAT00000028780.2,1,macaque
ENSMFAG00000000072,ENSMFAT00000028782,ENSMFAT00000028782.2,NA,macaque
ENSMFAG00000000037,ENSMFAT00000000150,ENSMFAT00000000150.2,NA,macaque
ENSMFAG00000000037,ENSMFAT00000000151,ENSMFAT00000000151.2,NA,macaque
ENSMFAG00000000037,ENSMFAT00000099934,ENSMFAT00000099934.1,1,macaque
ENSMFAG00000000037,ENSMFAT00000091488,ENSMFAT00000091488.1,NA,macaque
ENSMFAG00000000037,ENSMFAT00000000152,ENSMFAT00000000152.2,NA,macaque
ENSMFAG00000000046,ENSMFAT00000029571,ENSMFAT00000029571.2,1,macaque
ENSMFAG00000000065,ENSMFAT00000098075,ENSMFAT00000098075.1,NA,macaque
ENSMFAG00000000065,ENSMFAT00000078898,ENSMFAT00000078898.1,1,macaque
ENSMFAG00000000065,ENSMFAT00000081030,ENSMFAT00000081030.1,NA,macaque
ENSMFAG00000000065,ENSMFAT00000029002,ENSMFAT00000029002.2,NA,macaque
ENSMFAG00000000065,ENSMFAT00000029001,ENSMFAT00000029001.2,NA,macaque
ENSMFAG00000000065,ENSMFAT00000097584,ENSMFAT00000097584.1,NA,macaque
