ensembl_id_RATNO	ens_orthogroup_id	ens_hqorthogroup_id_RATNO	gene_symbol_RATNO	species_code_RATNO	n_species_RATNO	ens_orthogroup_status_RATNO	ens_hqorthogroup_status_RATNO	ensembl_id_PIGXX	ens_hqorthogroup_id_PIGXX	gene_symbol_PIGXX	species_code_PIGXX	n_species_PIGXX	ens_orthogroup_status_PIGXX	ens_hqorthogroup_status_PIGXX	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_RATNO	ortholog_rank_PIGXX
ENSRNOG00000010617	OG_10041	HQ_08411	Scube1	RATNO	5	1to1	1to1	ENSSSCG00000000029	HQ_08411	SCUBE1	PIGXX	5	1to1	1to1	91.1854	88.4086	100.0	0.0	1.0	0.7777777777777778	0.6	1	1
ENSRNOG00000010539	OG_03933	HQ_02373	Mcat	RATNO	5	1to1	1to1	ENSSSCG00000000031	HQ_02373	MCAT	PIGXX	5	1to1	1to1	59.8344	76.0526	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSRNOG00000010549	OG_03938	HQ_02377	Tspo	RATNO	5	1to1	1to1	ENSSSCG00000000033	HQ_02377	TSPO	PIGXX	5	1to1	1to1	79.2899	79.2899	100.0	98.36	1.0	0.8571428571428571	0.8571428571428571	1	1
ENSRNOG00000022623	OG_03939	HQ_02378	Ttll12	RATNO	5	1to1	1to1	ENSSSCG00000000034	HQ_02378	TTLL12	PIGXX	5	1to1	1to1	86.5517	73.7151	100.0	0.0	1.0	0.6666666666666666	0.5	1	1
ENSRNOG00000010141	OG_03926	HQ_02366	Ttll1	RATNO	5	1to1	1to1	ENSSSCG00000000035	HQ_02366	TTLL1	PIGXX	5	1to1	1to1	84.34	89.1253	100.0	96.94	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSRNOG00000009756	OG_03925	HQ_02365	Pacsin2	RATNO	5	1to1	1to1	ENSSSCG00000000036	HQ_02365	PACSIN2	PIGXX	5	1to1	1to1	81.5985	82.9868	100.0	0.0	1.0	0.6	0.6	1	1
ENSRNOG00000046472	OG_14939	HQ_13026	Arfgap3	RATNO	5	1to1	1to1	ENSSSCG00000000037	HQ_13026	ARFGAP3	PIGXX	5	1to1	1to1	78.4708	73.8636	100.0	4.0	1.0	0.75	0.75	1	1
ENSRNOG00000009592	OG_03921	HQ_02362	Cyb5r3	RATNO	5	1to1	1to1	ENSSSCG00000000038	HQ_02362	CYB5R3	PIGXX	5	1to1	1to1	88.3333	86.3192	100.0	0.0	1.0	0.75	0.75	1	1
ENSRNOG00000022877	OG_03916	HQ_02357	Poldip3	RATNO	5	1to1	1to1	ENSSSCG00000000039	HQ_02357	POLDIP3	PIGXX	5	1to1	1to1	88.5714	92.7681	100.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSRNOG00000007686	OG_03906	HQ_13562	Septin3	RATNO	5	1to1	1to1	ENSSSCG00000000040	HQ_13562	SEPTIN3	PIGXX	5	1to1	1to1	69.0976	66.6269	100.0	0.0	1.0	0.125	0.125	1	1
ENSRNOG00000008569	OG_13389	HQ_11600	Ndufa6	RATNO	5	1to1	1to1	ENSSSCG00000000045	HQ_11600	NDUFA6	PIGXX	5	1to1	1to1	74.026	87.6923	100.0	0.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSRNOG00000032261	OG_00179	HQ_00023	Cyp2d4	RATNO	5	multi_copy	multi_copy	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	72.0	72.0	100.0	0.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSRNOG00000008988	OG_00179	HQ_00023	Cyp2d2	RATNO	5	multi_copy	multi_copy	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	68.2	68.2	100.0	0.0	1.0	0.5	0.5	1	2
ENSRNOG00000029128	OG_00179	HQ_00023	Cyp2d5	RATNO	5	multi_copy	multi_copy	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	66.4	65.873	100.0	0.0	1.0	0.5	0.5	1	3
ENSRNOG00000029179	OG_00179	HQ_00023	Cyp2d3	RATNO	5	multi_copy	multi_copy	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	68.0	67.4603	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	4
ENSRNOG00000008064	OG_14373	HQ_12534	Naga	RATNO	5	1to1	1to1	ENSSSCG00000000050	HQ_12534	NAGA	PIGXX	5	1to1	1to1	80.1034	73.8095	100.0	0.0	1.0	0.7142857142857143	0.5	1	1
ENSRNOG00000006392	OG_01016	HQ_12132	Xrcc6	RATNO	5	multi_copy	1to1	ENSSSCG00000000059	HQ_12132	XRCC6	PIGXX	5	multi_copy	1to1	76.7327	75.6098	100.0	0.0	1.0	0.2	0.2	1	1
ENSRNOG00000005358	OG_01222	HQ_02414	Pmm1	RATNO	5	multi_copy	1to1	ENSSSCG00000000061	HQ_02414	PMM1	PIGXX	5	multi_copy	1to1	94.2748	94.2748	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSRNOG00000062947	OG_01222	HQ_SNG_014454	ENSRNOG00000062947	RATNO	5	multi_copy	singleton	ENSSSCG00000000061	HQ_02414	PMM1	PIGXX	5	multi_copy	1to1	67.9389	91.2821	0.0	0.0	0.0	0.08333333333333333	0.0	1	2
ENSRNOG00000005332	OG_12066	HQ_10350	Csdc2	RATNO	5	1to1	1to1	ENSSSCG00000000062	HQ_10350	CSDC2	PIGXX	5	1to1	1to1	96.732	96.1039	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSRNOG00000004471	OG_03972	HQ_02412	Polr3h	RATNO	5	1to1	1to1	ENSSSCG00000000063	HQ_02412	POLR3H	PIGXX	5	1to1	1to1	98.0392	96.6184	100.0	0.0	1.0	0.5555555555555556	0.5555555555555556	1	1
ENSRNOG00000024128	OG_03971	HQ_02411	Aco2	RATNO	5	1to1	1to1	ENSSSCG00000000064	HQ_02411	ACO2	PIGXX	5	1to1	1to1	97.9487	97.9487	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSRNOG00000024743	OG_03967	HQ_02407	L3mbtl2	RATNO	5	1to1	1to1	ENSSSCG00000000066	HQ_02407	L3MBTL2	PIGXX	5	1to1	1to1	90.9348	91.3229	100.0	0.0	1.0	0.5714285714285714	0.5	1	1
ENSRNOG00000024631	OG_15473	HQ_13576	Chadl	RATNO	4	1to1	1to1	ENSSSCG00000000067	HQ_13576	CHADL	PIGXX	4	1to1	1to1	73.8158	76.1194	100.0	0.0	1.0	0.7142857142857143	0.625	1	1
ENSRNOG00000065659	OG_01221	HQ_02406	Ep300	RATNO	5	multi_copy	1to1	ENSSSCG00000000068	HQ_02406	EP300	PIGXX	5	multi_copy	1to1	75.3719	93.7789	75.0	99.53	1.0	0.375	0.3333333333333333	1	1
ENSRNOG00000000190	OG_01221	HQ_SNG_011513	Ep300	RATNO	5	multi_copy	singleton	ENSSSCG00000000068	HQ_02406	EP300	PIGXX	5	multi_copy	1to1	13.1405	87.1233	75.0	67.52	0.0	0.3333333333333333	0.3	1	2
ENSRNOG00000010101	OG_00580	HQ_SNG_011816	AC118490.1	RATNO	5	multi_copy	singleton	ENSSSCG00000000071	HQ_13574	ST13	PIGXX	5	multi_copy	1to1	45.9893	83.0918	0.0	0.0	0.0	0.16666666666666666	0.0	1	1
ENSRNOG00000063768	OG_00580	HQ_SNG_014723	ENSRNOG00000063768	RATNO	5	multi_copy	singleton	ENSSSCG00000000071	HQ_13574	ST13	PIGXX	5	multi_copy	1to1	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	1	2
ENSRNOG00000018920	OG_03962	HQ_SNG_012076	Slc25a17	RATNO	5	1to1	singleton	ENSSSCG00000000072	HQ_13573	SLC25A17	PIGXX	5	1to1	1to1	71.7325	36.8175	75.0	0.0	0.0	0.2222222222222222	0.1	1	1
ENSRNOG00000018895	OG_06786	HQ_05217	Mchr1	RATNO	5	1to1	1to1	ENSSSCG00000000074	HQ_05217	MCHR1	PIGXX	5	1to1	1to1	94.051	94.051	75.0	0.0	1.0	0.5	0.2857142857142857	1	1
ENSRNOG00000018803	OG_13993	HQ_12162	Mrtfa	RATNO	5	1to1	1to1	ENSSSCG00000000075	HQ_12162	MRTFA	PIGXX	5	1to1	1to1	78.7392	61.368	50.0	94.97	1.0	0.42857142857142855	0.25	1	1
ENSRNOG00000018745	OG_03957	HQ_02396	Sgsm3	RATNO	5	1to1	1to1	ENSSSCG00000000076	HQ_02396	SGSM3	PIGXX	5	1to1	1to1	87.4515	87.4515	75.0	100.0	1.0	0.5	0.5	1	1
ENSRNOG00000018655	OG_14910	HQ_13000	Adsl	RATNO	5	1to1	1to1	ENSSSCG00000000077	HQ_13000	ADSL	PIGXX	5	1to1	1to1	81.7647	86.157	100.0	100.0	1.0	0.5	0.5	1	1
ENSRNOG00000024907	OG_03956	HQ_02395	Tnrc6b	RATNO	5	1to1	1to1	ENSSSCG00000000078	HQ_02395	TNRC6B	PIGXX	5	1to1	1to1	95.0873	92.9067	75.0	99.99	1.0	0.4	0.4	1	1
ENSRNOG00000018330	OG_07318	HQ_05730	Fam83f	RATNO	5	1to1	1to1	ENSSSCG00000000079	HQ_05730	FAM83F	PIGXX	5	1to1	1to1	76.4133	78.4	100.0	0.0	1.0	0.5	0.5	1	1
ENSRNOG00000018316	OG_03954	HQ_02393	Grap2	RATNO	5	1to1	1to1	ENSSSCG00000000080	HQ_02393	GRAP2	PIGXX	5	1to1	1to1	85.0	83.4356	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSRNOG00000060407	OG_03950	HQ_02389	Cacna1i	RATNO	5	1to1	1to1	ENSSSCG00000000082	HQ_02389	CACNA1I	PIGXX	5	1to1	1to1	88.8583	88.131	100.0	0.0	1.0	0.5	0.5	1	1
ENSRNOG00000017285	OG_03946	HQ_02384	Tab1	RATNO	5	1to1	1to1	ENSSSCG00000000087	HQ_02384	TAB1	PIGXX	5	1to1	1to1	77.8146	89.6947	100.0	0.0	1.0	0.6	0.6	1	1
ENSRNOG00000016852	OG_03936	HQ_SNG_012004	Apobec3	RATNO	5	1to1	singleton	ENSSSCG00000000091	HQ_SNG_017073		PIGXX	5	1to1	singleton	33.7449	18.4685	100.0	0.0	0.0	0.4	0.2727272727272727	1	1
ENSRNOG00000016156	OG_14796	HQ_12899	Nptxr	RATNO	5	1to1	1to1	ENSSSCG00000000092	HQ_12899	NPTXR	PIGXX	5	1to1	1to1	87.5	90.0415	100.0	0.0	1.0	0.75	0.5555555555555556	1	1
ENSRNOG00000015583	OG_03922	HQ_16237	Dnal4	RATNO	4	multi_copy	1to1	ENSSSCG00000000093	HQ_16237	DNAL4	PIGXX	4	multi_copy	1to1	97.1429	97.1429	75.0	0.0	1.0	0.8571428571428571	0.625	1	1
ENSRNOG00000067902	OG_03922	HQ_SNG_016028	ENSRNOG00000067902	RATNO	4	multi_copy	singleton	ENSSSCG00000000093	HQ_16237	DNAL4	PIGXX	4	multi_copy	1to1	95.2381	95.2381	0.0	0.0	0.0	0.07692307692307693	0.0	1	2
ENSRNOG00000015177	OG_03920	HQ_02361	Sun2	RATNO	5	1to1	1to1	ENSSSCG00000000094	HQ_02361	SUN2	PIGXX	5	1to1	1to1	75.4993	77.565	100.0	99.68	1.0	0.5	0.5	1	1
ENSRNOG00000014634	OG_03915	HQ_02356	Gtpbp1	RATNO	5	1to1	1to1	ENSSSCG00000000095	HQ_02356	GTPBP1	PIGXX	5	1to1	1to1	91.3169	94.3199	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSRNOG00000014058	OG_03910	HQ_02351	Tomm22	RATNO	5	1to1	1to1	ENSSSCG00000000097	HQ_02351	TOMM22	PIGXX	5	1to1	1to1	64.7343	76.1364	100.0	100.0	1.0	0.625	0.4444444444444444	1	1
ENSRNOG00000013807	OG_03909	HQ_02349	Dmc1	RATNO	5	1to1	1to1	ENSSSCG00000000103	HQ_02349	DMC1	PIGXX	5	1to1	1to1	97.0588	97.0588	100.0	0.0	1.0	0.2	0.09090909090909091	1	1
ENSRNOG00000013577	OG_03908	HQ_02348	Kdelr3	RATNO	5	1to1	1to1	ENSSSCG00000000105	HQ_02348	KDELR3	PIGXX	5	1to1	1to1	62.7517	87.3832	100.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSRNOG00000013869	OG_16313	HQ_14877	Kcnj4	RATNO	4	1to1	1to1	ENSSSCG00000000106	HQ_14877	KCNJ4	PIGXX	4	1to1	1to1	97.0917	97.3094	100.0	0.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSRNOG00000013076	OG_14695	HQ_12817	Csnk1e	RATNO	5	1to1	1to1	ENSSSCG00000000107	HQ_12817	CSNK1E	PIGXX	5	1to1	1to1	74.2459	63.2411	100.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSRNOG00000022802	OG_16926	HQ_15675	Tmem184b	RATNO	4	1to1	1to1	ENSSSCG00000000108	HQ_15675	TMEM184B	PIGXX	4	1to1	1to1	95.6522	95.6522	100.0	0.0	1.0	1.0	1.0	1	1
ENSRNOG00000012295	OG_13323	HQ_11542	Pla2g6	RATNO	5	1to1	1to1	ENSSSCG00000000110	HQ_11542	PLA2G6	PIGXX	5	1to1	1to1	88.2775	87.4408	100.0	0.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSRNOG00000012215	OG_06787	HQ_14027	Baiap2l2	RATNO	5	1to1	1to1	ENSSSCG00000000111	HQ_14027	BAIAP2L2	PIGXX	5	1to1	1to1	89.3939	90.595	100.0	0.0	1.0	0.8571428571428571	0.8571428571428571	1	1
ENSRNOG00000012090	OG_03904	HQ_02344	Slc16a8	RATNO	5	1to1	1to1	ENSSSCG00000000113	HQ_02344	SLC16A8	PIGXX	5	1to1	1to1	83.8323	85.7143	100.0	0.0	1.0	0.8571428571428571	0.8571428571428571	1	1
ENSRNOG00000011507	OG_03902	HQ_02342	Pick1	RATNO	5	1to1	1to1	ENSSSCG00000000114	HQ_02342	PICK1	PIGXX	5	1to1	1to1	90.9513	94.2308	75.0	0.0	1.0	1.0	1.0	1	1
ENSRNOG00000011214	OG_03898	HQ_02338	Polr2f	RATNO	5	1to1	1to1	ENSSSCG00000000116	HQ_02338	POLR2F	PIGXX	5	1to1	1to1	100.0	100.0	100.0	90.48	1.0	0.625	0.625	1	1
ENSRNOG00000011170	OG_06792	HQ_05222	RGD1359634	RATNO	5	1to1	1to1	ENSSSCG00000000117	HQ_05222	C22orf23	PIGXX	5	1to1	1to1	78.341	77.2727	75.0	100.0	1.0	0.625	0.625	1	1
ENSRNOG00000026212	OG_03897	HQ_13561	Micall1	RATNO	5	1to1	1to1	ENSSSCG00000000118	HQ_13561	MICALL1	PIGXX	5	1to1	1to1	69.3995	69.3195	100.0	0.0	1.0	0.5	0.5	1	1
ENSRNOG00000011020	OG_03896	HQ_02337	Eif3l	RATNO	5	1to1	1to1	ENSSSCG00000000119	HQ_02337	EIF3L	PIGXX	5	1to1	1to1	84.7377	85.8293	100.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSRNOG00000010821	OG_03895	HQ_02336	Ankrd54	RATNO	5	1to1	1to1	ENSSSCG00000000120	HQ_02336	ANKRD54	PIGXX	5	1to1	1to1	92.3077	82.1429	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSRNOG00000027060	OG_15758	HQ_14028	Galr3	RATNO	4	1to1	1to1	ENSSSCG00000000121	HQ_14028	GALR3	PIGXX	4	1to1	1to1	87.234	88.6487	100.0	0.0	1.0	1.0	0.7142857142857143	1	1
ENSRNOG00000007679	OG_03875	HQ_02318	Cyth4	RATNO	5	1to1	1to1	ENSSSCG00000000130	HQ_02318	CYTH4	PIGXX	5	1to1	1to1	91.6244	90.932	100.0	0.0	1.0	0.8	0.8	1	1
ENSRNOG00000007934	OG_11242	HQ_09562	Elfn2	RATNO	5	1to1	1to1	ENSSSCG00000000131	HQ_09562	ELFN2	PIGXX	5	1to1	1to1	94.8718	94.7561	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSRNOG00000063601	OG_13433	HQ_11642	Tex33	RATNO	5	1to1	1to1	ENSSSCG00000000132	HQ_11642	TEX33	PIGXX	5	1to1	1to1	50.1597	48.4568	100.0	0.0	0.0	0.8333333333333334	0.8333333333333334	1	1
ENSRNOG00000000186	OG_06789	HQ_05219	Tst	RATNO	5	1to1	1to1	ENSSSCG00000000133	HQ_05219	TST	PIGXX	5	1to1	1to1	78.2857	79.1908	100.0	0.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSRNOG00000000231	OG_03965	HQ_02404	Kctd17	RATNO	5	1to1	1to1	ENSSSCG00000000135	HQ_02404	KCTD17	PIGXX	5	1to1	1to1	88.8252	85.3995	100.0	55.79	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSRNOG00000000187	OG_01220	HQ_02401	Csf2rb	RATNO	5	multi_copy	1to1	ENSSSCG00000000136	HQ_02401	CSF2RB	PIGXX	5	multi_copy	1to1	52.5424	51.8973	100.0	16.49	1.0	0.8	0.8	1	1
ENSRNOG00000006940	OG_03961	HQ_02400	Ncf4	RATNO	5	1to1	1to1	ENSSSCG00000000137	HQ_02400	NCF4	PIGXX	5	1to1	1to1	67.9245	84.9557	100.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSRNOG00000006471	OG_03959	HQ_02398	ENSRNOG00000006471	RATNO	5	1to1	1to1	ENSSSCG00000000138	HQ_02398	PVALB	PIGXX	5	1to1	1to1	59.5745	71.1864	100.0	0.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSRNOG00000006440	OG_03958	HQ_02397	Ift27	RATNO	5	1to1	1to1	ENSSSCG00000000139	HQ_02397	IFT27	PIGXX	5	1to1	1to1	70.0508	73.0159	100.0	45.11	1.0	0.75	0.75	1	1
ENSRNOG00000005804	OG_03955	HQ_02394	Eif3d	RATNO	5	1to1	1to1	ENSSSCG00000000141	HQ_02394	EIF3D	PIGXX	5	1to1	1to1	99.0876	99.0876	100.0	0.0	1.0	0.8571428571428571	0.8571428571428571	1	1
ENSRNOG00000005749	OG_03953	HQ_02392	Foxred2	RATNO	5	1to1	1to1	ENSSSCG00000000142	HQ_02392	FOXRED2	PIGXX	5	1to1	1to1	80.4949	83.1579	100.0	23.83	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSRNOG00000005614	OG_03952	HQ_02391	Txn2	RATNO	5	1to1	1to1	ENSSSCG00000000144	HQ_02391	TXN2	PIGXX	5	1to1	1to1	49.8039	76.506	100.0	67.32	0.0	0.42857142857142855	0.42857142857142855	1	1
ENSRNOG00000049236	OG_03949	HQ_02388	Myh9	RATNO	5	1to1	1to1	ENSSSCG00000000145	HQ_02388	MYH9	PIGXX	5	1to1	1to1	95.5394	93.8838	75.0	0.0	1.0	0.5	0.25	1	1
ENSRNOG00000057880	OG_07313	HQ_05724	Myh11	RATNO	5	1to1	1to1	ENSSSCG00000000146	HQ_05724	MYH11	PIGXX	5	1to1	1to1	95.8038	95.7554	50.0	80.15	1.0	0.4	0.4	1	1
ENSRNOG00000047782	OG_00371	HQ_SNG_013528	RGD1309808	RATNO	3	multi_copy	singleton	ENSSSCG00000000148	HQ_SNG_017075		PIGXX	3	multi_copy	singleton	54.2773	47.5452	50.0	0.0	0.0	0.4	0.125	1	1
ENSRNOG00000070111	OG_00371	HQ_SNG_016724	Apol2	RATNO	3	multi_copy	singleton	ENSSSCG00000000148	HQ_SNG_017075		PIGXX	3	multi_copy	singleton	54.5723	48.1771	0.0	0.0	0.0	0.5	0.14285714285714285	2	2
ENSRNOG00000052981	OG_00371	HQ_SNG_013825	AABR07058464.1	RATNO	3	multi_copy	singleton	ENSSSCG00000000148	HQ_SNG_017075		PIGXX	3	multi_copy	singleton	53.3923	43.7198	0.0	0.0	0.0	0.5	0.125	2	3
ENSRNOG00000047414	OG_00371	HQ_SNG_013501	AABR07058479.1	RATNO	3	multi_copy	singleton	ENSSSCG00000000148	HQ_SNG_017075		PIGXX	3	multi_copy	singleton	53.0973	46.875	0.0	0.0	0.0	0.16666666666666666	0.0	2	4
ENSRNOG00000004688	OG_03944	HQ_02383	Rbfox2	RATNO	5	1to1	1to1	ENSSSCG00000000152	HQ_02383	RBFOX2	PIGXX	5	1to1	1to1	78.4444	81.1494	0.0	85.86	1.0	0.14285714285714285	0.14285714285714285	1	1
ENSRNOG00000004637	OG_03914	HQ_02355	Fbxo7	RATNO	5	1to1	1to1	ENSSSCG00000000156	HQ_02355	FBXO7	PIGXX	5	1to1	1to1	75.1423	75.8621	75.0	24.6	1.0	0.5454545454545454	0.5454545454545454	1	1
ENSRNOG00000022937	OG_13334	HQ_11552	Bpifc	RATNO	5	1to1	1to1	ENSSSCG00000000157	HQ_11552	BPIFC	PIGXX	5	1to1	1to1	68.6354	66.2083	100.0	100.0	1.0	0.6363636363636364	0.6363636363636364	1	1
ENSRNOG00000004813	OG_01217	HQ_02353	Rtcb	RATNO	5	multi_copy	1to1	ENSSSCG00000000158	HQ_02353	RTCB	PIGXX	5	multi_copy	1to1	95.4455	95.4455	100.0	98.57	1.0	0.6	0.6	1	1
ENSRNOG00000005546	OG_01217	HQ_SNG_011694	AABR07057196.1	RATNO	5	multi_copy	singleton	ENSSSCG00000000158	HQ_02353	RTCB	PIGXX	5	multi_copy	1to1	79.4059	96.6265	0.0	0.0	0.0	0.07692307692307693	0.0	1	2
ENSRNOG00000031493	OG_16799	HQ_15503	Ascl4	RATNO	4	1to1	1to1	ENSSSCG00000000159	HQ_15503	ASCL4	PIGXX	4	1to1	1to1	59.3023	70.3448	100.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSRNOG00000004962	OG_05131	HQ_03587	Prdm4	RATNO	5	1to1	1to1	ENSSSCG00000000160	HQ_03587	PRDM4	PIGXX	5	1to1	1to1	93.3833	92.9193	100.0	0.0	1.0	0.5555555555555556	0.5555555555555556	1	1
ENSRNOG00000005350	OG_07664	HQ_06082	Pwp1	RATNO	5	1to1	1to1	ENSSSCG00000000161	HQ_06082	PWP1	PIGXX	5	1to1	1to1	88.7776	88.6	75.0	17.9	1.0	0.45454545454545453	0.45454545454545453	1	1
ENSRNOG00000005758	OG_09302	HQ_07695	Btbd11	RATNO	5	1to1	1to1	ENSSSCG00000000162	HQ_07695	ABTB3	PIGXX	5	1to1	1to1	97.0217	96.5858	100.0	73.13	1.0	0.5555555555555556	0.5555555555555556	1	1
ENSRNOG00000006622	OG_02315	HQ_00760	Cry1	RATNO	5	1to1	1to1	ENSSSCG00000000164	HQ_00760	CRY1	PIGXX	5	1to1	1to1	95.5782	95.5782	100.0	0.0	1.0	0.5555555555555556	0.5555555555555556	1	1
