ensembl_id_HUMAN	ens_orthogroup_id	ens_hqorthogroup_id_HUMAN	gene_symbol_HUMAN	species_code_HUMAN	n_species_HUMAN	ens_orthogroup_status_HUMAN	ens_hqorthogroup_status_HUMAN	ensembl_id_PIGXX	ens_hqorthogroup_id_PIGXX	gene_symbol_PIGXX	species_code_PIGXX	n_species_PIGXX	ens_orthogroup_status_PIGXX	ens_hqorthogroup_status_PIGXX	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_HUMAN	ortholog_rank_PIGXX
ENSG00000100271	OG_03926	HQ_02366	TTLL1	HUMAN	5	1to1	1to1	ENSSSCG00000000035	HQ_02366	TTLL1	PIGXX	5	1to1	1to1	90.0709	85.2349	100.0	97.78	1.0	0.5	0.5	1	1
ENSG00000100266	OG_03925	HQ_02365	PACSIN2	HUMAN	5	1to1	1to1	ENSSSCG00000000036	HQ_02365	PACSIN2	PIGXX	5	1to1	1to1	90.9465	82.1561	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000242247	OG_14939	HQ_13026	ARFGAP3	HUMAN	5	1to1	1to1	ENSSSCG00000000037	HQ_13026	ARFGAP3	PIGXX	5	1to1	1to1	85.2713	88.5312	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000100243	OG_03921	HQ_02362	CYB5R3	HUMAN	5	1to1	1to1	ENSSSCG00000000038	HQ_02362	CYB5R3	PIGXX	5	1to1	1to1	92.3588	92.6667	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000100227	OG_03916	HQ_02357	POLDIP3	HUMAN	5	1to1	1to1	ENSSSCG00000000039	HQ_02357	POLDIP3	PIGXX	5	1to1	1to1	94.5368	94.7619	75.0	100.0	1.0	0.4	0.4	1	1
ENSG00000100167	OG_03906	HQ_13562	SEPTIN3	HUMAN	5	1to1	1to1	ENSSSCG00000000040	HQ_13562	SEPTIN3	PIGXX	5	1to1	1to1	75.2336	79.6044	100.0	99.4	1.0	0.16666666666666666	0.16666666666666666	1	1
ENSG00000184983	OG_13389	HQ_11600	NDUFA6	HUMAN	5	1to1	1to1	ENSSSCG00000000045	HQ_11600	NDUFA6	PIGXX	5	1to1	1to1	86.7188	72.0779	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSG00000100197	OG_00179	HQ_00023	CYP2D6	HUMAN	5	multi_copy	multi_copy	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	78.4708	78.0	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000198951	OG_14373	HQ_12534	NAGA	HUMAN	5	1to1	1to1	ENSSSCG00000000050	HQ_12534	NAGA	PIGXX	5	1to1	1to1	78.5888	83.4625	100.0	100.0	1.0	0.6666666666666666	0.42857142857142855	1	1
ENSG00000196419	OG_01016	HQ_12132	XRCC6	HUMAN	5	multi_copy	1to1	ENSSSCG00000000059	HQ_12132	XRCC6	PIGXX	5	multi_copy	1to1	84.5649	84.9835	100.0	100.0	1.0	0.16666666666666666	0.16666666666666666	1	1
ENSG00000100417	OG_01222	HQ_02414	PMM1	HUMAN	5	multi_copy	1to1	ENSSSCG00000000061	HQ_02414	PMM1	PIGXX	5	multi_copy	1to1	96.1832	96.1832	100.0	100.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSG00000172346	OG_12066	HQ_10350	CSDC2	HUMAN	5	1to1	1to1	ENSSSCG00000000062	HQ_10350	CSDC2	PIGXX	5	1to1	1to1	97.3856	97.3856	100.0	100.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSG00000100413	OG_03972	HQ_02412	POLR3H	HUMAN	5	1to1	1to1	ENSSSCG00000000063	HQ_02412	POLR3H	PIGXX	5	1to1	1to1	96.0784	96.0784	75.0	100.0	1.0	0.5	0.5	1	1
ENSG00000100412	OG_03971	HQ_02411	ACO2	HUMAN	5	1to1	1to1	ENSSSCG00000000064	HQ_02411	ACO2	PIGXX	5	1to1	1to1	97.0513	97.0513	100.0	100.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000100395	OG_03967	HQ_02407	L3MBTL2	HUMAN	5	1to1	1to1	ENSSSCG00000000066	HQ_02407	L3MBTL2	PIGXX	5	1to1	1to1	95.461	95.3258	100.0	99.95	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000100399	OG_15473	HQ_13576	CHADL	HUMAN	4	1to1	1to1	ENSSSCG00000000067	HQ_13576	CHADL	PIGXX	4	1to1	1to1	78.6089	78.8158	100.0	99.45	1.0	0.5	0.5	1	1
ENSG00000100393	OG_01221	HQ_02406	EP300	HUMAN	5	multi_copy	1to1	ENSSSCG00000000068	HQ_02406	EP300	PIGXX	5	multi_copy	1to1	95.9818	95.7438	100.0	100.0	1.0	0.8	0.8	1	1
ENSG00000100380	OG_00580	HQ_13574	ST13	HUMAN	5	multi_copy	1to1	ENSSSCG00000000071	HQ_13574	ST13	PIGXX	5	multi_copy	1to1	92.6829	91.4438	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000100372	OG_03962	HQ_13573	SLC25A17	HUMAN	5	1to1	1to1	ENSSSCG00000000072	HQ_13573	SLC25A17	PIGXX	5	1to1	1to1	78.8274	73.5562	100.0	100.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000128285	OG_06786	HQ_05217	MCHR1	HUMAN	5	1to1	1to1	ENSSSCG00000000074	HQ_05217	MCHR1	PIGXX	5	1to1	1to1	97.4504	97.4504	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000196588	OG_13993	HQ_12162	MRTFA	HUMAN	5	1to1	1to1	ENSSSCG00000000075	HQ_12162	MRTFA	PIGXX	5	1to1	1to1	65.1794	83.0655	100.0	95.56	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000100359	OG_03957	HQ_02396	SGSM3	HUMAN	5	1to1	1to1	ENSSSCG00000000076	HQ_02396	SGSM3	PIGXX	5	1to1	1to1	89.7196	86.934	100.0	100.0	1.0	0.6	0.6	1	1
ENSG00000239900	OG_14910	HQ_13000	ADSL	HUMAN	5	1to1	1to1	ENSSSCG00000000077	HQ_13000	ADSL	PIGXX	5	1to1	1to1	89.4628	84.902	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000100354	OG_03956	HQ_02395	TNRC6B	HUMAN	5	1to1	1to1	ENSSSCG00000000078	HQ_02395	TNRC6B	PIGXX	5	1to1	1to1	97.1086	97.1616	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000133477	OG_07318	HQ_05730	FAM83F	HUMAN	5	1to1	1to1	ENSSSCG00000000079	HQ_05730	FAM83F	PIGXX	5	1to1	1to1	82.0	79.922	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000100351	OG_03954	HQ_02393	GRAP2	HUMAN	5	1to1	1to1	ENSSSCG00000000080	HQ_02393	GRAP2	PIGXX	5	1to1	1to1	87.8788	90.625	100.0	100.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSG00000176177	OG_16490	HQ_15123	ENTHD1	HUMAN	4	1to1	1to1	ENSSSCG00000000081	HQ_15123	ENTHD1	PIGXX	4	1to1	1to1	61.6145	65.4991	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSG00000100346	OG_03950	HQ_02389	CACNA1I	HUMAN	5	1to1	1to1	ENSSSCG00000000082	HQ_02389	CACNA1I	PIGXX	5	1to1	1to1	89.7436	91.4718	100.0	99.75	1.0	0.25	0.25	1	1
ENSG00000100324	OG_03946	HQ_02384	TAB1	HUMAN	5	1to1	1to1	ENSSSCG00000000087	HQ_02384	TAB1	PIGXX	5	1to1	1to1	95.8333	79.9669	100.0	99.98	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000100298	OG_03936	HQ_17630	APOBEC3H	HUMAN	5	1to1	1to1	ENSSSCG00000000091	HQ_SNG_017073		PIGXX	5	1to1	singleton	50.2732	37.8601	100.0	98.8	0.0	0.3333333333333333	0.2	1	1
ENSG00000221890	OG_14796	HQ_12899	NPTXR	HUMAN	5	1to1	1to1	ENSSSCG00000000092	HQ_12899	NPTXR	PIGXX	5	1to1	1to1	92.6	93.3468	100.0	100.0	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSG00000100246	OG_03922	HQ_16237	DNAL4	HUMAN	4	multi_copy	1to1	ENSSSCG00000000093	HQ_16237	DNAL4	PIGXX	4	multi_copy	1to1	100.0	100.0	75.0	100.0	1.0	0.5	0.5	1	1
ENSG00000100242	OG_03920	HQ_02361	SUN2	HUMAN	5	1to1	1to1	ENSSSCG00000000094	HQ_02361	SUN2	PIGXX	5	1to1	1to1	84.7978	80.9587	100.0	100.0	1.0	0.16666666666666666	0.16666666666666666	1	1
ENSG00000100226	OG_03915	HQ_02356	GTPBP1	HUMAN	5	1to1	1to1	ENSSSCG00000000095	HQ_02356	GTPBP1	PIGXX	5	1to1	1to1	95.5157	92.4747	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000100216	OG_03910	HQ_02351	TOMM22	HUMAN	5	1to1	1to1	ENSSSCG00000000097	HQ_02351	TOMM22	PIGXX	5	1to1	1to1	92.9577	63.7681	100.0	100.0	1.0	0.375	0.375	1	1
ENSG00000100206	OG_03909	HQ_02349	DMC1	HUMAN	5	1to1	1to1	ENSSSCG00000000103	HQ_02349	DMC1	PIGXX	5	1to1	1to1	98.5294	98.5294	100.0	100.0	1.0	0.2222222222222222	0.2222222222222222	1	1
ENSG00000100196	OG_03908	HQ_02348	KDELR3	HUMAN	5	1to1	1to1	ENSSSCG00000000105	HQ_02348	KDELR3	PIGXX	5	1to1	1to1	92.9907	66.7785	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000168135	OG_16313	HQ_14877	KCNJ4	HUMAN	4	1to1	1to1	ENSSSCG00000000106	HQ_14877	KCNJ4	PIGXX	4	1to1	1to1	97.7528	97.3154	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000213923	OG_14695	HQ_12817	CSNK1E	HUMAN	5	1to1	1to1	ENSSSCG00000000107	HQ_12817	CSNK1E	PIGXX	5	1to1	1to1	76.9231	74.2459	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000198792	OG_16926	HQ_15675	TMEM184B	HUMAN	4	1to1	1to1	ENSSSCG00000000108	HQ_15675	TMEM184B	PIGXX	4	1to1	1to1	99.2629	97.5845	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000184381	OG_13323	HQ_11542	PLA2G6	HUMAN	5	1to1	1to1	ENSSSCG00000000110	HQ_11542	PLA2G6	PIGXX	5	1to1	1to1	90.8189	87.5598	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000128298	OG_06787	HQ_14027	BAIAP2L2	HUMAN	5	1to1	1to1	ENSSSCG00000000111	HQ_14027	BAIAP2L2	PIGXX	5	1to1	1to1	87.7127	87.8788	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000100156	OG_03904	HQ_02344	SLC16A8	HUMAN	5	1to1	1to1	ENSSSCG00000000113	HQ_02344	SLC16A8	PIGXX	5	1to1	1to1	88.6905	89.2216	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000100151	OG_03902	HQ_02342	PICK1	HUMAN	5	1to1	1to1	ENSSSCG00000000114	HQ_02342	PICK1	PIGXX	5	1to1	1to1	95.6627	92.1114	75.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000100142	OG_03898	HQ_02338	POLR2F	HUMAN	5	1to1	1to1	ENSSSCG00000000116	HQ_02338	POLR2F	PIGXX	5	1to1	1to1	99.2126	99.2126	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000128346	OG_06792	HQ_05222	C22orf23	HUMAN	5	1to1	1to1	ENSSSCG00000000117	HQ_05222	C22orf23	PIGXX	5	1to1	1to1	80.6452	80.6452	75.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000100139	OG_03897	HQ_13561	MICALL1	HUMAN	5	1to1	1to1	ENSSSCG00000000118	HQ_13561	MICALL1	PIGXX	5	1to1	1to1	84.4728	84.1801	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000100129	OG_03896	HQ_02337	EIF3L	HUMAN	5	1to1	1to1	ENSSSCG00000000119	HQ_02337	EIF3L	PIGXX	5	1to1	1to1	93.0851	83.4658	100.0	96.04	1.0	0.4	0.4	1	1
ENSG00000100124	OG_03895	HQ_02336	ANKRD54	HUMAN	5	1to1	1to1	ENSSSCG00000000120	HQ_02336	ANKRD54	PIGXX	5	1to1	1to1	93.6667	93.9799	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000128310	OG_15758	HQ_14028	GALR3	HUMAN	4	1to1	1to1	ENSSSCG00000000121	HQ_14028	GALR3	PIGXX	4	1to1	1to1	93.4783	91.4894	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000100055	OG_03875	HQ_02318	CYTH4	HUMAN	5	1to1	1to1	ENSSSCG00000000130	HQ_02318	CYTH4	PIGXX	5	1to1	1to1	94.4162	94.4162	100.0	100.0	1.0	1.0	1.0	1	1
ENSG00000166897	OG_11242	HQ_09562	ELFN2	HUMAN	5	1to1	1to1	ENSSSCG00000000131	HQ_09562	ELFN2	PIGXX	5	1to1	1to1	96.7073	96.8254	100.0	100.0	1.0	0.6	0.6	1	1
ENSG00000185264	OG_13433	HQ_11642	TEX33	HUMAN	5	1to1	1to1	ENSSSCG00000000132	HQ_11642	TEX33	PIGXX	5	1to1	1to1	65.7143	58.7859	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000128311	OG_06789	HQ_05219	TST	HUMAN	5	1to1	1to1	ENSSSCG00000000133	HQ_05219	TST	PIGXX	5	1to1	1to1	89.5623	76.0	100.0	97.32	1.0	0.5	0.5	1	1
ENSG00000100379	OG_03965	HQ_02404	KCTD17	HUMAN	5	1to1	1to1	ENSSSCG00000000135	HQ_02404	KCTD17	PIGXX	5	1to1	1to1	78.3439	70.4871	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000100368	OG_01220	HQ_02401	CSF2RB	HUMAN	5	multi_copy	1to1	ENSSSCG00000000136	HQ_02401	CSF2RB	PIGXX	5	multi_copy	1to1	64.2141	65.0847	100.0	100.0	1.0	1.0	1.0	1	1
ENSG00000100365	OG_03961	HQ_02400	NCF4	HUMAN	5	1to1	1to1	ENSSSCG00000000137	HQ_02400	NCF4	PIGXX	5	1to1	1to1	86.4307	69.1038	100.0	99.13	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000100362	OG_03959	HQ_02398	PVALB	HUMAN	5	1to1	1to1	ENSSSCG00000000138	HQ_02398	PVALB	PIGXX	5	1to1	1to1	90.9091	70.922	100.0	100.0	1.0	0.6	0.6	1	1
ENSG00000100360	OG_03958	HQ_02397	IFT27	HUMAN	5	1to1	1to1	ENSSSCG00000000139	HQ_02397	IFT27	PIGXX	5	1to1	1to1	80.6452	76.1421	100.0	100.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000100353	OG_03955	HQ_02394	EIF3D	HUMAN	5	1to1	1to1	ENSSSCG00000000141	HQ_02394	EIF3D	PIGXX	5	1to1	1to1	99.4526	99.4526	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000100350	OG_03953	HQ_02392	FOXRED2	HUMAN	5	1to1	1to1	ENSSSCG00000000142	HQ_02392	FOXRED2	PIGXX	5	1to1	1to1	86.1111	85.7351	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000100348	OG_03952	HQ_02391	TXN2	HUMAN	5	1to1	1to1	ENSSSCG00000000144	HQ_02391	TXN2	PIGXX	5	1to1	1to1	78.3133	50.9804	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000100345	OG_03949	HQ_02388	MYH9	HUMAN	5	1to1	1to1	ENSSSCG00000000145	HQ_02388	MYH9	PIGXX	5	1to1	1to1	95.3061	96.888	100.0	100.0	1.0	0.4	0.3333333333333333	1	1
ENSG00000133392	OG_07313	HQ_05724	MYH11	HUMAN	5	1to1	1to1	ENSSSCG00000000146	HQ_05724	MYH11	PIGXX	5	1to1	1to1	97.8195	97.5228	75.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000221963	OG_17061	HQ_18378	APOL6	HUMAN	4	1to1	1to1	ENSSSCG00000000151	HQ_SNG_017076		PIGXX	4	1to1	singleton	37.9009	29.5455	50.0	95.02	0.0	0.25	0.1111111111111111	1	1
ENSG00000100320	OG_03944	HQ_02383	RBFOX2	HUMAN	5	1to1	1to1	ENSSSCG00000000152	HQ_02383	RBFOX2	PIGXX	5	1to1	1to1	97.3154	96.6667	75.0	100.0	1.0	0.16666666666666666	0.16666666666666666	1	1
ENSG00000100225	OG_03914	HQ_02355	FBXO7	HUMAN	5	1to1	1to1	ENSSSCG00000000156	HQ_02355	FBXO7	PIGXX	5	1to1	1to1	84.6743	83.871	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000184459	OG_13334	HQ_11552	BPIFC	HUMAN	5	1to1	1to1	ENSSSCG00000000157	HQ_11552	BPIFC	PIGXX	5	1to1	1to1	79.6844	82.2811	75.0	100.0	1.0	0.3	0.3	1	1
ENSG00000100220	OG_01217	HQ_02353	RTCB	HUMAN	5	multi_copy	1to1	ENSSSCG00000000158	HQ_02353	RTCB	PIGXX	5	multi_copy	1to1	100.0	100.0	50.0	100.0	1.0	0.2727272727272727	0.2727272727272727	1	1
ENSG00000187855	OG_16799	HQ_15503	ASCL4	HUMAN	4	1to1	1to1	ENSSSCG00000000159	HQ_15503	ASCL4	PIGXX	4	1to1	1to1	79.0698	79.0698	50.0	100.0	1.0	0.3	0.3	1	1
ENSG00000110851	OG_05131	HQ_03587	PRDM4	HUMAN	5	1to1	1to1	ENSSSCG00000000160	HQ_03587	PRDM4	PIGXX	5	1to1	1to1	96.8789	96.8789	75.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000136045	OG_07664	HQ_06082	PWP1	HUMAN	5	1to1	1to1	ENSSSCG00000000161	HQ_06082	PWP1	PIGXX	5	1to1	1to1	97.2056	97.5952	100.0	100.0	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSG00000151136	OG_09302	HQ_07695	ABTB3	HUMAN	5	1to1	1to1	ENSSSCG00000000162	HQ_07695	ABTB3	PIGXX	5	1to1	1to1	98.3696	98.0144	100.0	100.0	1.0	0.375	0.375	1	1
ENSG00000008405	OG_02315	HQ_00760	CRY1	HUMAN	5	1to1	1to1	ENSSSCG00000000164	HQ_00760	CRY1	PIGXX	5	1to1	1to1	98.2935	97.9592	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000111785	OG_05238	HQ_03695	RIC8B	HUMAN	5	1to1	1to1	ENSSSCG00000000167	HQ_03695	RIC8B	PIGXX	5	1to1	1to1	99.2857	99.2857	100.0	100.0	1.0	0.2	0.2	1	1
ENSG00000136026	OG_07661	HQ_06080	CKAP4	HUMAN	5	1to1	1to1	ENSSSCG00000000171	HQ_06080	CKAP4	PIGXX	5	1to1	1to1	81.0631	82.5719	100.0	100.0	1.0	0.375	0.375	1	1
ENSG00000257987	OG_15048	HQ_13127	TEX49	HUMAN	5	1to1	1to1	ENSSSCG00000000174	HQ_13127	TEX49	PIGXX	5	1to1	1to1	87.0229	74.5098	50.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSG00000174233	OG_12309	HQ_10580	ADCY6	HUMAN	5	1to1	1to1	ENSSSCG00000000175	HQ_10580	ADCY6	PIGXX	5	1to1	1to1	95.8048	96.134	100.0	100.0	1.0	0.6	0.6	1	1
ENSG00000174243	OG_12312	HQ_10582	DDX23	HUMAN	5	1to1	1to1	ENSSSCG00000000176	HQ_10582	DDX23	PIGXX	5	1to1	1to1	99.5122	99.5122	100.0	100.0	1.0	0.375	0.375	1	1
ENSG00000139537	OG_08148	HQ_06559	CCDC65	HUMAN	5	1to1	1to1	ENSSSCG00000000179	HQ_06559	CCDC65	PIGXX	5	1to1	1to1	86.157	83.7349	100.0	100.0	1.0	0.375	0.375	1	1
ENSG00000169884	OG_11722	HQ_10019	WNT10B	HUMAN	5	1to1	1to1	ENSSSCG00000000182	HQ_10019	WNT10B	PIGXX	5	1to1	1to1	98.2005	98.2005	100.0	100.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSG00000125084	OG_06510	HQ_04947	WNT1	HUMAN	5	1to1	1to1	ENSSSCG00000000183	HQ_04947	WNT1	PIGXX	5	1to1	1to1	99.4595	99.4595	100.0	100.0	1.0	0.6666666666666666	0.5714285714285714	1	1
ENSG00000181418	OG_13004	HQ_11238	DDN	HUMAN	5	1to1	1to1	ENSSSCG00000000184	HQ_11238	DDN	PIGXX	5	1to1	1to1	81.5752	82.0368	100.0	100.0	1.0	0.5714285714285714	0.5	1	1
ENSG00000181929	OG_13042	HQ_11276	PRKAG1	HUMAN	5	1to1	1to1	ENSSSCG00000000185	HQ_11276	PRKAG1	PIGXX	5	1to1	1to1	89.7281	99.6644	100.0	100.0	1.0	0.25	0.1	1	1
ENSG00000167550	OG_11344	HQ_09657	RHEBL1	HUMAN	5	1to1	1to1	ENSSSCG00000000186	HQ_09657	RHEBL1	PIGXX	5	1to1	1to1	96.1749	96.1749	100.0	100.0	1.0	0.6666666666666666	0.375	1	1
ENSG00000139549	OG_08151	HQ_06562	DHH	HUMAN	5	1to1	1to1	ENSSSCG00000000188	HQ_06562	DHH	PIGXX	5	1to1	1to1	96.9697	96.9697	100.0	100.0	1.0	0.6666666666666666	0.375	1	1
ENSG00000139636	OG_08162	HQ_06573	LMBR1L	HUMAN	5	1to1	1to1	ENSSSCG00000000189	HQ_06573	LMBR1L	PIGXX	5	1to1	1to1	97.137	90.6489	100.0	100.0	1.0	0.5	0.5	1	1
