ensembl_id_RATNO	ens_orthogroup_id	ens_hqorthogroup_id_RATNO	gene_symbol_RATNO	species_code_RATNO	n_species_RATNO	ens_orthogroup_status_RATNO	ens_hqorthogroup_status_RATNO	ensembl_id_MACFA	ens_hqorthogroup_id_MACFA	gene_symbol_MACFA	species_code_MACFA	n_species_MACFA	ens_orthogroup_status_MACFA	ens_hqorthogroup_status_MACFA	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_RATNO	ortholog_rank_MACFA
ENSRNOG00000004035	OG_05208	HQ_03661	Krr1	RATNO	5	1to1	1to1	ENSMFAG00000000042	HQ_03661	KRR1	MACFA	5	1to1	1to1	90.5263	90.2887	50.0	0.0	0.0	0.4	0.4	1	1
ENSRNOG00000013293	OG_03296	HQ_01735	Mccc1	RATNO	5	1to1	1to1	ENSMFAG00000000043	HQ_01735	MCCC1	MACFA	5	1to1	1to1	78.1291	73.0296	50.0	0.0	0.0	0.1111111111111111	0.1111111111111111	1	1
ENSRNOG00000004629	OG_01224	HQ_02422	Fkbp3	RATNO	5	multi_copy	1to1	ENSMFAG00000000044	HQ_02422		MACFA	5	multi_copy	1to1	72.9614	72.6496	100.0	0.0	1.0	0.3333333333333333	0.2	1	1
ENSRNOG00000001992	OG_01342	HQ_00341	Atp6v1a	RATNO	5	multi_copy	multi_copy	ENSMFAG00000000045	HQ_00341		MACFA	5	multi_copy	multi_copy	93.1994	92.9122	100.0	0.0	1.0	0.6	0.6	1	1
ENSRNOG00000027850	OG_00052	HQ_SNG_012481	Ssx1	RATNO	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	31.5217	30.8511	50.0	0.0	0.0	0.1111111111111111	0.0	5	1
ENSRNOG00000046702	OG_00052	HQ_19506	AABR07036698.1	RATNO	5	multi_copy	1to1	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	41.4894	20.7447	25.0	0.0	0.0	0.5	0.14285714285714285	1	2
ENSRNOG00000049427	OG_00052	HQ_SNG_013621	AABR07036711.1	RATNO	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	38.0645	31.383	25.0	0.0	0.0	0.42857142857142855	0.14285714285714285	1	3
ENSRNOG00000031720	OG_00052	HQ_SNG_012835	AABR07018269.1	RATNO	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	33.6634	18.0851	0.0	0.0	0.0	0.14285714285714285	0.0	6	4
ENSRNOG00000026177	OG_15045	HQ_SNG_012392	Mgam	RATNO	5	1to1	singleton	ENSMFAG00000000048	HQ_15988	MGAM	MACFA	5	1to1	1to1	32.2026	77.706	100.0	100.0	0.0	0.6	0.3333333333333333	1	1
ENSRNOG00000009138	OG_14416	HQ_12566	ENSRNOG00000009138	RATNO	5	1to1	1to1	ENSMFAG00000000049	HQ_12566	C1orf185	MACFA	5	1to1	1to1	50.8929	45.0593	75.0	66.61	0.0	0.2727272727272727	0.2727272727272727	1	1
ENSRNOG00000018500	OG_09335	HQ_14498	Frmd4a	RATNO	5	1to1	1to1	ENSMFAG00000000050	HQ_SNG_001566		MACFA	5	1to1	singleton	34.1983	94.6154	75.0	39.64	0.0	0.2222222222222222	0.1	1	1
ENSRNOG00000069646	OG_00012	HQ_SNG_016570	ENSRNOG00000069646	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	57.197	49.835	0.0	0.0	0.0	0.1	0.0	1	1
ENSRNOG00000068759	OG_00012	HQ_SNG_016289	ENSRNOG00000068759	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	65.8915	28.0528	0.0	0.0	0.0	0.1	0.0	1	2
ENSRNOG00000065763	OG_00012	HQ_SNG_015350	ENSRNOG00000065763	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	65.6863	44.2244	0.0	0.0	0.0	0.09090909090909091	0.0	1	3
ENSRNOG00000070707	OG_00012	HQ_SNG_016924	ENSRNOG00000070707	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	64.0884	38.2838	0.0	0.0	0.0	0.09090909090909091	0.0	1	4
ENSRNOG00000067676	OG_00012	HQ_SNG_015954	ENSRNOG00000067676	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	57.5758	50.165	0.0	0.0	0.0	0.08333333333333333	0.0	1	5
ENSRNOG00000065734	OG_00012	HQ_SNG_015341	ENSRNOG00000065734	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	62.4339	38.9439	0.0	0.0	0.0	0.08333333333333333	0.0	1	6
ENSRNOG00000067882	OG_00012	HQ_SNG_016017	ENSRNOG00000067882	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	62.7907	26.7327	0.0	0.0	0.0	0.08333333333333333	0.0	1	7
ENSRNOG00000062360	OG_00012	HQ_SNG_014283	ENSRNOG00000062360	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	80.0847	62.3762	0.0	0.0	0.0	0.07692307692307693	0.0	1	8
ENSRNOG00000068201	OG_00012	HQ_SNG_016108	ENSRNOG00000068201	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	50.3125	53.1353	0.0	0.0	0.0	0.07692307692307693	0.0	1	9
ENSRNOG00000048867	OG_00012	HQ_SNG_013586	AABR07016310.1	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	62.1849	48.8449	0.0	0.0	0.0	0.07692307692307693	0.0	1	10
ENSRNOG00000068289	OG_00012	HQ_SNG_016133	ENSRNOG00000068289	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	63.75	33.6634	0.0	0.0	0.0	0.07692307692307693	0.0	1	11
ENSRNOG00000070738	OG_00012	HQ_SNG_016936	ENSRNOG00000070738	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	65.0655	49.1749	0.0	0.0	0.0	0.07142857142857142	0.0	1	12
ENSRNOG00000049619	OG_00012	HQ_SNG_013632	AABR07053236.1	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.6818	48.5149	0.0	0.0	0.0	0.07142857142857142	0.0	1	13
ENSRNOG00000064259	OG_00012	HQ_SNG_014886	ENSRNOG00000064259	RATNO	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	58.0645	41.5842	0.0	0.0	0.0	0.07142857142857142	0.0	1	14
ENSRNOG00000001494	OG_04570	HQ_03017	Napa	RATNO	5	1to1	1to1	ENSMFAG00000000053	HQ_03017	NAPA	MACFA	5	1to1	1to1	86.9565	69.5187	100.0	0.0	1.0	0.2	0.2	1	1
ENSRNOG00000055010	OG_11540	HQ_09841	Axin2	RATNO	5	1to1	1to1	ENSMFAG00000000055	HQ_09841	AXIN2	MACFA	5	1to1	1to1	65.5131	63.6153	50.0	47.98	0.0	0.6	0.6	1	1
ENSRNOG00000003254	OG_05144	HQ_03600	Il23a	RATNO	5	1to1	1to1	ENSMFAG00000000058	HQ_03600	IL23A	MACFA	5	1to1	1to1	75.0	77.7778	100.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSRNOG00000029038	OG_00751	HQ_01079	Gemin8	RATNO	5	multi_copy	1to1	ENSMFAG00000000059	HQ_01079	GEMIN8	MACFA	5	multi_copy	1to1	67.364	66.5289	100.0	17.81	1.0	0.375	0.375	1	1
ENSRNOG00000063060	OG_00751	HQ_SNG_014495	ENSRNOG00000063060	RATNO	5	multi_copy	singleton	ENSMFAG00000000059	HQ_01079	GEMIN8	MACFA	5	multi_copy	1to1	56.3025	55.3719	0.0	0.0	0.0	0.07692307692307693	0.0	1	2
ENSRNOG00000068876	OG_00751	HQ_SNG_016326	ENSRNOG00000068876	RATNO	5	multi_copy	singleton	ENSMFAG00000000059	HQ_01079	GEMIN8	MACFA	5	multi_copy	1to1	59.0909	53.719	0.0	0.0	0.0	0.07142857142857142	0.0	1	3
ENSRNOG00000003050	OG_14079	HQ_12243	Tbc1d9b	RATNO	5	1to1	1to1	ENSMFAG00000000062	HQ_12243	TBC1D9B	MACFA	5	1to1	1to1	90.578	91.3738	100.0	100.0	1.0	0.4	0.4	1	1
ENSRNOG00000008584	OG_12010	HQ_10294	Rnaseh1	RATNO	5	1to1	1to1	ENSMFAG00000000063	HQ_10294	RNASEH1	MACFA	5	1to1	1to1	69.1228	67.2355	50.0	0.0	0.0	0.7142857142857143	0.7142857142857143	1	1
ENSRNOG00000020394	OG_14158	HQ_12318	Mcmbp	RATNO	5	1to1	1to1	ENSMFAG00000000064	HQ_12318	MCMBP	MACFA	5	1to1	1to1	92.9022	91.7445	100.0	100.0	1.0	0.6666666666666666	0.42857142857142855	1	1
ENSRNOG00000027767	OG_02446	HQ_00887	Slc38a5	RATNO	5	1to1	1to1	ENSMFAG00000000065	HQ_00887	SLC38A5	MACFA	5	1to1	1to1	60.1253	51.7056	50.0	0.0	0.0	0.6	0.6	1	1
ENSRNOG00000013002	OG_02835	HQ_01268	Gpbp1	RATNO	5	1to1	1to1	ENSMFAG00000000066	HQ_01268	GPBP1	MACFA	5	1to1	1to1	96.7546	96.7546	100.0	89.96	1.0	0.36363636363636365	0.36363636363636365	1	1
ENSRNOG00000003831	OG_02619	HQ_01059	Tdp1	RATNO	5	1to1	1to1	ENSMFAG00000000067	HQ_01059	TDP1	MACFA	5	1to1	1to1	78.8217	79.2	100.0	0.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSRNOG00000066331	OG_08481	HQ_06885	Il22ra1	RATNO	5	1to1	1to1	ENSMFAG00000000068	HQ_06885	IL22RA1	MACFA	5	1to1	1to1	70.5373	71.0297	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSRNOG00000023455	OG_03513	HQ_01951	Pomgnt1	RATNO	5	1to1	1to1	ENSMFAG00000000070	HQ_01951	POMGNT1	MACFA	5	1to1	1to1	88.7464	94.3939	100.0	0.0	1.0	1.0	1.0	1	1
ENSRNOG00000010091	OG_01665	HQ_00430	Efcab14	RATNO	5	multi_copy	multi_copy	ENSMFAG00000000071	HQ_00430		MACFA	5	multi_copy	multi_copy	53.1549	78.5311	0.0	0.0	0.0	0.1	0.1	2	1
ENSRNOG00000013018	OG_15807	HQ_14099	Eda2r	RATNO	4	1to1	1to1	ENSMFAG00000000072	HQ_14099	EDA2R	MACFA	4	1to1	1to1	78.1879	73.2704	100.0	0.0	1.0	0.2727272727272727	0.2727272727272727	1	1
ENSRNOG00000046159	OG_07601	HQ_06013	Gns	RATNO	5	1to1	1to1	ENSMFAG00000000073	HQ_06013	GNS	MACFA	5	1to1	1to1	89.3382	88.3636	100.0	93.1	1.0	0.5	0.5	1	1
ENSRNOG00000000596	OG_02358	HQ_00802	Fyn	RATNO	5	1to1	1to1	ENSMFAG00000000074	HQ_00802	FYN	MACFA	5	1to1	1to1	93.0435	99.6276	100.0	98.41	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSRNOG00000016886	OG_10529	HQ_08852	Rnf25	RATNO	5	1to1	1to1	ENSMFAG00000000075	HQ_08852	RNF25	MACFA	5	1to1	1to1	80.6931	70.4104	100.0	100.0	1.0	0.75	0.75	1	1
ENSRNOG00000003298	OG_14322	HQ_12484	Cd247	RATNO	5	1to1	1to1	ENSMFAG00000000076	HQ_12484	CD247	MACFA	5	1to1	1to1	59.7015	71.4286	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSRNOG00000003889	OG_06199	HQ_04648	Tbc1d15	RATNO	5	1to1	1to1	ENSMFAG00000000077	HQ_04648	TBC1D15	MACFA	5	1to1	1to1	92.4309	91.8958	100.0	34.36	1.0	0.45454545454545453	0.45454545454545453	1	1
ENSRNOG00000023202	OG_07600	HQ_06012	Usp15	RATNO	5	1to1	1to1	ENSMFAG00000000078	HQ_06012	USP15	MACFA	5	1to1	1to1	98.0632	98.0632	100.0	95.15	1.0	0.2222222222222222	0.2222222222222222	1	1
ENSRNOG00000007722	OG_11375	HQ_09686	Tlcd3a	RATNO	5	1to1	1to1	ENSMFAG00000000080	HQ_09686	TLCD3A	MACFA	5	1to1	1to1	77.0428	77.0428	100.0	0.0	1.0	0.375	0.375	1	1
ENSRNOG00000019868	OG_08516	HQ_06917	Psma5	RATNO	5	1to1	1to1	ENSMFAG00000000081	HQ_06917	PSMA5	MACFA	5	1to1	1to1	86.3454	89.2116	100.0	100.0	1.0	0.875	0.875	1	1
ENSRNOG00000029598	OG_13397	HQ_11607	Robo2	RATNO	5	1to1	1to1	ENSMFAG00000000082	HQ_11607	ROBO2	MACFA	5	1to1	1to1	89.563	95.4135	50.0	49.0	0.0	0.1	0.1	1	1
ENSRNOG00000010977	OG_11396	HQ_09705	Igfbp6	RATNO	5	1to1	1to1	ENSMFAG00000000085	HQ_09705	IGFBP6	MACFA	5	1to1	1to1	57.9646	45.6446	100.0	0.0	0.0	0.5714285714285714	0.5714285714285714	1	1
ENSRNOG00000027124	OG_08136	HQ_06545	Tdg	RATNO	5	1to1	1to1	ENSMFAG00000000086	HQ_06545	TDG	MACFA	5	1to1	1to1	85.2381	87.1046	100.0	0.0	1.0	0.625	0.625	1	1
ENSRNOG00000014618	OG_04933	HQ_03378	Med31	RATNO	5	1to1	1to1	ENSMFAG00000000088	HQ_03378	MED31	MACFA	5	1to1	1to1	97.7099	97.7099	100.0	0.0	1.0	0.5714285714285714	0.375	1	1
ENSRNOG00000028074	OG_13729	HQ_11916	Lcn10	RATNO	5	1to1	1to1	ENSMFAG00000000089	HQ_11916	LCN10	MACFA	5	1to1	1to1	69.2308	64.9485	50.0	0.0	0.0	0.07692307692307693	0.07142857142857142	1	1
ENSRNOG00000015677	OG_09992	HQ_08364	Cda	RATNO	5	1to1	1to1	ENSMFAG00000000090	HQ_08364	CDA	MACFA	5	1to1	1to1	64.3836	55.2941	100.0	0.0	1.0	0.45454545454545453	0.45454545454545453	1	1
ENSRNOG00000043061	OG_14764	HQ_12878	Siah3	RATNO	5	1to1	1to1	ENSMFAG00000000091	HQ_12878	SIAH3	MACFA	5	1to1	1to1	90.2985	89.9628	100.0	22.6	1.0	0.2727272727272727	0.2727272727272727	1	1
ENSRNOG00000015293	OG_00995	HQ_00243	Dynlt2	RATNO	5	multi_copy	multi_copy	ENSMFAG00000000092	HQ_00243	DYNLT2	MACFA	5	multi_copy	multi_copy	72.5389	47.7816	100.0	0.0	0.0	0.5714285714285714	0.5714285714285714	1	1
ENSRNOG00000009700	OG_09969	HQ_08341	Dync1i1	RATNO	5	1to1	1to1	ENSMFAG00000000094	HQ_08341	DYNC1I1	MACFA	5	1to1	1to1	98.2893	97.9845	75.0	54.12	1.0	0.1111111111111111	0.1111111111111111	1	1
ENSRNOG00000012609	OG_13576	HQ_11779	Trdn	RATNO	5	1to1	1to1	ENSMFAG00000000095	HQ_11779	TRDN	MACFA	5	1to1	1to1	68.314	64.8276	50.0	28.17	0.0	0.3333333333333333	0.3333333333333333	1	1
ENSRNOG00000003840	OG_08787	HQ_07195	Slit2	RATNO	5	1to1	1to1	ENSMFAG00000000096	HQ_07195	SLIT2	MACFA	5	1to1	1to1	96.952	96.952	100.0	20.17	1.0	0.6	0.6	1	1
ENSRNOG00000002911	OG_10572	HQ_08897	Alb	RATNO	5	1to1	1to1	ENSMFAG00000000097	HQ_08897	ALB	MACFA	5	1to1	1to1	72.4026	73.3553	100.0	0.0	1.0	0.5	0.3333333333333333	1	1
ENSRNOG00000001580	OG_06830	HQ_05260	Hoxd9	RATNO	5	1to1	1to1	ENSMFAG00000000099	HQ_05260	HOXD9	MACFA	5	1to1	1to1	86.2974	83.6158	100.0	0.0	1.0	0.6923076923076923	0.5714285714285714	1	1
ENSRNOG00000019957	OG_14317	HQ_12478	Lrig2	RATNO	5	1to1	1to1	ENSMFAG00000000102	HQ_12478	LRIG2	MACFA	5	1to1	1to1	89.8482	87.4423	75.0	0.0	1.0	0.2727272727272727	0.2727272727272727	1	1
ENSRNOG00000034221	OG_13851	HQ_12034	Cfap126	RATNO	5	1to1	1to1	ENSMFAG00000000103	HQ_12034	CFAP126	MACFA	5	1to1	1to1	73.5135	76.8362	100.0	0.0	1.0	0.6666666666666666	0.42857142857142855	1	1
ENSRNOG00000052051	OG_03176	HQ_01611	Slc24a1	RATNO	5	1to1	1to1	ENSMFAG00000000105	HQ_01611	SLC24A1	MACFA	5	1to1	1to1	58.5944	68.9243	100.0	47.68	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSRNOG00000002879	OG_08638	HQ_07043	Psen2	RATNO	5	1to1	1to1	ENSMFAG00000000107	HQ_07043	PSEN2	MACFA	5	1to1	1to1	95.0893	88.5655	100.0	0.0	1.0	0.5555555555555556	0.5555555555555556	1	1
ENSRNOG00000004339	OG_04035	HQ_02483	Yy1	RATNO	5	1to1	1to1	ENSMFAG00000000108	HQ_02483	YY1	MACFA	5	1to1	1to1	93.9173	93.9173	75.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSRNOG00000061088	OG_06336	HQ_04782	Atf1	RATNO	5	1to1	1to1	ENSMFAG00000000109	HQ_04782	ATF1	MACFA	5	1to1	1to1	93.2836	92.5926	100.0	0.62	1.0	0.75	0.75	1	1
ENSRNOG00000024602	OG_11201	HQ_09519	Plekha7	RATNO	5	1to1	1to1	ENSMFAG00000000110	HQ_09519	PLEKHA7	MACFA	5	1to1	1to1	88.7755	88.9851	75.0	18.65	1.0	0.2	0.2	1	1
ENSRNOG00000002141	OG_03719	HQ_02156	Cd200	RATNO	5	1to1	1to1	ENSMFAG00000000111	HQ_02156	CD200	MACFA	5	1to1	1to1	75.5396	71.4286	100.0	0.0	1.0	0.16666666666666666	0.16666666666666666	1	1
ENSRNOG00000009163	OG_01053	HQ_12964	Fam133b	RATNO	5	multi_copy	1to1	ENSMFAG00000000112	HQ_SNG_001568		MACFA	5	multi_copy	singleton	64.684	70.7317	0.0	0.0	0.0	0.058823529411764705	0.0	3	1
ENSRNOG00000009110	OG_03375	HQ_01813	Psen1	RATNO	5	1to1	1to1	ENSMFAG00000000113	HQ_01813	PSEN1	MACFA	5	1to1	1to1	92.3077	92.5054	100.0	43.5	1.0	0.5555555555555556	0.5555555555555556	1	1
ENSRNOG00000021412	OG_00909	HQ_SNG_012167	Slfn13	RATNO	5	multi_copy	singleton	ENSMFAG00000000114	HQ_00418	SLFN13	MACFA	5	multi_copy	multi_copy	59.2148	60.5351	50.0	0.0	0.0	0.25	0.0	1	1
ENSRNOG00000023640	OG_07232	HQ_05647	Rab25	RATNO	5	1to1	1to1	ENSMFAG00000000115	HQ_05647	RAB25	MACFA	5	1to1	1to1	91.5493	85.1528	100.0	0.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSRNOG00000001869	OG_15028	HQ_13111	Rab44	RATNO	5	1to1	1to1	ENSMFAG00000000117	HQ_13111	RAB44	MACFA	5	1to1	1to1	59.7938	57.2557	100.0	0.0	1.0	0.625	0.625	1	1
ENSRNOG00000008443	OG_03470	HQ_01910	Fam234b	RATNO	5	1to1	1to1	ENSMFAG00000000118	HQ_01910	FAM234B	MACFA	5	1to1	1to1	82.0396	86.6559	100.0	0.0	1.0	0.375	0.375	1	1
ENSRNOG00000014341	OG_00902	HQ_07534	Btbd10	RATNO	5	multi_copy	1to1	ENSMFAG00000000120	HQ_07534	BTBD10	MACFA	5	multi_copy	1to1	89.8551	85.098	75.0	44.21	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSRNOG00000064782	OG_00902	HQ_SNG_015039	ENSRNOG00000064782	RATNO	5	multi_copy	singleton	ENSMFAG00000000120	HQ_07534	BTBD10	MACFA	5	multi_copy	1to1	80.1435	65.6863	0.0	0.0	0.0	0.07692307692307693	0.0	1	2
ENSRNOG00000003841	OG_08589	HQ_06991	Kcnh1	RATNO	5	1to1	1to1	ENSMFAG00000000121	HQ_06991	KCNH1	MACFA	5	1to1	1to1	97.9778	97.9778	100.0	23.24	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSRNOG00000020833	OG_05520	HQ_03973	Cspg5	RATNO	5	1to1	1to1	ENSMFAG00000000124	HQ_03973	CSPG5	MACFA	5	1to1	1to1	80.2102	71.4509	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSRNOG00000016036	OG_08365	HQ_06777	Rprd1a	RATNO	5	1to1	1to1	ENSMFAG00000000125	HQ_06777	RPRD1A	MACFA	5	1to1	1to1	98.3974	98.3974	75.0	52.44	1.0	0.5	0.5	1	1
ENSRNOG00000018420	OG_07833	HQ_06250	Slc22a7	RATNO	5	1to1	1to1	ENSMFAG00000000127	HQ_06250	SLC22A7	MACFA	5	1to1	1to1	78.3178	76.4599	100.0	0.0	1.0	1.0	0.75	1	1
ENSRNOG00000015987	OG_08050	HQ_06461	Rap1gds1	RATNO	5	1to1	1to1	ENSMFAG00000000128	HQ_06461	RAP1GDS1	MACFA	5	1to1	1to1	90.1153	94.8007	100.0	75.96	1.0	0.4	0.4	1	1
ENSRNOG00000025691	OG_08893	HQ_07296	Pla2g7	RATNO	5	1to1	1to1	ENSMFAG00000000129	HQ_07296	PLA2G7	MACFA	5	1to1	1to1	64.0909	55.1859	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSRNOG00000009936	OG_04091	HQ_13597	Dido1	RATNO	5	1to1	1to1	ENSMFAG00000000130	HQ_13597	DIDO1	MACFA	5	1to1	1to1	67.9805	73.5506	100.0	0.0	1.0	0.5555555555555556	0.4	1	1
ENSRNOG00000022274	OG_07774	HQ_06192	Slc2a8	RATNO	5	1to1	1to1	ENSMFAG00000000131	HQ_06192	SLC2A8	MACFA	5	1to1	1to1	79.4055	78.5714	100.0	0.0	1.0	0.375	0.375	1	1
ENSRNOG00000011282	OG_04594	HQ_03036	Ppp2r1a	RATNO	5	1to1	1to1	ENSMFAG00000000132	HQ_03036	PPP2R1A	MACFA	5	1to1	1to1	99.8302	99.8302	50.0	0.0	0.0	0.16666666666666666	0.1111111111111111	1	1
ENSRNOG00000007427	OG_14130	HQ_12290	Entpd6	RATNO	5	1to1	1to1	ENSMFAG00000000133	HQ_12290	ENTPD6	MACFA	5	1to1	1to1	87.9121	82.6446	100.0	0.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSRNOG00000018949	OG_11947	HQ_10233	Dlk2	RATNO	5	1to1	1to1	ENSMFAG00000000134	HQ_10233	DLK2	MACFA	5	1to1	1to1	85.9259	90.8616	100.0	100.0	1.0	0.5	0.5	1	1
ENSRNOG00000000873	OG_04234	HQ_02684	Brs3	RATNO	5	1to1	1to1	ENSMFAG00000000136	HQ_02684	BRS3	MACFA	5	1to1	1to1	85.8639	82.4121	100.0	99.62	1.0	0.625	0.3	1	1
ENSRNOG00000004269	OG_01948	HQ_15464	Myt1l	RATNO	5	multi_copy	1to1	ENSMFAG00000000137	HQ_SNG_001569		MACFA	5	multi_copy	singleton	8.84583	95.4545	100.0	55.01	0.0	0.42857142857142855	0.2	1	1
ENSRNOG00000003821	OG_08395	HQ_06806	Rptor	RATNO	5	1to1	1to1	ENSMFAG00000000138	HQ_06806	RPTOR	MACFA	5	1to1	1to1	96.8539	96.8539	100.0	93.08	1.0	0.7142857142857143	0.5	1	1
ENSRNOG00000031827	OG_12653	HQ_10913	Arih2	RATNO	5	1to1	1to1	ENSMFAG00000000139	HQ_10913	ARIH2	MACFA	5	1to1	1to1	77.2177	77.6876	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSRNOG00000004890	OG_09721	HQ_08101	Adcy8	RATNO	5	1to1	1to1	ENSMFAG00000000140	HQ_08101	ADCY8	MACFA	5	1to1	1to1	97.0353	96.88	100.0	55.85	1.0	0.8	0.8	1	1
ENSRNOG00000005726	OG_01946	HQ_15463	Pclo	RATNO	5	multi_copy	1to1	ENSMFAG00000000141	HQ_15463	PCLO	MACFA	5	multi_copy	1to1	84.3264	83.7664	100.0	12.61	1.0	0.375	0.3333333333333333	1	1
