ensembl_id_HUMAN	ens_orthogroup_id	ens_hqorthogroup_id_HUMAN	gene_symbol_HUMAN	species_code_HUMAN	n_species_HUMAN	ens_orthogroup_status_HUMAN	ens_hqorthogroup_status_HUMAN	ensembl_id_MACFA	ens_hqorthogroup_id_MACFA	gene_symbol_MACFA	species_code_MACFA	n_species_MACFA	ens_orthogroup_status_MACFA	ens_hqorthogroup_status_MACFA	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_HUMAN	ortholog_rank_MACFA
ENSG00000269791	OG_00052	HQ_SNG_001184	SSX4B	HUMAN	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	0.0	0.0	0.0	0.0	0.0	0.25	0.1	6	6
ENSG00000241476	OG_00052	HQ_SNG_000910	SSX2	HUMAN	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	0.0	0.0	0.0	0.0	0.0	0.2	0.0	6	7
ENSG00000268447	OG_00052	HQ_SNG_001160	SSX2B	HUMAN	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	0.0	0.0	0.0	0.0	0.0	0.2	0.0	6	8
ENSG00000257335	OG_15045	HQ_15988	MGAM	HUMAN	5	1to1	1to1	ENSMFAG00000000048	HQ_15988	MGAM	MACFA	5	1to1	1to1	65.0926	96.4997	50.0	100.0	1.0	0.625	0.625	1	1
ENSG00000204006	OG_14416	HQ_12566	C1orf185	HUMAN	5	1to1	1to1	ENSMFAG00000000049	HQ_12566	C1orf185	MACFA	5	1to1	1to1	90.4523	71.1462	100.0	100.0	1.0	0.18181818181818182	0.18181818181818182	1	1
ENSG00000151474	OG_09335	HQ_14498	FRMD4A	HUMAN	5	1to1	1to1	ENSMFAG00000000050	HQ_SNG_001566		MACFA	5	1to1	singleton	35.3224	94.1026	100.0	99.77	0.0	0.2222222222222222	0.1	1	1
ENSG00000186787	OG_00012	HQ_00405	SPIN2B	HUMAN	5	multi_copy	multi_copy	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	98.8372	84.1584	50.0	100.0	1.0	0.375	0.375	1	1
ENSG00000147059	OG_00012	HQ_00405	SPIN2A	HUMAN	5	multi_copy	multi_copy	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	98.4496	83.8284	50.0	0.0	0.0	0.18181818181818182	0.18181818181818182	2	2
ENSG00000105402	OG_04570	HQ_03017	NAPA	HUMAN	5	1to1	1to1	ENSMFAG00000000053	HQ_03017	NAPA	MACFA	5	1to1	1to1	98.3051	77.5401	100.0	100.0	1.0	0.25	0.25	1	1
ENSG00000168646	OG_11540	HQ_09841	AXIN2	HUMAN	5	1to1	1to1	ENSMFAG00000000055	HQ_09841	AXIN2	MACFA	5	1to1	1to1	72.3606	70.6837	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000110944	OG_05144	HQ_03600	IL23A	HUMAN	5	1to1	1to1	ENSMFAG00000000058	HQ_03600	IL23A	MACFA	5	1to1	1to1	97.8836	97.8836	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000046647	OG_00751	HQ_01079	GEMIN8	HUMAN	5	multi_copy	1to1	ENSMFAG00000000059	HQ_01079	GEMIN8	MACFA	5	multi_copy	1to1	95.4545	95.4545	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000189164	OG_17867	HQ_16939	ZNF527	HUMAN	3	1to1	1to1	ENSMFAG00000000061	HQ_16939	ZNF527	MACFA	3	1to1	1to1	96.2233	96.2233	100.0	100.0	1.0	0.25	0.25	1	1
ENSG00000197226	OG_14079	HQ_12243	TBC1D9B	HUMAN	5	1to1	1to1	ENSMFAG00000000062	HQ_12243	TBC1D9B	MACFA	5	1to1	1to1	97.1614	95.6869	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000171865	OG_12010	HQ_10294	RNASEH1	HUMAN	5	1to1	1to1	ENSMFAG00000000063	HQ_10294	RNASEH1	MACFA	5	1to1	1to1	84.2657	82.2526	100.0	100.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000197771	OG_14158	HQ_12318	MCMBP	HUMAN	5	1to1	1to1	ENSMFAG00000000064	HQ_12318	MCMBP	MACFA	5	1to1	1to1	99.6875	99.3769	100.0	100.0	1.0	1.0	0.6	1	1
ENSG00000017483	OG_02446	HQ_00887	SLC38A5	HUMAN	5	1to1	1to1	ENSMFAG00000000065	HQ_00887	SLC38A5	MACFA	5	1to1	1to1	69.7034	59.0664	100.0	99.38	1.0	1.0	1.0	1	1
ENSG00000062194	OG_02835	HQ_01268	GPBP1	HUMAN	5	1to1	1to1	ENSMFAG00000000066	HQ_01268	GPBP1	MACFA	5	1to1	1to1	99.3658	95.3347	100.0	100.0	1.0	0.625	0.625	1	1
ENSG00000042088	OG_02619	HQ_01059	TDP1	HUMAN	5	1to1	1to1	ENSMFAG00000000067	HQ_01059	TDP1	MACFA	5	1to1	1to1	96.3816	93.76	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000142677	OG_08481	HQ_06885	IL22RA1	HUMAN	5	1to1	1to1	ENSMFAG00000000068	HQ_06885	IL22RA1	MACFA	5	1to1	1to1	95.2962	95.4625	100.0	100.0	1.0	0.8	0.8	1	1
ENSG00000085998	OG_03513	HQ_01951	POMGNT1	HUMAN	5	1to1	1to1	ENSMFAG00000000070	HQ_01951	POMGNT1	MACFA	5	1to1	1to1	99.2424	99.2424	75.0	100.0	1.0	0.16666666666666666	0.16666666666666666	1	1
ENSG00000159658	OG_01665	HQ_00430	EFCAB14	HUMAN	5	multi_copy	multi_copy	ENSMFAG00000000071	HQ_00430		MACFA	5	multi_copy	multi_copy	66.0606	92.3729	0.0	93.56	1.0	0.16666666666666666	0.16666666666666666	2	1
ENSG00000131080	OG_15807	HQ_14099	EDA2R	HUMAN	4	1to1	1to1	ENSMFAG00000000072	HQ_14099	EDA2R	MACFA	4	1to1	1to1	93.266	87.1069	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000135677	OG_07601	HQ_06013	GNS	HUMAN	5	1to1	1to1	ENSMFAG00000000073	HQ_06013	GNS	MACFA	5	1to1	1to1	98.7319	99.0909	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000010810	OG_02358	HQ_00802	FYN	HUMAN	5	1to1	1to1	ENSMFAG00000000074	HQ_00802	FYN	MACFA	5	1to1	1to1	100.0	100.0	100.0	100.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000163481	OG_10529	HQ_08852	RNF25	HUMAN	5	1to1	1to1	ENSMFAG00000000075	HQ_08852	RNF25	MACFA	5	1to1	1to1	90.4139	89.6328	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000198821	OG_14322	HQ_12484	CD247	HUMAN	5	1to1	1to1	ENSMFAG00000000076	HQ_12484	CD247	MACFA	5	1to1	1to1	90.8537	88.6905	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000121749	OG_06199	HQ_04648	TBC1D15	HUMAN	5	1to1	1to1	ENSMFAG00000000077	HQ_04648	TBC1D15	MACFA	5	1to1	1to1	98.2196	95.8032	100.0	100.0	1.0	0.3	0.3	1	1
ENSG00000135655	OG_07600	HQ_06012	USP15	HUMAN	5	1to1	1to1	ENSMFAG00000000078	HQ_06012	USP15	MACFA	5	1to1	1to1	100.0	100.0	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000167695	OG_11375	HQ_09686	TLCD3A	HUMAN	5	1to1	1to1	ENSMFAG00000000080	HQ_09686	TLCD3A	MACFA	5	1to1	1to1	95.7198	95.7198	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000143106	OG_08516	HQ_06917	PSMA5	HUMAN	5	1to1	1to1	ENSMFAG00000000081	HQ_06917	PSMA5	MACFA	5	1to1	1to1	100.0	100.0	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000185008	OG_13397	HQ_11607	ROBO2	HUMAN	5	1to1	1to1	ENSMFAG00000000082	HQ_11607	ROBO2	MACFA	5	1to1	1to1	92.6001	94.788	50.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000167779	OG_11396	HQ_09705	IGFBP6	HUMAN	5	1to1	1to1	ENSMFAG00000000085	HQ_09705	IGFBP6	MACFA	5	1to1	1to1	82.0833	68.6411	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000139372	OG_08136	HQ_06545	TDG	HUMAN	5	1to1	1to1	ENSMFAG00000000086	HQ_06545	TDG	MACFA	5	1to1	1to1	97.561	97.3236	100.0	100.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000108590	OG_04933	HQ_03378	MED31	HUMAN	5	1to1	1to1	ENSMFAG00000000088	HQ_03378	MED31	MACFA	5	1to1	1to1	100.0	100.0	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000187922	OG_13729	HQ_11916	LCN10	HUMAN	5	1to1	1to1	ENSMFAG00000000089	HQ_11916	LCN10	MACFA	5	1to1	1to1	90.0	92.7835	100.0	100.0	1.0	0.2222222222222222	0.2222222222222222	1	1
ENSG00000158825	OG_09992	HQ_08364	CDA	HUMAN	5	1to1	1to1	ENSMFAG00000000090	HQ_08364	CDA	MACFA	5	1to1	1to1	71.2329	61.1765	100.0	100.0	1.0	0.45454545454545453	0.45454545454545453	1	1
ENSG00000215475	OG_14764	HQ_12878	SIAH3	HUMAN	5	1to1	1to1	ENSMFAG00000000091	HQ_12878	SIAH3	MACFA	5	1to1	1to1	97.7695	97.7695	100.0	100.0	1.0	0.3	0.3	1	1
ENSG00000184786	OG_00995	HQ_00243	DYNLT2	HUMAN	5	multi_copy	multi_copy	ENSMFAG00000000092	HQ_00243	DYNLT2	MACFA	5	multi_copy	multi_copy	81.3131	54.9488	100.0	100.0	1.0	0.8	0.8	1	1
ENSG00000158560	OG_09969	HQ_08341	DYNC1I1	HUMAN	5	1to1	1to1	ENSMFAG00000000094	HQ_08341	DYNC1I1	MACFA	5	1to1	1to1	99.6815	97.0543	100.0	100.0	1.0	0.14285714285714285	0.14285714285714285	1	1
ENSG00000186439	OG_13576	HQ_11779	TRDN	HUMAN	5	1to1	1to1	ENSMFAG00000000095	HQ_11779	TRDN	MACFA	5	1to1	1to1	92.8669	93.3793	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000145147	OG_08787	HQ_07195	SLIT2	HUMAN	5	1to1	1to1	ENSMFAG00000000096	HQ_07195	SLIT2	MACFA	5	1to1	1to1	99.6076	98.7678	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000163631	OG_10572	HQ_08897	ALB	HUMAN	5	1to1	1to1	ENSMFAG00000000097	HQ_08897	ALB	MACFA	5	1to1	1to1	93.2677	93.4211	100.0	100.0	1.0	0.6666666666666666	0.42857142857142855	1	1
ENSG00000128709	OG_06830	HQ_05260	HOXD9	HUMAN	5	1to1	1to1	ENSMFAG00000000099	HQ_05260	HOXD9	MACFA	5	1to1	1to1	93.75	93.2203	100.0	100.0	1.0	0.6363636363636364	0.5	1	1
ENSG00000198799	OG_14317	HQ_12478	LRIG2	HUMAN	5	1to1	1to1	ENSMFAG00000000102	HQ_12478	LRIG2	MACFA	5	1to1	1to1	97.5587	95.9372	100.0	100.0	1.0	0.375	0.375	1	1
ENSG00000188931	OG_13851	HQ_12034	CFAP126	HUMAN	5	1to1	1to1	ENSMFAG00000000103	HQ_12034	CFAP126	MACFA	5	1to1	1to1	96.6102	96.6102	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000074621	OG_03176	HQ_01611	SLC24A1	HUMAN	5	1to1	1to1	ENSMFAG00000000105	HQ_01611	SLC24A1	MACFA	5	1to1	1to1	83.7125	91.6335	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000143801	OG_08638	HQ_07043	PSEN2	HUMAN	5	1to1	1to1	ENSMFAG00000000107	HQ_07043	PSEN2	MACFA	5	1to1	1to1	99.7768	92.9314	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000100811	OG_04035	HQ_02483	YY1	HUMAN	5	1to1	1to1	ENSMFAG00000000108	HQ_02483	YY1	MACFA	5	1to1	1to1	93.7198	94.4039	100.0	100.0	1.0	0.25	0.25	1	1
ENSG00000123268	OG_06336	HQ_04782	ATF1	HUMAN	5	1to1	1to1	ENSMFAG00000000109	HQ_04782	ATF1	MACFA	5	1to1	1to1	99.631	100.0	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000166689	OG_11201	HQ_09519	PLEKHA7	HUMAN	5	1to1	1to1	ENSMFAG00000000110	HQ_09519	PLEKHA7	MACFA	5	1to1	1to1	98.7411	98.7411	100.0	100.0	1.0	0.375	0.375	1	1
ENSG00000091972	OG_03719	HQ_02156	CD200	HUMAN	5	1to1	1to1	ENSMFAG00000000111	HQ_02156	CD200	MACFA	5	1to1	1to1	94.7955	86.7347	100.0	100.0	1.0	0.2	0.2	1	1
ENSG00000234545	OG_01053	HQ_12964	FAM133B	HUMAN	5	multi_copy	1to1	ENSMFAG00000000112	HQ_SNG_001568		MACFA	5	multi_copy	singleton	93.9271	94.3089	0.0	0.0	0.0	0.08333333333333333	0.0	3	1
ENSG00000080815	OG_03375	HQ_01813	PSEN1	HUMAN	5	1to1	1to1	ENSMFAG00000000113	HQ_01813	PSEN1	MACFA	5	1to1	1to1	100.0	100.0	100.0	100.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000154760	OG_00909	HQ_00418	SLFN13	HUMAN	5	multi_copy	multi_copy	ENSMFAG00000000114	HQ_00418	SLFN13	MACFA	5	multi_copy	multi_copy	88.1828	88.1828	100.0	87.1	1.0	0.5	0.42857142857142855	1	1
ENSG00000172716	OG_00909	HQ_00418	SLFN11	HUMAN	5	multi_copy	multi_copy	ENSMFAG00000000114	HQ_00418	SLFN13	MACFA	5	multi_copy	multi_copy	0.0	0.0	0.0	0.0	0.0	0.4	0.3333333333333333	1	2
ENSG00000132698	OG_07232	HQ_05647	RAB25	HUMAN	5	1to1	1to1	ENSMFAG00000000115	HQ_05647	RAB25	MACFA	5	1to1	1to1	93.8967	87.3362	100.0	100.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSG00000255587	OG_15028	HQ_13111	RAB44	HUMAN	5	1to1	1to1	ENSMFAG00000000117	HQ_13111	RAB44	MACFA	5	1to1	1to1	92.3604	93.0898	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000084444	OG_03470	HQ_01910	FAM234B	HUMAN	5	1to1	1to1	ENSMFAG00000000118	HQ_01910	FAM234B	MACFA	5	1to1	1to1	98.8746	98.8746	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000148925	OG_00902	HQ_07534	BTBD10	HUMAN	5	multi_copy	1to1	ENSMFAG00000000120	HQ_07534	BTBD10	MACFA	5	multi_copy	1to1	99.5789	92.7451	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000143473	OG_08589	HQ_06991	KCNH1	HUMAN	5	1to1	1to1	ENSMFAG00000000121	HQ_06991	KCNH1	MACFA	5	1to1	1to1	99.3933	99.3933	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000186579	OG_01949	HQ_00519	DEFB106A	HUMAN	3	multi_copy	multi_copy	ENSMFAG00000000123	HQ_00519		MACFA	3	multi_copy	multi_copy	80.0	80.0	50.0	100.0	1.0	0.4	0.2727272727272727	3	1
ENSG00000187082	OG_01949	HQ_00519	DEFB106B	HUMAN	3	multi_copy	multi_copy	ENSMFAG00000000123	HQ_00519		MACFA	3	multi_copy	multi_copy	80.0	80.0	50.0	100.0	1.0	0.4	0.2727272727272727	3	2
ENSG00000114646	OG_05520	HQ_03973	CSPG5	HUMAN	5	1to1	1to1	ENSMFAG00000000124	HQ_03973	CSPG5	MACFA	5	1to1	1to1	94.6197	79.5632	100.0	100.0	1.0	0.8	0.8	1	1
ENSG00000141425	OG_08365	HQ_06777	RPRD1A	HUMAN	5	1to1	1to1	ENSMFAG00000000125	HQ_06777	RPRD1A	MACFA	5	1to1	1to1	99.6795	99.6795	75.0	100.0	1.0	0.4	0.4	1	1
ENSG00000137204	OG_07833	HQ_06250	SLC22A7	HUMAN	5	1to1	1to1	ENSMFAG00000000127	HQ_06250	SLC22A7	MACFA	5	1to1	1to1	96.8978	96.8978	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000138698	OG_08050	HQ_06461	RAP1GDS1	HUMAN	5	1to1	1to1	ENSMFAG00000000128	HQ_06461	RAP1GDS1	MACFA	5	1to1	1to1	93.0807	97.9203	100.0	100.0	1.0	1.0	1.0	1	1
ENSG00000146070	OG_08893	HQ_07296	PLA2G7	HUMAN	5	1to1	1to1	ENSMFAG00000000129	HQ_07296	PLA2G7	MACFA	5	1to1	1to1	88.8889	76.7123	100.0	100.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSG00000101191	OG_04091	HQ_13597	DIDO1	HUMAN	5	1to1	1to1	ENSMFAG00000000130	HQ_13597	DIDO1	MACFA	5	1to1	1to1	88.2589	94.7293	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000136856	OG_07774	HQ_06192	SLC2A8	HUMAN	5	1to1	1to1	ENSMFAG00000000131	HQ_06192	SLC2A8	MACFA	5	1to1	1to1	97.9036	98.1092	100.0	100.0	1.0	0.6	0.6	1	1
ENSG00000105568	OG_04594	HQ_03036	PPP2R1A	HUMAN	5	1to1	1to1	ENSMFAG00000000132	HQ_03036	PPP2R1A	MACFA	5	1to1	1to1	100.0	100.0	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000197586	OG_14130	HQ_12290	ENTPD6	HUMAN	5	1to1	1to1	ENSMFAG00000000133	HQ_12290	ENTPD6	MACFA	5	1to1	1to1	97.5207	97.5207	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000171462	OG_11947	HQ_10233	DLK2	HUMAN	5	1to1	1to1	ENSMFAG00000000134	HQ_10233	DLK2	MACFA	5	1to1	1to1	99.4778	99.4778	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000102239	OG_04234	HQ_02684	BRS3	HUMAN	5	1to1	1to1	ENSMFAG00000000136	HQ_02684	BRS3	MACFA	5	1to1	1to1	96.4912	96.7337	100.0	100.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSG00000186487	OG_01948	HQ_15464	MYT1L	HUMAN	5	multi_copy	1to1	ENSMFAG00000000137	HQ_SNG_001569		MACFA	5	multi_copy	singleton	8.85329	95.4545	100.0	93.51	0.0	0.5	0.14285714285714285	1	1
ENSG00000141564	OG_08395	HQ_06806	RPTOR	HUMAN	5	1to1	1to1	ENSMFAG00000000138	HQ_06806	RPTOR	MACFA	5	1to1	1to1	99.7004	99.7004	100.0	100.0	1.0	0.5	0.2857142857142857	1	1
ENSG00000177479	OG_12653	HQ_10913	ARIH2	HUMAN	5	1to1	1to1	ENSMFAG00000000139	HQ_10913	ARIH2	MACFA	5	1to1	1to1	81.3387	81.3387	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000155897	OG_09721	HQ_08101	ADCY8	HUMAN	5	1to1	1to1	ENSMFAG00000000140	HQ_08101	ADCY8	MACFA	5	1to1	1to1	99.6003	99.68	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000186472	OG_01946	HQ_15463	PCLO	HUMAN	5	multi_copy	1to1	ENSMFAG00000000141	HQ_15463	PCLO	MACFA	5	multi_copy	1to1	96.5578	96.9916	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000057704	OG_02782	HQ_01219	TMCC3	HUMAN	5	1to1	1to1	ENSMFAG00000000142	HQ_01219	TMCC3	MACFA	5	1to1	1to1	94.7589	93.3884	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000148730	OG_01592	HQ_07520	EIF4EBP2	HUMAN	5	multi_copy	1to1	ENSMFAG00000000143	HQ_07520	EIF4EBP2	MACFA	5	multi_copy	1to1	98.3333	99.1597	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000136273	OG_07706	HQ_06125	HUS1	HUMAN	5	1to1	1to1	ENSMFAG00000000144	HQ_06125	HUS1	MACFA	5	1to1	1to1	90.7143	88.1944	100.0	100.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000075415	OG_03209	HQ_13472	SLC25A3	HUMAN	5	1to1	1to1	ENSMFAG00000000145	HQ_13472	SLC25A3	MACFA	5	1to1	1to1	94.7368	94.4751	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000204463	OG_14487	HQ_12628	BAG6	HUMAN	5	1to1	1to1	ENSMFAG00000000146	HQ_12628	BAG6	MACFA	5	1to1	1to1	96.0413	95.7118	100.0	100.0	1.0	0.2	0.2	1	1
ENSG00000100060	OG_03876	HQ_02319	MFNG	HUMAN	5	1to1	1to1	ENSMFAG00000000147	HQ_02319	MFNG	MACFA	5	1to1	1to1	97.1963	97.1963	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000160883	OG_10188	HQ_08538	HK3	HUMAN	5	1to1	1to1	ENSMFAG00000000149	HQ_08538	HK3	MACFA	5	1to1	1to1	96.208	96.208	100.0	100.0	1.0	0.6	0.6	1	1
ENSG00000166228	OG_01730	HQ_00443	PCBD1	HUMAN	5	multi_copy	multi_copy	ENSMFAG00000000150	HQ_00443	PCBD1	MACFA	5	multi_copy	multi_copy	100.0	100.0	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000153071	OG_09498	HQ_07885	DAB2	HUMAN	5	1to1	1to1	ENSMFAG00000000151	HQ_07885	DAB2	MACFA	5	1to1	1to1	97.4026	90.9091	50.0	100.0	1.0	0.5	0.5	1	1
ENSG00000141258	OG_08343	HQ_06757	SGSM2	HUMAN	5	1to1	1to1	ENSMFAG00000000154	HQ_06757	SGSM2	MACFA	5	1to1	1to1	97.8116	97.7186	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
