ensembl_id_HUMAN	ens_orthogroup_id	ens_hqorthogroup_id_HUMAN	gene_symbol_HUMAN	species_code_HUMAN	n_species_HUMAN	ens_orthogroup_status_HUMAN	ens_hqorthogroup_status_HUMAN	ensembl_id_MOUSE	ens_hqorthogroup_id_MOUSE	gene_symbol_MOUSE	species_code_MOUSE	n_species_MOUSE	ens_orthogroup_status_MOUSE	ens_hqorthogroup_status_MOUSE	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_HUMAN	ortholog_rank_MOUSE
ENSG00000068323	OG_02985	HQ_01421	TFE3	HUMAN	5	1to1	1to1	ENSMUSG00000000134	HQ_01421	Tfe3	MOUSE	5	1to1	1to1	96.1538	95.6522	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000168646	OG_11540	HQ_09841	AXIN2	HUMAN	5	1to1	1to1	ENSMUSG00000000142	HQ_09841	Axin2	MOUSE	5	1to1	1to1	89.4425	89.7619	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000106009	OG_04682	HQ_03122	BRAT1	HUMAN	5	1to1	1to1	ENSMUSG00000000148	HQ_03122	Brat1	MOUSE	5	1to1	1to1	73.5688	69.6655	25.0	100.0	1.0	0.16666666666666666	0.16666666666666666	1	1
ENSG00000146535	OG_08933	HQ_07338	GNA12	HUMAN	5	1to1	1to1	ENSMUSG00000000149	HQ_07338	Gna12	MOUSE	5	1to1	1to1	97.6378	98.153	50.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000110628	OG_05111	HQ_03568	SLC22A18	HUMAN	5	1to1	1to1	ENSMUSG00000000154	HQ_03568	Slc22a18	MOUSE	5	1to1	1to1	78.5366	75.9434	100.0	100.0	1.0	1.0	1.0	1	1
ENSG00000160255	OG_01670	HQ_08486	ITGB2	HUMAN	5	multi_copy	1to1	ENSMUSG00000000157	HQ_SNG_007828	Itgb2l	MOUSE	5	multi_copy	singleton	55.9168	54.0881	0.0	9.95	0.0	0.14285714285714285	0.0	2	1
ENSG00000150773	OG_09271	HQ_07667	PIH1D2	HUMAN	5	1to1	1to1	ENSMUSG00000000167	HQ_07667	Pih1d2	MOUSE	5	1to1	1to1	72.381	72.381	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000150768	OG_01604	HQ_14490	DLAT	HUMAN	5	multi_copy	1to1	ENSMUSG00000000168	HQ_14490	Dlat	MOUSE	5	multi_copy	1to1	85.3168	85.9813	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000204370	OG_01033	HQ_15730	SDHD	HUMAN	5	multi_copy	1to1	ENSMUSG00000000171	HQ_15730	Sdhd	MOUSE	5	multi_copy	1to1	82.3899	82.3899	75.0	100.0	1.0	0.6	0.6	1	1
ENSG00000118972	OG_05949	HQ_04406	FGF23	HUMAN	5	1to1	1to1	ENSMUSG00000000182	HQ_04406	Fgf23	MOUSE	5	1to1	1to1	70.1195	70.1195	100.0	100.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSG00000111241	OG_05170	HQ_03625	FGF6	HUMAN	5	1to1	1to1	ENSMUSG00000000183	HQ_03625	Fgf6	MOUSE	5	1to1	1to1	93.2692	93.2692	100.0	100.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSG00000118971	OG_05948	HQ_04405	CCND2	HUMAN	5	1to1	1to1	ENSMUSG00000000184	HQ_04405	Ccnd2	MOUSE	5	1to1	1to1	92.0415	92.0415	100.0	100.0	1.0	0.6	0.6	1	1
ENSG00000148358	OG_09089	HQ_07485	GPR107	HUMAN	5	1to1	1to1	ENSMUSG00000000194	HQ_07485	Gpr107	MOUSE	5	1to1	1to1	84.2391	84.392	100.0	100.0	1.0	1.0	1.0	1	1
ENSG00000102452	OG_04251	HQ_02703	NALCN	HUMAN	5	1to1	1to1	ENSMUSG00000000197	HQ_02703	Nalcn	MOUSE	5	1to1	1to1	98.5624	98.6191	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000204347	OG_16960	HQ_15727	BTBD17	HUMAN	4	1to1	1to1	ENSMUSG00000000202	HQ_15727	Btbd17	MOUSE	4	1to1	1to1	92.6778	92.6778	100.0	100.0	1.0	1.0	1.0	1	1
ENSG00000205045	OG_00258	HQ_18285	SLFN12L	HUMAN	4	multi_copy	1to1	ENSMUSG00000000204	HQ_SNG_007829	Slfn4	MOUSE	4	multi_copy	singleton	39.7059	40.3654	0.0	27.04	0.0	1.0	0.375	1	1
ENSG00000172123	OG_00258	HQ_17977	SLFN12	HUMAN	4	multi_copy	1to1	ENSMUSG00000000204	HQ_SNG_007829	Slfn4	MOUSE	4	multi_copy	singleton	42.7336	41.0299	0.0	2.04	0.0	0.5	0.125	3	2
ENSG00000180176	OG_12895	HQ_11131	TH	HUMAN	5	1to1	1to1	ENSMUSG00000000214	HQ_11131	Th	MOUSE	5	1to1	1to1	87.3494	87.5252	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000254647	OG_01059	HQ_13103	INS	HUMAN	5	multi_copy	1to1	ENSMUSG00000000215	HQ_13103	Ins2	MOUSE	5	multi_copy	1to1	81.8182	81.8182	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000166828	OG_11221	HQ_09540	SCNN1G	HUMAN	5	1to1	1to1	ENSMUSG00000000216	HQ_09540	Scnn1g	MOUSE	5	1to1	1to1	86.2866	85.4962	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000102385	OG_04246	HQ_02696	DRP2	HUMAN	5	1to1	1to1	ENSMUSG00000000223	HQ_02696	Drp2	MOUSE	5	1to1	1to1	90.316	92.581	100.0	100.0	1.0	0.8	0.8	1	1
ENSG00000064201	OG_02856	HQ_16193	TSPAN32	HUMAN	5	1to1	1to1	ENSMUSG00000000244	HQ_16193	Tspan32	MOUSE	5	1to1	1to1	63.2812	50.625	100.0	99.52	1.0	0.5	0.5	1	1
ENSG00000106689	OG_04767	HQ_03208	LHX2	HUMAN	5	1to1	1to1	ENSMUSG00000000247	HQ_03208	Lhx2	MOUSE	5	1to1	1to1	99.0148	99.0148	100.0	100.0	1.0	1.0	1.0	1	1
ENSG00000069493	OG_00196	HQ_17597	CLEC2D	HUMAN	4	multi_copy	1to1	ENSMUSG00000000248	HQ_SNG_007830	Clec2g	MOUSE	4	multi_copy	singleton	37.1728	26.3941	0.0	0.0	0.0	0.2	0.0	5	1
ENSG00000137198	OG_07830	HQ_14230	GMPR	HUMAN	5	1to1	1to1	ENSMUSG00000000253	HQ_14230	Gmpr	MOUSE	5	1to1	1to1	95.3623	95.3623	100.0	100.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSG00000145888	OG_08871	HQ_07274	GLRA1	HUMAN	5	1to1	1to1	ENSMUSG00000000263	HQ_07274	Glra1	MOUSE	5	1to1	1to1	98.6637	96.9365	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000080561	OG_03369	HQ_01806	MID2	HUMAN	5	1to1	1to1	ENSMUSG00000000266	HQ_01806	Mid2	MOUSE	5	1to1	1to1	99.1608	96.4626	100.0	100.0	1.0	0.7142857142857143	0.5	1	1
ENSG00000121060	OG_06155	HQ_04605	TRIM25	HUMAN	5	1to1	1to1	ENSMUSG00000000275	HQ_04605	Trim25	MOUSE	5	1to1	1to1	73.3333	72.8707	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000153933	OG_09561	HQ_07946	DGKE	HUMAN	5	1to1	1to1	ENSMUSG00000000276	HQ_07946	Dgke	MOUSE	5	1to1	1to1	90.4762	90.9574	100.0	99.52	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000121064	OG_06156	HQ_04606	SCPEP1	HUMAN	5	1to1	1to1	ENSMUSG00000000278	HQ_04606	Scpep1	MOUSE	5	1to1	1to1	82.3009	82.3009	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000070444	OG_15395	HQ_13453	MNT	HUMAN	4	1to1	1to1	ENSMUSG00000000282	HQ_13453	Mnt	MOUSE	4	1to1	1to1	94.1581	92.7242	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000160255	OG_01670	HQ_08486	ITGB2	HUMAN	5	multi_copy	1to1	ENSMUSG00000000290	HQ_08486	Itgb2	MOUSE	5	multi_copy	1to1	80.6242	80.5195	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000111906	OG_05259	HQ_03715	HDDC2	HUMAN	5	1to1	1to1	ENSMUSG00000000295	HQ_03715	Hddc2	MOUSE	5	1to1	1to1	85.9296	83.8235	100.0	100.0	1.0	1.0	1.0	1	1
ENSG00000111907	OG_05260	HQ_03716	TPD52L1	HUMAN	5	1to1	1to1	ENSMUSG00000000296	HQ_03716	Tpd52l1	MOUSE	5	1to1	1to1	88.5167	90.6863	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000133027	OG_07275	HQ_14142	PEMT	HUMAN	5	1to1	1to1	ENSMUSG00000000301	HQ_14142	Pemt	MOUSE	5	1to1	1to1	76.2712	76.2712	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000039068	OG_02594	HQ_01035	CDH1	HUMAN	5	1to1	1to1	ENSMUSG00000000303	HQ_01035	Cdh1	MOUSE	5	1to1	1to1	81.4059	81.2217	100.0	100.0	1.0	0.8	0.8	1	1
ENSG00000179242	OG_12815	HQ_11059	CDH4	HUMAN	5	1to1	1to1	ENSMUSG00000000305	HQ_11059	Cdh4	MOUSE	5	1to1	1to1	92.2489	92.552	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000237289	OG_02055	HQ_00553	CKMT1B	HUMAN	5	multi_copy	multi_copy	ENSMUSG00000000308	HQ_00553	Ckmt1	MOUSE	5	multi_copy	multi_copy	96.8825	96.6507	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000223572	OG_02055	HQ_00553	CKMT1A	HUMAN	5	multi_copy	multi_copy	ENSMUSG00000000308	HQ_00553	Ckmt1	MOUSE	5	multi_copy	multi_copy	96.8825	96.6507	75.0	93.66	1.0	0.5	0.5	1	2
ENSG00000161940	OG_10259	HQ_08603	BCL6B	HUMAN	5	1to1	1to1	ENSMUSG00000000317	HQ_08603	Bcl6b	MOUSE	5	1to1	1to1	89.1441	90.0844	100.0	100.0	1.0	0.6	0.6	1	1
ENSG00000132514	OG_01468	HQ_16406	CLEC10A	HUMAN	5	multi_copy	1to1	ENSMUSG00000000318	HQ_SNG_007831	Clec10a	MOUSE	5	multi_copy	singleton	46.3668	43.5065	100.0	6.46	0.0	0.6666666666666666	0.25	1	1
ENSG00000108839	OG_04961	HQ_03408	ALOX12	HUMAN	5	1to1	1to1	ENSMUSG00000000320	HQ_03408	Alox12	MOUSE	5	1to1	1to1	85.5204	85.5204	50.0	100.0	1.0	0.25	0.25	1	1
ENSG00000093010	OG_03752	HQ_02192	COMT	HUMAN	5	1to1	1to1	ENSMUSG00000000326	HQ_02192	Comt	MOUSE	5	1to1	1to1	78.1132	76.3838	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000137996	OG_07945	HQ_06356	RTCA	HUMAN	5	1to1	1to1	ENSMUSG00000000339	HQ_06356	Rtca	MOUSE	5	1to1	1to1	90.4372	90.4372	100.0	100.0	1.0	0.6	0.6	1	1
ENSG00000137992	OG_07944	HQ_06355	DBT	HUMAN	5	1to1	1to1	ENSMUSG00000000340	HQ_06355	Dbt	MOUSE	5	1to1	1to1	87.1369	87.1369	100.0	100.0	1.0	0.6	0.6	1	1
ENSG00000183283	OG_01914	HQ_11412	DAZAP2	HUMAN	5	multi_copy	1to1	ENSMUSG00000000346	HQ_11412	Dazap2	MOUSE	5	multi_copy	1to1	99.4048	99.4048	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000232119	OG_14852	HQ_12951	MCTS1	HUMAN	5	1to1	1to1	ENSMUSG00000000355	HQ_12951	Mcts1	MOUSE	5	1to1	1to1	98.3425	98.3425	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000088320	OG_03584	HQ_02019	REM1	HUMAN	5	1to1	1to1	ENSMUSG00000000359	HQ_02019	Rem1	MOUSE	5	1to1	1to1	88.9262	89.2256	100.0	100.0	1.0	0.625	0.625	1	1
ENSG00000132972	OG_07272	HQ_05686	RNF17	HUMAN	5	1to1	1to1	ENSMUSG00000000365	HQ_05686	Rnf17	MOUSE	5	1to1	1to1	74.1463	74.923	25.0	100.0	1.0	0.42857142857142855	0.375	1	1
ENSG00000160218	OG_10121	HQ_08482	TRAPPC10	HUMAN	5	1to1	1to1	ENSMUSG00000000374	HQ_08482	Trappc10	MOUSE	5	1to1	1to1	89.8332	89.9046	100.0	100.0	1.0	1.0	1.0	1	1
ENSG00000136280	OG_07709	HQ_06127	CCM2	HUMAN	5	1to1	1to1	ENSMUSG00000000378	HQ_06127	Ccm2	MOUSE	5	1to1	1to1	93.2432	91.3907	100.0	100.0	1.0	1.0	1.0	1	1
ENSG00000136270	OG_07704	HQ_06123	TBRG4	HUMAN	5	1to1	1to1	ENSMUSG00000000384	HQ_06123	Tbrg4	MOUSE	5	1to1	1to1	75.5943	75.7143	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000184012	OG_13283	HQ_11503	TMPRSS2	HUMAN	5	1to1	1to1	ENSMUSG00000000385	HQ_11503	Tmprss2	MOUSE	5	1to1	1to1	78.0488	78.3673	50.0	100.0	1.0	0.6	0.6	1	1
ENSG00000157601	OG_00913	HQ_08252	MX1	HUMAN	5	multi_copy	1to1	ENSMUSG00000000386	HQ_SNG_007833	Mx1	MOUSE	5	multi_copy	singleton	40.6344	67.7582	25.0	4.45	0.0	0.3333333333333333	0.0	2	1
ENSG00000078098	OG_03297	HQ_01736	FAP	HUMAN	5	1to1	1to1	ENSMUSG00000000392	HQ_01736	Fap	MOUSE	5	1to1	1to1	89.6053	89.4875	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000115263	OG_05591	HQ_04044	GCG	HUMAN	5	1to1	1to1	ENSMUSG00000000394	HQ_04044	Gcg	MOUSE	5	1to1	1to1	90.0	90.0	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000139180	OG_08104	HQ_06515	NDUFA9	HUMAN	5	1to1	1to1	ENSMUSG00000000399	HQ_06515	Ndufa9	MOUSE	5	1to1	1to1	78.2493	78.2493	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSG00000198759	OG_14304	HQ_12465	EGFL6	HUMAN	5	1to1	1to1	ENSMUSG00000000402	HQ_12465	Egfl6	MOUSE	5	1to1	1to1	78.3636	77.9385	75.0	100.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000182866	OG_13139	HQ_11370	LCK	HUMAN	5	1to1	1to1	ENSMUSG00000000409	HQ_11370	Lck	MOUSE	5	1to1	1to1	96.8566	94.8077	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000162526	OG_16189	HQ_14677	TSSK3	HUMAN	4	1to1	1to1	ENSMUSG00000000411	HQ_14677	Tssk3	MOUSE	4	1to1	1to1	96.6418	96.6418	100.0	100.0	1.0	0.625	0.625	1	1
ENSG00000077063	OG_03258	HQ_01696	CTTNBP2	HUMAN	5	1to1	1to1	ENSMUSG00000000416	HQ_01696	Cttnbp2	MOUSE	5	1to1	1to1	84.7264	85.4976	75.0	100.0	1.0	0.4	0.4	1	1
ENSG00000141429	OG_08367	HQ_06779	GALNT1	HUMAN	5	1to1	1to1	ENSMUSG00000000420	HQ_06779	Galnt1	MOUSE	5	1to1	1to1	98.39	98.39	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000111049	OG_05152	HQ_03607	MYF5	HUMAN	5	1to1	1to1	ENSMUSG00000000435	HQ_03607	Myf5	MOUSE	5	1to1	1to1	89.4118	89.4118	100.0	100.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSG00000075975	OG_03229	HQ_01667	MKRN2	HUMAN	5	1to1	1to1	ENSMUSG00000000439	HQ_01667	Mkrn2	MOUSE	5	1to1	1to1	88.4615	88.4615	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000132170	OG_07155	HQ_05572	PPARG	HUMAN	5	1to1	1to1	ENSMUSG00000000440	HQ_05572	Pparg	MOUSE	5	1to1	1to1	98.3158	92.4753	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000132155	OG_07153	HQ_05570	RAF1	HUMAN	5	1to1	1to1	ENSMUSG00000000441	HQ_05570	Raf1	MOUSE	5	1to1	1to1	97.6852	97.6852	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000180096	OG_12890	HQ_11126	SEPTIN1	HUMAN	5	1to1	1to1	ENSMUSG00000000486	HQ_11126	Septin1	MOUSE	5	1to1	1to1	94.086	95.6284	100.0	100.0	1.0	0.8	0.8	1	1
ENSG00000100311	OG_03941	HQ_02380	PDGFB	HUMAN	5	1to1	1to1	ENSMUSG00000000489	HQ_02380	Pdgfb	MOUSE	5	1to1	1to1	89.6266	89.6266	100.0	100.0	1.0	0.75	0.75	1	1
ENSG00000139567	OG_08152	HQ_06563	ACVRL1	HUMAN	5	1to1	1to1	ENSMUSG00000000530	HQ_06563	Acvrl1	MOUSE	5	1to1	1to1	88.668	88.8446	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000161835	OG_10248	HQ_08593	TAMALIN	HUMAN	5	1to1	1to1	ENSMUSG00000000531	HQ_08593	Tamalin	MOUSE	5	1to1	1to1	90.6329	91.3265	100.0	100.0	1.0	0.6	0.6	1	1
ENSG00000135503	OG_07574	HQ_05985	ACVR1B	HUMAN	5	1to1	1to1	ENSMUSG00000000532	HQ_05985	Acvr1b	MOUSE	5	1to1	1to1	98.2178	98.2178	100.0	100.0	1.0	0.6	0.6	1	1
