ensembl_id_MACFA	ens_orthogroup_id	ens_hqorthogroup_id_MACFA	gene_symbol_MACFA	species_code_MACFA	n_species_MACFA	ens_orthogroup_status_MACFA	ens_hqorthogroup_status_MACFA	ensembl_id_PIGXX	ens_hqorthogroup_id_PIGXX	gene_symbol_PIGXX	species_code_PIGXX	n_species_PIGXX	ens_orthogroup_status_PIGXX	ens_hqorthogroup_status_PIGXX	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_MACFA	ortholog_rank_PIGXX
ENSMFAG00000003352	OG_01016	HQ_12132		MACFA	5	multi_copy	1to1	ENSSSCG00000000059	HQ_12132	XRCC6	PIGXX	5	multi_copy	1to1	84.6535	84.375	100.0	0.0	1.0	0.1111111111111111	0.1111111111111111	1	1
ENSMFAG00000032535	OG_01016	HQ_SNG_002302		MACFA	5	multi_copy	singleton	ENSSSCG00000000059	HQ_12132	XRCC6	PIGXX	5	multi_copy	1to1	25.4125	74.3961	0.0	0.0	0.0	0.1	0.0	1	2
ENSMFAG00000001699	OG_01016	HQ_SNG_001658		MACFA	5	multi_copy	singleton	ENSSSCG00000000059	HQ_12132	XRCC6	PIGXX	5	multi_copy	1to1	38.2838	71.1656	0.0	0.0	0.0	0.07692307692307693	0.0	1	3
ENSMFAG00000034090	OG_01222	HQ_02414	PMM1	MACFA	5	multi_copy	1to1	ENSSSCG00000000061	HQ_02414	PMM1	PIGXX	5	multi_copy	1to1	96.9466	96.9466	100.0	0.0	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSMFAG00000060068	OG_12066	HQ_10350	CSDC2	MACFA	5	1to1	1to1	ENSSSCG00000000062	HQ_10350	CSDC2	PIGXX	5	1to1	1to1	89.5425	94.4828	75.0	0.0	1.0	0.5	0.5	1	1
ENSMFAG00000001153	OG_03972	HQ_02412	POLR3H	MACFA	5	1to1	1to1	ENSSSCG00000000063	HQ_02412	POLR3H	PIGXX	5	1to1	1to1	90.1961	74.4939	100.0	0.0	1.0	0.2222222222222222	0.2222222222222222	1	1
ENSMFAG00000043571	OG_03971	HQ_02411	ACO2	MACFA	5	1to1	1to1	ENSSSCG00000000064	HQ_02411	ACO2	PIGXX	5	1to1	1to1	93.8462	82.1549	100.0	40.93	1.0	0.5	0.5	1	1
ENSMFAG00000037650	OG_03967	HQ_02407	L3MBTL2	MACFA	5	1to1	1to1	ENSSSCG00000000066	HQ_02407	L3MBTL2	PIGXX	5	1to1	1to1	74.5042	67.1775	100.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSMFAG00000039593	OG_01221	HQ_02406	EP300	MACFA	5	multi_copy	1to1	ENSSSCG00000000068	HQ_02406	EP300	PIGXX	5	multi_copy	1to1	95.9091	96.1475	100.0	97.39	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMFAG00000035459	OG_00580	HQ_13574		MACFA	5	multi_copy	1to1	ENSSSCG00000000071	HQ_13574	ST13	PIGXX	5	multi_copy	1to1	69.5187	70.4607	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSMFAG00000045985	OG_00580	HQ_SNG_003122		MACFA	5	multi_copy	singleton	ENSSSCG00000000071	HQ_13574	ST13	PIGXX	5	multi_copy	1to1	47.3262	83.8863	0.0	0.0	0.0	0.2	0.0	1	2
ENSMFAG00000035348	OG_00580	HQ_SNG_002452		MACFA	5	multi_copy	singleton	ENSSSCG00000000071	HQ_13574	ST13	PIGXX	5	multi_copy	1to1	48.3957	81.1659	0.0	0.0	0.0	0.125	0.0	1	3
ENSMFAG00000042964	OG_03962	HQ_13573	SLC25A17	MACFA	5	1to1	1to1	ENSSSCG00000000072	HQ_13573	SLC25A17	PIGXX	5	1to1	1to1	73.2523	78.5016	100.0	0.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMFAG00000045345	OG_06786	HQ_05217	MCHR1	MACFA	5	1to1	1to1	ENSSSCG00000000074	HQ_05217	MCHR1	PIGXX	5	1to1	1to1	96.8839	81.0427	100.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSMFAG00000046410	OG_13993	HQ_12162	MRTFA	MACFA	5	1to1	1to1	ENSSSCG00000000075	HQ_12162	MRTFA	PIGXX	5	1to1	1to1	83.8072	62.6617	100.0	93.99	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSMFAG00000032498	OG_03957	HQ_02396	SGSM3	MACFA	5	1to1	1to1	ENSSSCG00000000076	HQ_02396	SGSM3	PIGXX	5	1to1	1to1	87.1928	88.1046	100.0	72.37	1.0	0.6	0.6	1	1
ENSMFAG00000039307	OG_14910	HQ_13000	ADSL	MACFA	5	1to1	1to1	ENSSSCG00000000077	HQ_13000	ADSL	PIGXX	5	1to1	1to1	84.3137	86.5191	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMFAG00000003862	OG_03956	HQ_02395	TNRC6B	MACFA	5	1to1	1to1	ENSSSCG00000000078	HQ_02395	TNRC6B	PIGXX	5	1to1	1to1	96.8886	95.0214	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMFAG00000002020	OG_07318	HQ_05730	FAM83F	MACFA	5	1to1	1to1	ENSSSCG00000000079	HQ_05730	FAM83F	PIGXX	5	1to1	1to1	78.9474	81.1623	100.0	100.0	1.0	0.75	0.75	1	1
ENSMFAG00000059094	OG_03954	HQ_02393	GRAP2	MACFA	5	1to1	1to1	ENSSSCG00000000080	HQ_02393	GRAP2	PIGXX	5	1to1	1to1	90.3125	77.2727	100.0	100.0	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSMFAG00000040666	OG_16490	HQ_15123	ENTHD1	MACFA	4	1to1	1to1	ENSSSCG00000000081	HQ_15123	ENTHD1	PIGXX	4	1to1	1to1	66.0245	62.0066	100.0	45.77	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSMFAG00000046252	OG_03950	HQ_02389	CACNA1I	MACFA	5	1to1	1to1	ENSSSCG00000000082	HQ_02389	CACNA1I	PIGXX	5	1to1	1to1	61.9441	73.1853	75.0	0.0	1.0	0.5	0.5	1	1
ENSMFAG00000032126	OG_03946	HQ_02384	TAB1	MACFA	5	1to1	1to1	ENSSSCG00000000087	HQ_02384	TAB1	PIGXX	5	1to1	1to1	76.9868	96.2733	100.0	0.0	1.0	0.25	0.1111111111111111	1	1
ENSMFAG00000031827	OG_03936	HQ_17630	APOBEC3H	MACFA	5	1to1	1to1	ENSSSCG00000000091	HQ_SNG_017073		PIGXX	5	1to1	singleton	41.1523	47.619	100.0	0.0	0.0	0.4	0.16666666666666666	1	1
ENSMFAG00000000252	OG_14796	HQ_12899	NPTXR	MACFA	5	1to1	1to1	ENSSSCG00000000092	HQ_12899	NPTXR	PIGXX	5	1to1	1to1	92.5403	72.6266	100.0	0.0	1.0	0.75	0.2727272727272727	1	1
ENSMFAG00000051185	OG_03922	HQ_SNG_004190		MACFA	4	multi_copy	singleton	ENSSSCG00000000093	HQ_16237	DNAL4	PIGXX	4	multi_copy	1to1	86.6667	33.7037	75.0	8.73	0.0	0.8571428571428571	0.3	1	1
ENSMFAG00000021939	OG_03920	HQ_02361	SUN2	MACFA	5	1to1	1to1	ENSSSCG00000000094	HQ_02361	SUN2	PIGXX	5	1to1	1to1	81.3582	77.6366	100.0	20.31	1.0	0.5	0.5	1	1
ENSMFAG00000037252	OG_03915	HQ_02356	GTPBP1	MACFA	5	1to1	1to1	ENSSSCG00000000095	HQ_02356	GTPBP1	PIGXX	5	1to1	1to1	80.6078	71.9638	100.0	29.38	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMFAG00000044855	OG_03910	HQ_02351	TOMM22	MACFA	5	1to1	1to1	ENSSSCG00000000097	HQ_02351	TOMM22	PIGXX	5	1to1	1to1	63.7681	92.9577	100.0	100.0	1.0	0.3	0.3	1	1
ENSMFAG00000045466	OG_03909	HQ_02349	DMC1	MACFA	5	1to1	1to1	ENSSSCG00000000103	HQ_02349	DMC1	PIGXX	5	1to1	1to1	98.5294	98.5294	100.0	0.0	1.0	0.2	0.2	1	1
ENSMFAG00000042286	OG_03908	HQ_02348	KDELR3	MACFA	5	1to1	1to1	ENSSSCG00000000105	HQ_02348	KDELR3	PIGXX	5	1to1	1to1	68.4564	91.8919	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSMFAG00000003325	OG_14695	HQ_12817	CSNK1E	MACFA	5	1to1	1to1	ENSSSCG00000000107	HQ_12817	CSNK1E	PIGXX	5	1to1	1to1	73.3179	72.6437	75.0	0.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMFAG00000046328	OG_13323	HQ_11542	PLA2G6	MACFA	5	1to1	1to1	ENSSSCG00000000110	HQ_11542	PLA2G6	PIGXX	5	1to1	1to1	88.756	81.989	100.0	36.43	1.0	0.8333333333333334	0.5714285714285714	1	1
ENSMFAG00000056144	OG_06787	HQ_SNG_005384		MACFA	5	1to1	singleton	ENSSSCG00000000111	HQ_14027	BAIAP2L2	PIGXX	5	1to1	1to1	34.6591	63.1034	75.0	0.0	0.0	0.8333333333333334	0.5714285714285714	1	1
ENSMFAG00000059787	OG_03904	HQ_02344	SLC16A8	MACFA	5	1to1	1to1	ENSSSCG00000000113	HQ_02344	SLC16A8	PIGXX	5	1to1	1to1	59.0818	60.9053	100.0	0.0	1.0	0.8333333333333334	0.5714285714285714	1	1
ENSMFAG00000003832	OG_03902	HQ_02342	PICK1	MACFA	5	1to1	1to1	ENSSSCG00000000114	HQ_02342	PICK1	PIGXX	5	1to1	1to1	92.1114	66.1667	100.0	17.9	1.0	0.7142857142857143	0.5	1	1
ENSMFAG00000033687	OG_03898	HQ_02338	POLR2F	MACFA	5	1to1	1to1	ENSSSCG00000000116	HQ_02338	POLR2F	PIGXX	5	1to1	1to1	81.1024	57.5419	100.0	72.27	1.0	0.5	0.3333333333333333	1	1
ENSMFAG00000039078	OG_06792	HQ_05222	C22orf23	MACFA	5	1to1	1to1	ENSSSCG00000000117	HQ_05222	C22orf23	PIGXX	5	1to1	1to1	80.6452	69.7211	100.0	100.0	1.0	0.5714285714285714	0.375	1	1
ENSMFAG00000040539	OG_03897	HQ_SNG_002783		MACFA	5	1to1	singleton	ENSSSCG00000000118	HQ_13561	MICALL1	PIGXX	5	1to1	1to1	17.8984	88.0682	100.0	100.0	0.0	0.6666666666666666	0.42857142857142855	1	1
ENSMFAG00000040574	OG_03896	HQ_02337	EIF3L	MACFA	5	1to1	1to1	ENSSSCG00000000119	HQ_02337	EIF3L	PIGXX	5	1to1	1to1	83.9428	89.6435	100.0	0.0	1.0	0.6666666666666666	0.42857142857142855	1	1
ENSMFAG00000042331	OG_03895	HQ_02336	ANKRD54	MACFA	5	1to1	1to1	ENSSSCG00000000120	HQ_02336	ANKRD54	PIGXX	5	1to1	1to1	93.311	93.311	100.0	0.0	1.0	0.5	0.5	1	1
ENSMFAG00000001277	OG_03875	HQ_02318	CYTH4	MACFA	5	1to1	1to1	ENSSSCG00000000130	HQ_02318	CYTH4	PIGXX	5	1to1	1to1	93.1472	93.6225	100.0	30.07	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMFAG00000026860	OG_11242	HQ_09562	ELFN2	MACFA	5	1to1	1to1	ENSSSCG00000000131	HQ_09562	ELFN2	PIGXX	5	1to1	1to1	94.5055	95.7921	100.0	0.0	1.0	1.0	1.0	1	1
ENSMFAG00000037835	OG_13433	HQ_11642	TEX33	MACFA	5	1to1	1to1	ENSSSCG00000000132	HQ_11642	TEX33	PIGXX	5	1to1	1to1	57.508	64.2857	100.0	0.0	1.0	0.8571428571428571	0.8571428571428571	1	1
ENSMFAG00000038470	OG_06789	HQ_05219	TST	MACFA	5	1to1	1to1	ENSSSCG00000000133	HQ_05219	TST	PIGXX	5	1to1	1to1	76.0	89.5623	100.0	100.0	1.0	0.8571428571428571	0.8571428571428571	1	1
ENSMFAG00000003026	OG_03965	HQ_02404	KCTD17	MACFA	5	1to1	1to1	ENSSSCG00000000135	HQ_02404	KCTD17	PIGXX	5	1to1	1to1	70.7736	76.947	100.0	66.04	1.0	0.625	0.625	1	1
ENSMFAG00000044262	OG_01220	HQ_02401	CSF2RB	MACFA	5	multi_copy	1to1	ENSSSCG00000000136	HQ_02401	CSF2RB	PIGXX	5	multi_copy	1to1	64.4068	63.1929	100.0	0.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMFAG00000003343	OG_03961	HQ_02400	NCF4	MACFA	5	1to1	1to1	ENSSSCG00000000137	HQ_02400	NCF4	PIGXX	5	1to1	1to1	54.2453	62.8415	100.0	99.13	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSMFAG00000043667	OG_03959	HQ_02398	PVALB	MACFA	5	1to1	1to1	ENSSSCG00000000138	HQ_02398	PVALB	PIGXX	5	1to1	1to1	69.5035	55.0562	100.0	41.17	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSMFAG00000045204	OG_03958	HQ_02397	IFT27	MACFA	5	1to1	1to1	ENSSSCG00000000139	HQ_02397	IFT27	PIGXX	5	1to1	1to1	73.0964	65.1584	100.0	48.02	1.0	0.45454545454545453	0.45454545454545453	1	1
ENSMFAG00000000481	OG_03955	HQ_02394	EIF3D	MACFA	5	1to1	1to1	ENSSSCG00000000141	HQ_02394	EIF3D	PIGXX	5	1to1	1to1	99.4526	99.4526	100.0	0.0	1.0	0.375	0.375	1	1
ENSMFAG00000046365	OG_03953	HQ_02392	FOXRED2	MACFA	5	1to1	1to1	ENSSSCG00000000142	HQ_02392	FOXRED2	PIGXX	5	1to1	1to1	77.7293	83.3073	100.0	20.4	1.0	0.5	0.5	1	1
ENSMFAG00000034407	OG_03952	HQ_02391	TXN2	MACFA	5	1to1	1to1	ENSSSCG00000000144	HQ_02391	TXN2	PIGXX	5	1to1	1to1	43.5294	59.0426	100.0	66.86	0.0	0.42857142857142855	0.42857142857142855	1	1
ENSMFAG00000035156	OG_03949	HQ_02388	MYH9	MACFA	5	1to1	1to1	ENSSSCG00000000145	HQ_02388	MYH9	PIGXX	5	1to1	1to1	96.6805	94.0939	100.0	0.0	1.0	0.2857142857142857	0.25	1	1
ENSMFAG00000036773	OG_07313	HQ_05724	MYH11	MACFA	5	1to1	1to1	ENSSSCG00000000146	HQ_05724	MYH11	PIGXX	5	1to1	1to1	97.9778	97.9282	75.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMFAG00000048917	OG_17061	HQ_18378	APOL6	MACFA	4	1to1	1to1	ENSSSCG00000000151	HQ_SNG_017076		PIGXX	4	1to1	singleton	30.2273	35.6568	50.0	0.0	0.0	0.16666666666666666	0.07692307692307693	1	1
ENSMFAG00000031994	OG_03944	HQ_02383	RBFOX2	MACFA	5	1to1	1to1	ENSSSCG00000000152	HQ_02383	RBFOX2	PIGXX	5	1to1	1to1	83.7778	77.572	75.0	82.02	1.0	0.2222222222222222	0.1	1	1
ENSMFAG00000037085	OG_03914	HQ_02355	FBXO7	MACFA	5	1to1	1to1	ENSSSCG00000000156	HQ_02355	FBXO7	PIGXX	5	1to1	1to1	86.3378	74.3464	75.0	33.63	1.0	0.5	0.5	1	1
ENSMFAG00000025303	OG_13334	HQ_11552	BPIFC	MACFA	5	1to1	1to1	ENSSSCG00000000157	HQ_11552	BPIFC	PIGXX	5	1to1	1to1	84.1141	81.4596	75.0	100.0	1.0	0.36363636363636365	0.36363636363636365	1	1
ENSMFAG00000034419	OG_01217	HQ_02353	RTCB	MACFA	5	multi_copy	1to1	ENSSSCG00000000158	HQ_02353	RTCB	PIGXX	5	multi_copy	1to1	99.2079	99.2079	50.0	0.0	0.0	0.3	0.3	1	1
ENSMFAG00000041862	OG_05131	HQ_03587	PRDM4	MACFA	5	1to1	1to1	ENSSSCG00000000160	HQ_03587	PRDM4	PIGXX	5	1to1	1to1	96.8789	96.8789	50.0	0.0	0.0	0.23076923076923078	0.23076923076923078	1	1
ENSMFAG00000036367	OG_07664	HQ_06082	PWP1	MACFA	5	1to1	1to1	ENSSSCG00000000161	HQ_06082	PWP1	PIGXX	5	1to1	1to1	96.7936	94.5205	75.0	0.0	1.0	0.3076923076923077	0.3076923076923077	1	1
ENSMFAG00000030643	OG_09302	HQ_07695	ABTB3	MACFA	5	1to1	1to1	ENSSSCG00000000162	HQ_07695	ABTB3	PIGXX	5	1to1	1to1	55.8664	96.8701	100.0	88.14	1.0	0.45454545454545453	0.45454545454545453	1	1
ENSMFAG00000041111	OG_02315	HQ_00760	CRY1	MACFA	5	1to1	1to1	ENSSSCG00000000164	HQ_00760	CRY1	PIGXX	5	1to1	1to1	97.619	97.9522	100.0	0.0	1.0	0.625	0.625	1	1
ENSMFAG00000002768	OG_05238	HQ_03695	RIC8B	MACFA	5	1to1	1to1	ENSSSCG00000000167	HQ_03695	RIC8B	PIGXX	5	1to1	1to1	99.2857	99.2857	100.0	73.25	1.0	0.14285714285714285	0.14285714285714285	1	1
ENSMFAG00000036560	OG_07661	HQ_06080	CKAP4	MACFA	5	1to1	1to1	ENSSSCG00000000171	HQ_06080	CKAP4	PIGXX	5	1to1	1to1	80.203	79.798	100.0	0.0	1.0	0.5	0.36363636363636365	1	1
ENSMFAG00000041881	OG_15048	HQ_13127	TEX49	MACFA	5	1to1	1to1	ENSSSCG00000000174	HQ_13127	TEX49	PIGXX	5	1to1	1to1	73.2026	85.4962	50.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMFAG00000039058	OG_12309	HQ_10580	ADCY6	MACFA	5	1to1	1to1	ENSSSCG00000000175	HQ_10580	ADCY6	PIGXX	5	1to1	1to1	95.7904	95.5441	100.0	100.0	1.0	0.8	0.8	1	1
ENSMFAG00000038666	OG_12312	HQ_10582	DDX23	MACFA	5	1to1	1to1	ENSSSCG00000000176	HQ_10582	DDX23	PIGXX	5	1to1	1to1	99.3902	91.4703	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMFAG00000000659	OG_08148	HQ_06559	CCDC65	MACFA	5	1to1	1to1	ENSSSCG00000000179	HQ_06559	CCDC65	PIGXX	5	1to1	1to1	83.7349	83.9034	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMFAG00000043880	OG_11722	HQ_10019	WNT10B	MACFA	5	1to1	1to1	ENSSSCG00000000182	HQ_10019	WNT10B	PIGXX	5	1to1	1to1	97.1722	97.1722	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMFAG00000034644	OG_06510	HQ_04947	WNT1	MACFA	5	1to1	1to1	ENSSSCG00000000183	HQ_04947	WNT1	PIGXX	5	1to1	1to1	99.1892	99.1892	100.0	0.0	1.0	0.8333333333333334	0.7142857142857143	1	1
ENSMFAG00000025897	OG_13004	HQ_11238	DDN	MACFA	5	1to1	1to1	ENSSSCG00000000184	HQ_11238	DDN	PIGXX	5	1to1	1to1	55.7284	58.631	100.0	0.0	1.0	0.7142857142857143	0.625	1	1
ENSMFAG00000040023	OG_13042	HQ_11276	PRKAG1	MACFA	5	1to1	1to1	ENSSSCG00000000185	HQ_11276	PRKAG1	PIGXX	5	1to1	1to1	99.6644	80.7065	100.0	0.0	1.0	0.5	0.2727272727272727	1	1
ENSMFAG00000035227	OG_11344	HQ_09657	RHEBL1	MACFA	5	1to1	1to1	ENSSSCG00000000186	HQ_09657	RHEBL1	PIGXX	5	1to1	1to1	75.4098	75.4098	75.0	0.0	1.0	0.7142857142857143	0.4	1	1
ENSMFAG00000051486	OG_08151	HQ_06562	DHH	MACFA	5	1to1	1to1	ENSSSCG00000000188	HQ_06562	DHH	PIGXX	5	1to1	1to1	95.9596	96.4467	100.0	100.0	1.0	0.8333333333333334	0.4444444444444444	1	1
