ensembl_id_MOUSE	ens_orthogroup_id	ens_hqorthogroup_id_MOUSE	gene_symbol_MOUSE	species_code_MOUSE	n_species_MOUSE	ens_orthogroup_status_MOUSE	ens_hqorthogroup_status_MOUSE	ensembl_id_RATNO	ens_hqorthogroup_id_RATNO	gene_symbol_RATNO	species_code_RATNO	n_species_RATNO	ens_orthogroup_status_RATNO	ens_hqorthogroup_status_RATNO	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_MOUSE	ortholog_rank_RATNO
ENSMUSG00000026469	OG_08559	HQ_06959	Xpr1	MOUSE	5	1to1	1to1	ENSRNOG00000000042	HQ_06959	Xpr1	RATNO	5	1to1	1to1	95.1079	94.9713	100.0	100.0	1.0	0.6	0.6	1	1
ENSMUSG00000033540	OG_06722	HQ_05157	Idua	MOUSE	5	1to1	1to1	ENSRNOG00000000043	HQ_05157	Idua	RATNO	5	1to1	1to1	94.0902	94.0902	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000013495	OG_06724	HQ_05158	Tmem175	MOUSE	5	1to1	1to1	ENSRNOG00000000044	HQ_05158	Tmem175	RATNO	5	1to1	1to1	94.3888	94.3888	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000027215	OG_03485	HQ_01923	Cd82	MOUSE	5	1to1	1to1	ENSRNOG00000000047	HQ_01923	Cd82	RATNO	5	1to1	1to1	84.2105	82.6568	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000062234	OG_12780	HQ_11029	Gak	MOUSE	5	1to1	1to1	ENSRNOG00000000048	HQ_11029	Gak	RATNO	5	1to1	1to1	96.3985	96.3985	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSMUSG00000007950	OG_06707	HQ_05141	Abhd8	MOUSE	5	1to1	1to1	ENSRNOG00000000054	HQ_05141	Abhd8	RATNO	5	1to1	1to1	96.5831	94.4321	100.0	100.0	1.0	1.0	0.4	1	1
ENSMUSG00000070504	OG_19446	HQ_SNG_009233	Fcrl6	MOUSE	2	1to1	singleton	ENSRNOG00000000055	HQ_SNG_011510	Fcrl6	RATNO	2	1to1	singleton	70.1493	69.8885	100.0	100.0	0.0	0.6	0.45454545454545453	1	1
ENSMUSG00000033623	OG_16738	HQ_15430	Pcgf3	MOUSE	4	1to1	1to1	ENSRNOG00000000062	HQ_15430	Pcgf3	RATNO	4	1to1	1to1	100.0	91.635	100.0	100.0	1.0	0.375	0.375	1	1
ENSMUSG00000029491	OG_07306	HQ_05718	Pde6b	MOUSE	5	1to1	1to1	ENSRNOG00000000065	HQ_05718	Pde6b	RATNO	5	1to1	1to1	98.5981	98.5981	100.0	100.0	1.0	0.5555555555555556	0.5555555555555556	1	1
ENSMUSG00000047539	OG_08630	HQ_07035	Fbxo28	MOUSE	5	1to1	1to1	ENSRNOG00000000066	HQ_07035	Fbxo28	RATNO	5	1to1	1to1	98.3696	98.3696	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMUSG00000026626	OG_02919	HQ_01356	Ppp2r5a	MOUSE	5	1to1	1to1	ENSRNOG00000000068	HQ_01356	Ppp2r5a	RATNO	5	1to1	1to1	98.7654	98.7654	100.0	100.0	1.0	0.8571428571428571	0.8571428571428571	1	1
ENSMUSG00000029265	OG_05840	HQ_04299	Dr1	MOUSE	5	1to1	1to1	ENSRNOG00000000070	HQ_04299	Dr1	RATNO	5	1to1	1to1	97.7273	98.8506	100.0	100.0	1.0	0.625	0.625	1	1
ENSMUSG00000063406	OG_05838	HQ_04297	Tmed5	MOUSE	5	1to1	1to1	ENSRNOG00000000073	HQ_04297	Tmed5	RATNO	5	1to1	1to1	94.3231	70.5882	100.0	100.0	0.0	0.3333333333333333	0.3333333333333333	1	1
ENSMUSG00000029267	OG_08510	HQ_06911	Mtf2	MOUSE	5	1to1	1to1	ENSRNOG00000000075	HQ_06911	Mtf2	RATNO	5	1to1	1to1	97.4705	95.6954	75.0	100.0	1.0	0.4	0.4	1	1
ENSMUSG00000029338	OG_10488	HQ_08814	Antxr2	MOUSE	5	1to1	1to1	ENSRNOG00000000081	HQ_08814	Antxr2	RATNO	5	1to1	1to1	88.588	88.417	100.0	100.0	1.0	0.8571428571428571	0.8571428571428571	1	1
ENSMUSG00000002428	OG_03087	HQ_01523	Hltf	MOUSE	5	1to1	1to1	ENSRNOG00000000082	HQ_01523	Hltf	RATNO	5	1to1	1to1	88.5344	87.2299	100.0	100.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSMUSG00000027796	OG_19216	HQ_18787	Smad9	MOUSE	2	1to1	1to1	ENSRNOG00000000091	HQ_18787	Smad9	RATNO	2	1to1	1to1	97.6744	94.382	100.0	100.0	1.0	1.0	1.0	1	1
ENSMUSG00000028096	OG_01376	HQ_00351	Gpr89	MOUSE	5	multi_copy	multi_copy	ENSRNOG00000000095	HQ_00351	Gpr89b	RATNO	5	multi_copy	multi_copy	96.9231	96.9231	75.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000038298	OG_12367	HQ_10639	Pdzk1	MOUSE	5	1to1	1to1	ENSRNOG00000000096	HQ_10639	Pdzk1	RATNO	5	1to1	1to1	91.9075	91.2046	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000038304	OG_15651	HQ_13859	Cd160	MOUSE	4	1to1	1to1	ENSRNOG00000000097	HQ_13859	ENSRNOG00000000097	RATNO	4	1to1	1to1	87.027	77.0335	100.0	100.0	0.0	0.5714285714285714	0.5714285714285714	1	1
ENSMUSG00000028098	OG_15099	HQ_13171	Rnf115	MOUSE	5	1to1	1to1	ENSRNOG00000000098	HQ_13171	Rnf115	RATNO	5	1to1	1to1	99.6721	99.6721	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMUSG00000025872	OG_02710	HQ_01150	Thoc3	MOUSE	5	1to1	1to1	ENSRNOG00000000104	HQ_01150	Thoc3	RATNO	5	1to1	1to1	99.4302	99.4302	100.0	100.0	1.0	0.8571428571428571	0.8571428571428571	1	1
ENSMUSG00000025867	OG_08876	HQ_07281	Cplx2	MOUSE	5	1to1	1to1	ENSRNOG00000000105	HQ_07281	Cplx2	RATNO	5	1to1	1to1	100.0	100.0	100.0	100.0	1.0	0.75	0.75	1	1
ENSMUSG00000031521	OG_02585	HQ_01026	Aga	MOUSE	5	1to1	1to1	ENSRNOG00000000108	HQ_01026	Aga	RATNO	5	1to1	1to1	88.7283	84.3407	100.0	100.0	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSMUSG00000031603	OG_03313	HQ_01752	Fgf20	MOUSE	5	1to1	1to1	ENSRNOG00000000109	HQ_01752	Fgf20	RATNO	5	1to1	1to1	98.1043	97.6415	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMUSG00000031458	OG_12060	HQ_18829	Coprs	MOUSE	5	1to1	1to1	ENSRNOG00000000111	HQ_18829	Coprs	RATNO	5	1to1	1to1	89.5954	89.5954	100.0	100.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMUSG00000047710	OG_16929	HQ_15679	Champ1	MOUSE	4	1to1	1to1	ENSRNOG00000000112	HQ_15679	Champ1	RATNO	4	1to1	1to1	90.2743	90.387	100.0	100.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMUSG00000036941	OG_08405	HQ_06815	Elac1	MOUSE	5	1to1	1to1	ENSRNOG00000000113	HQ_06815	Elac1	RATNO	5	1to1	1to1	96.9613	96.9613	100.0	100.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMUSG00000043257	OG_02816	HQ_01248	Pigv	MOUSE	5	1to1	1to1	ENSRNOG00000000121	HQ_01248	Pigv	RATNO	5	1to1	1to1	84.5842	83.7349	100.0	100.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMUSG00000028792	OG_00562	HQ_00629	Ak2	MOUSE	5	multi_copy	1to1	ENSRNOG00000000122	HQ_00629	Ak2	RATNO	5	multi_copy	1to1	93.7238	96.5517	100.0	100.0	1.0	0.6	0.6	1	1
ENSMUSG00000028793	OG_05731	HQ_04189	Rnf19b	MOUSE	5	1to1	1to1	ENSRNOG00000000123	HQ_04189	Rnf19b	RATNO	5	1to1	1to1	97.8142	98.0822	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000028797	OG_10094	HQ_14606	Tmem234	MOUSE	4	multi_copy	1to1	ENSRNOG00000000124	HQ_SNG_011512	ENSRNOG00000000124	RATNO	4	multi_copy	singleton	52.1429	70.8738	0.0	0.0	0.0	0.09090909090909091	0.0	2	1
ENSMUSG00000003731	OG_02507	HQ_00948	Kpna6	MOUSE	5	1to1	1to1	ENSRNOG00000000127	HQ_00948	Kpna6	RATNO	5	1to1	1to1	99.0672	98.3333	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000036062	OG_06288	HQ_04739	Phf24	MOUSE	5	1to1	1to1	ENSRNOG00000000129	HQ_04739	Phf24	RATNO	5	1to1	1to1	95.75	93.1873	100.0	100.0	1.0	0.5	0.2857142857142857	1	1
ENSMUSG00000036052	OG_07815	HQ_06233	Dnajb5	MOUSE	5	1to1	1to1	ENSRNOG00000000130	HQ_06233	Dnajb5	RATNO	5	1to1	1to1	99.7382	90.7143	100.0	100.0	1.0	0.5714285714285714	0.375	1	1
ENSMUSG00000021497	OG_05442	HQ_13812	Txndc15	MOUSE	4	multi_copy	1to1	ENSRNOG00000000133	HQ_13812	Txndc15	RATNO	4	multi_copy	1to1	84.8837	72.0988	100.0	100.0	0.0	0.7142857142857143	0.7142857142857143	1	1
ENSMUSG00000021423	OG_05367	HQ_16295	Ly86	MOUSE	5	1to1	1to1	ENSRNOG00000000137	HQ_16295	Ly86	RATNO	5	1to1	1to1	90.7407	78.6096	100.0	100.0	0.0	0.5714285714285714	0.5714285714285714	1	1
ENSMUSG00000034762	OG_12319	HQ_10587	Glis1	MOUSE	5	1to1	1to1	ENSRNOG00000000138	HQ_10587	Glis1	RATNO	5	1to1	1to1	95.3105	94.8298	100.0	100.0	1.0	0.8	0.8	1	1
ENSMUSG00000026748	OG_06098	HQ_04553	Plxdc2	MOUSE	5	1to1	1to1	ENSRNOG00000000142	HQ_04553	Plxdc2	RATNO	5	1to1	1to1	96.2264	95.1493	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000028698	OG_05832	HQ_04291	Pik3r3	MOUSE	5	1to1	1to1	ENSRNOG00000000145	HQ_04291	Pik3r3	RATNO	5	1to1	1to1	96.0954	96.0954	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000026740	OG_07761	HQ_06180	Dnajc1	MOUSE	5	1to1	1to1	ENSRNOG00000000150	HQ_06180	Dnajc1	RATNO	5	1to1	1to1	92.9348	90.7965	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSMUSG00000037295	OG_09907	HQ_08282	Ldlrap1	MOUSE	5	1to1	1to1	ENSRNOG00000000151	HQ_08282	Ldlrap1	RATNO	5	1to1	1to1	96.4286	96.7427	100.0	100.0	1.0	0.875	0.875	1	1
ENSMUSG00000034893	OG_07680	HQ_06101	Cog3	MOUSE	5	1to1	1to1	ENSRNOG00000000155	HQ_06101	Cog3	RATNO	5	1to1	1to1	97.2222	93.1713	100.0	100.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSMUSG00000057751	OG_10339	HQ_08675	Megf6	MOUSE	5	1to1	1to1	ENSRNOG00000000156	HQ_08675	Megf6	RATNO	5	1to1	1to1	93.3842	93.2656	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000032905	OG_08855	HQ_07260	Atg12	MOUSE	5	1to1	1to1	ENSRNOG00000000157	HQ_07260	Atg12	RATNO	5	1to1	1to1	89.3617	89.3617	100.0	100.0	1.0	0.75	0.75	1	1
ENSMUSG00000033022	OG_06902	HQ_05333	Cdo1	MOUSE	5	1to1	1to1	ENSRNOG00000000158	HQ_05333	Cdo1	RATNO	5	1to1	1to1	100.0	100.0	100.0	100.0	1.0	0.8	0.5	1	1
ENSMUSG00000025531	OG_13779	HQ_11962	Chm	MOUSE	5	1to1	1to1	ENSRNOG00000000161	HQ_11962	Chm	RATNO	5	1to1	1to1	88.6707	90.3077	100.0	100.0	1.0	0.25	0.25	1	1
ENSMUSG00000016534	OG_02233	HQ_00678	Lamp2	MOUSE	5	1to1	1to1	ENSRNOG00000000164	HQ_00678	Lamp2	RATNO	5	1to1	1to1	81.9712	82.767	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000025271	OG_09970	HQ_08342	Pfkfb1	MOUSE	5	1to1	1to1	ENSRNOG00000000165	HQ_08342	Pfkfb1	RATNO	5	1to1	1to1	98.9384	98.9384	75.0	100.0	1.0	0.42857142857142855	0.25	1	1
ENSMUSG00000025269	OG_01773	HQ_09920	Apex2	MOUSE	5	multi_copy	1to1	ENSRNOG00000000166	HQ_09920	Apex2	RATNO	5	multi_copy	1to1	92.9254	92.9254	75.0	100.0	1.0	0.5714285714285714	0.375	1	1
ENSMUSG00000025270	OG_09971	HQ_08343	Alas2	MOUSE	5	1to1	1to1	ENSRNOG00000000167	HQ_08343	Alas2	RATNO	5	1to1	1to1	94.0375	96.5035	75.0	100.0	1.0	0.2857142857142857	0.25	1	1
ENSMUSG00000027199	OG_11993	HQ_10276	Gatm	MOUSE	5	1to1	1to1	ENSRNOG00000000168	HQ_10276	Gatm	RATNO	5	1to1	1to1	99.2908	90.9091	75.0	100.0	1.0	0.625	0.5555555555555556	1	1
ENSMUSG00000118663	OG_11992	HQ_10275	Spata5l1	MOUSE	5	1to1	1to1	ENSRNOG00000000169	HQ_10275	Spata5l1	RATNO	5	1to1	1to1	93.1727	93.1727	75.0	100.0	1.0	0.5714285714285714	0.5	1	1
ENSMUSG00000005802	OG_04412	HQ_02868	Slc30a4	MOUSE	5	1to1	1to1	ENSRNOG00000000170	HQ_02868	Slc30a4	RATNO	5	1to1	1to1	98.3721	98.3721	100.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSMUSG00000005803	OG_07905	HQ_06318	Sqor	MOUSE	5	1to1	1to1	ENSRNOG00000000172	HQ_06318	Sqor	RATNO	5	1to1	1to1	92.8889	87.631	100.0	100.0	1.0	0.4	0.4	1	1
ENSMUSG00000042570	OG_04592	HQ_03034	Mier2	MOUSE	5	1to1	1to1	ENSRNOG00000000175	HQ_03034	Mier2	RATNO	5	1to1	1to1	88.3549	89.6811	75.0	100.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSMUSG00000052151	OG_08425	HQ_06833	Plpp2	MOUSE	5	1to1	1to1	ENSRNOG00000000177	HQ_06833	Plpp2	RATNO	5	1to1	1to1	91.6667	83.4984	75.0	100.0	1.0	0.42857142857142855	0.25	1	1
ENSMUSG00000016942	OG_13645	HQ_11838	Tmprss6	MOUSE	5	1to1	1to1	ENSRNOG00000000184	HQ_11838	Tmprss6	RATNO	5	1to1	1to1	93.2182	94.6183	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000071711	OG_06788	HQ_05218	Mpst	MOUSE	5	1to1	1to1	ENSRNOG00000000185	HQ_05218	Mpst	RATNO	5	1to1	1to1	94.9495	94.9495	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000044986	OG_06789	HQ_05219	Tst	MOUSE	5	1to1	1to1	ENSRNOG00000000186	HQ_05219	Tst	RATNO	5	1to1	1to1	97.3064	83.526	50.0	100.0	1.0	0.8	0.8	1	1
ENSMUSG00000071713	OG_01220	HQ_02401	Csf2rb	MOUSE	5	multi_copy	1to1	ENSRNOG00000000187	HQ_02401	Csf2rb	RATNO	5	multi_copy	1to1	80.5804	80.5804	100.0	100.0	1.0	0.6	0.5	1	1
ENSMUSG00000071714	OG_01220	HQ_SNG_009307	Csf2rb2	MOUSE	5	multi_copy	singleton	ENSRNOG00000000187	HQ_02401	Csf2rb	RATNO	5	multi_copy	1to1	80.2961	78.683	0.0	100.0	0.0	0.6	0.5	1	2
ENSMUSG00000055024	OG_01221	HQ_02406	Ep300	MOUSE	5	multi_copy	1to1	ENSRNOG00000000190	HQ_SNG_011513	Ep300	RATNO	5	multi_copy	singleton	13.7645	90.9589	75.0	100.0	0.0	0.25	0.2222222222222222	1	1
ENSMUSG00000023186	OG_00807	HQ_18746	Vwa5a	MOUSE	5	multi_copy	1to1	ENSRNOG00000000195	HQ_18746	Vwa5a	RATNO	5	multi_copy	1to1	81.9672	81.0474	100.0	100.0	1.0	0.75	0.5714285714285714	1	1
ENSMUSG00000038112	OG_00807	HQ_03520	AW551984	MOUSE	5	multi_copy	1to1	ENSRNOG00000000195	HQ_18746	Vwa5a	RATNO	5	multi_copy	1to1	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	2	2
ENSMUSG00000032274	OG_00876	HQ_00209	Cyp19a1	MOUSE	5	multi_copy	multi_copy	ENSRNOG00000000196	HQ_00209	Cyp19a1	RATNO	5	multi_copy	multi_copy	93.0417	93.0417	100.0	100.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMUSG00000060461	OG_00704	HQ_12560	Dppa5a	MOUSE	5	multi_copy	1to1	ENSRNOG00000000199	HQ_12560	Dppa5	RATNO	5	multi_copy	1to1	81.3559	82.7586	100.0	100.0	1.0	0.75	0.4	1	1
ENSMUSG00000074183	OG_00551	HQ_00582	Gsta1	MOUSE	3	multi_copy	multi_copy	ENSRNOG00000000201	HQ_00582	Gsta5	RATNO	3	multi_copy	multi_copy	95.5157	95.9459	100.0	100.0	1.0	0.5714285714285714	0.375	1	1
ENSMUSG00000111709	OG_00551	HQ_00582	Gm3776	MOUSE	3	multi_copy	multi_copy	ENSRNOG00000000201	HQ_00582	Gsta5	RATNO	3	multi_copy	multi_copy	95.0673	95.4955	100.0	100.0	1.0	0.5714285714285714	0.375	1	2
ENSMUSG00000074179	OG_00551	HQ_00582	Gsta5	MOUSE	3	multi_copy	multi_copy	ENSRNOG00000000201	HQ_00582	Gsta5	RATNO	3	multi_copy	multi_copy	94.1441	94.1441	100.0	1.95	1.0	0.42857142857142855	0.2222222222222222	1	3
ENSMUSG00000057933	OG_00551	HQ_00582	Gsta2	MOUSE	3	multi_copy	multi_copy	ENSRNOG00000000201	HQ_00582	Gsta5	RATNO	3	multi_copy	multi_copy	95.045	95.045	25.0	33.62	0.0	0.4444444444444444	0.18181818181818182	2	4
ENSMUSG00000032423	OG_07532	HQ_05943	Syncrip	MOUSE	5	1to1	1to1	ENSRNOG00000000204	HQ_05943	Syncrip	RATNO	5	1to1	1to1	89.4061	92.5249	100.0	99.52	1.0	0.5	0.2857142857142857	1	1
ENSMUSG00000037949	OG_10172	HQ_08527	Ano10	MOUSE	5	1to1	1to1	ENSRNOG00000000219	HQ_08527	Ano10	RATNO	5	1to1	1to1	95.9029	88.764	100.0	100.0	1.0	0.4	0.4	1	1
ENSMUSG00000032540	OG_02369	HQ_00813	Abhd5	MOUSE	5	1to1	1to1	ENSRNOG00000000221	HQ_00813	Abhd5	RATNO	5	1to1	1to1	98.5755	99.4253	100.0	100.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSMUSG00000002279	OG_04336	HQ_02788	Lmf1	MOUSE	5	1to1	1to1	ENSRNOG00000000230	HQ_02788	Lmf1	RATNO	5	1to1	1to1	90.7665	88.6054	100.0	100.0	1.0	0.4444444444444444	0.3	1	1
ENSMUSG00000033287	OG_03965	HQ_02404	Kctd17	MOUSE	5	1to1	1to1	ENSRNOG00000000231	HQ_02404	Kctd17	RATNO	5	1to1	1to1	81.3149	64.7383	100.0	100.0	0.0	0.5	0.5	1	1
ENSMUSG00000000617	OG_05400	HQ_03851	Grm6	MOUSE	5	1to1	1to1	ENSRNOG00000000233	HQ_03851	Grm6	RATNO	5	1to1	1to1	98.163	98.163	75.0	100.0	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSMUSG00000057181	OG_01304	HQ_03385	5730455P16Rik	MOUSE	5	multi_copy	1to1	ENSRNOG00000000237	HQ_03385	RGD1310429	RATNO	5	multi_copy	1to1	96.9466	96.9466	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000035373	OG_15569	HQ_13735	Ccl7	MOUSE	4	1to1	1to1	ENSRNOG00000000239	HQ_13735	Ccl7	RATNO	4	1to1	1to1	88.6598	88.6598	100.0	100.0	1.0	0.46153846153846156	0.26666666666666666	1	1
ENSMUSG00000033983	OG_06154	HQ_04604	Coil	MOUSE	5	1to1	1to1	ENSRNOG00000000244	HQ_04604	Coil	RATNO	5	1to1	1to1	89.1798	86.172	100.0	100.0	1.0	0.4444444444444444	0.2727272727272727	1	1
ENSMUSG00000041920	OG_04970	HQ_03418	Slc16a6	MOUSE	5	1to1	1to1	ENSRNOG00000000245	HQ_03418	Slc16a6	RATNO	5	1to1	1to1	92.7512	71.3561	100.0	100.0	0.0	0.8	0.8	1	1
ENSMUSG00000020610	OG_01978	HQ_12176	Amz2	MOUSE	5	multi_copy	1to1	ENSRNOG00000000246	HQ_12176	Amz2	RATNO	5	multi_copy	1to1	93.1129	93.1129	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMUSG00000020818	OG_03747	HQ_02186	Mfsd11	MOUSE	5	1to1	1to1	ENSRNOG00000000247	HQ_02186	Mfsd11	RATNO	5	1to1	1to1	99.1091	98.8889	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000034120	OG_00922	HQ_00433	Srsf2	MOUSE	5	multi_copy	multi_copy	ENSRNOG00000000248	HQ_00433	Srsf2	RATNO	5	multi_copy	multi_copy	100.0	100.0	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000090266	OG_12978	HQ_15262	Mettl23	MOUSE	5	1to1	1to1	ENSRNOG00000000249	HQ_15262	Mettl23	RATNO	5	1to1	1to1	80.6324	90.6667	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000056962	OG_03049	HQ_01483	Jmjd6	MOUSE	5	1to1	1to1	ENSRNOG00000000250	HQ_01483	Jmjd6	RATNO	5	1to1	1to1	90.3226	91.4573	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000009588	OG_03051	HQ_01485	St6galnac1	MOUSE	5	1to1	1to1	ENSRNOG00000000251	HQ_01485	St6galnac1	RATNO	5	1to1	1to1	80.038	80.9615	75.0	100.0	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSMUSG00000031906	OG_04316	HQ_02769	Smpd3	MOUSE	5	1to1	1to1	ENSRNOG00000000257	HQ_02769	Smpd3	RATNO	5	1to1	1to1	98.3206	98.3206	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000060098	OG_07211	HQ_05626	Prmt7	MOUSE	5	1to1	1to1	ENSRNOG00000000258	HQ_05626	Prmt7	RATNO	5	1to1	1to1	94.3642	92.7557	100.0	100.0	1.0	1.0	1.0	1	1
ENSMUSG00000031728	OG_04302	HQ_02755	Zfp821	MOUSE	5	1to1	1to1	ENSRNOG00000000262	HQ_02755	Zfp821	RATNO	5	1to1	1to1	96.6102	96.6102	100.0	100.0	1.0	1.0	1.0	1	1
