ensembl_id_HUMAN	ens_orthogroup_id	ens_hqorthogroup_id_HUMAN	gene_symbol_HUMAN	species_code_HUMAN	n_species_HUMAN	ens_orthogroup_status_HUMAN	ens_hqorthogroup_status_HUMAN	ensembl_id_RATNO	ens_hqorthogroup_id_RATNO	gene_symbol_RATNO	species_code_RATNO	n_species_RATNO	ens_orthogroup_status_RATNO	ens_hqorthogroup_status_RATNO	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_HUMAN	ortholog_rank_RATNO
ENSG00000143033	OG_08510	HQ_06911	MTF2	HUMAN	5	1to1	1to1	ENSRNOG00000000075	HQ_06911	Mtf2	RATNO	5	1to1	1to1	96.6273	94.8675	100.0	44.23	1.0	0.8	0.8	1	1
ENSG00000163297	OG_10488	HQ_08814	ANTXR2	HUMAN	5	1to1	1to1	ENSRNOG00000000081	HQ_08814	Antxr2	RATNO	5	1to1	1to1	84.6311	79.7297	100.0	46.28	1.0	0.5	0.5	1	1
ENSG00000071794	OG_03087	HQ_01523	HLTF	HUMAN	5	1to1	1to1	ENSRNOG00000000082	HQ_01523	Hltf	RATNO	5	1to1	1to1	82.7552	82.0236	100.0	50.75	1.0	0.8	0.8	1	1
ENSG00000117262	OG_01376	HQ_00351	GPR89A	HUMAN	5	multi_copy	multi_copy	ENSRNOG00000000095	HQ_00351	Gpr89b	RATNO	5	multi_copy	multi_copy	94.2857	94.2857	50.0	0.0	0.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000188092	OG_01376	HQ_00351	GPR89B	HUMAN	5	multi_copy	multi_copy	ENSRNOG00000000095	HQ_00351	Gpr89b	RATNO	5	multi_copy	multi_copy	94.2857	94.2857	50.0	0.0	0.0	0.25	0.25	1	2
ENSG00000174827	OG_12367	HQ_10639	PDZK1	HUMAN	5	1to1	1to1	ENSRNOG00000000096	HQ_10639	Pdzk1	RATNO	5	1to1	1to1	78.6127	78.0115	75.0	0.0	1.0	0.375	0.375	1	1
ENSG00000117281	OG_15651	HQ_13859	CD160	HUMAN	4	1to1	1to1	ENSRNOG00000000097	HQ_13859	ENSRNOG00000000097	RATNO	4	1to1	1to1	64.0884	55.5024	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSG00000265491	OG_15099	HQ_13171	RNF115	HUMAN	5	1to1	1to1	ENSRNOG00000000098	HQ_13171	Rnf115	RATNO	5	1to1	1to1	93.4211	93.1148	100.0	42.17	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000051596	OG_02710	HQ_01150	THOC3	HUMAN	5	1to1	1to1	ENSRNOG00000000104	HQ_01150	Thoc3	RATNO	5	1to1	1to1	98.8604	98.8604	100.0	0.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000145920	OG_08876	HQ_07281	CPLX2	HUMAN	5	1to1	1to1	ENSRNOG00000000105	HQ_07281	Cplx2	RATNO	5	1to1	1to1	100.0	100.0	100.0	48.89	1.0	0.25	0.25	1	1
ENSG00000038002	OG_02585	HQ_01026	AGA	HUMAN	5	1to1	1to1	ENSRNOG00000000108	HQ_01026	Aga	RATNO	5	1to1	1to1	81.7919	77.7473	75.0	0.0	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSG00000078579	OG_03313	HQ_01752	FGF20	HUMAN	5	1to1	1to1	ENSRNOG00000000109	HQ_01752	Fgf20	RATNO	5	1to1	1to1	95.2607	94.8113	100.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000172301	OG_12060	HQ_16709	COPRS	HUMAN	5	1to1	1to1	ENSRNOG00000000111	HQ_18829	Coprs	RATNO	5	1to1	1to1	70.1087	74.5665	0.0	0.0	0.0	0.1111111111111111	0.0	1	1
ENSG00000198824	OG_16929	HQ_15679	CHAMP1	HUMAN	4	1to1	1to1	ENSRNOG00000000112	HQ_15679	Champ1	RATNO	4	1to1	1to1	76.8473	77.9026	50.0	0.0	0.0	0.125	0.1111111111111111	1	1
ENSG00000141642	OG_08405	HQ_06815	ELAC1	HUMAN	5	1to1	1to1	ENSRNOG00000000113	HQ_06815	Elac1	RATNO	5	1to1	1to1	92.2865	92.5414	100.0	0.0	1.0	0.5	0.5	1	1
ENSG00000060642	OG_02816	HQ_01248	PIGV	HUMAN	5	1to1	1to1	ENSRNOG00000000121	HQ_01248	Pigv	RATNO	5	1to1	1to1	77.0791	76.3052	100.0	0.0	1.0	0.5	0.5	1	1
ENSG00000004455	OG_00562	HQ_00629	AK2	HUMAN	5	multi_copy	1to1	ENSRNOG00000000122	HQ_00629	Ak2	RATNO	5	multi_copy	1to1	90.3766	93.1034	100.0	0.0	1.0	0.4	0.4	1	1
ENSG00000116514	OG_05731	HQ_04189	RNF19B	HUMAN	5	1to1	1to1	ENSRNOG00000000123	HQ_04189	Rnf19b	RATNO	5	1to1	1to1	94.6648	94.7945	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000160055	OG_10094	HQ_14606	TMEM234	HUMAN	4	multi_copy	1to1	ENSRNOG00000000124	HQ_SNG_011512	ENSRNOG00000000124	RATNO	4	multi_copy	singleton	50.0	67.9612	0.0	0.0	0.0	0.1111111111111111	0.0	2	1
ENSG00000025800	OG_02507	HQ_00948	KPNA6	HUMAN	5	1to1	1to1	ENSRNOG00000000127	HQ_00948	Kpna6	RATNO	5	1to1	1to1	99.0672	98.3333	100.0	61.98	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000122733	OG_06288	HQ_04739	PHF24	HUMAN	5	1to1	1to1	ENSRNOG00000000129	HQ_04739	Phf24	RATNO	5	1to1	1to1	91.0	88.5645	100.0	0.0	1.0	0.2222222222222222	0.2222222222222222	1	1
ENSG00000137094	OG_07815	HQ_06233	DNAJB5	HUMAN	5	1to1	1to1	ENSRNOG00000000130	HQ_06233	Dnajb5	RATNO	5	1to1	1to1	98.8095	98.8095	100.0	0.0	1.0	0.2857142857142857	0.125	1	1
ENSG00000113621	OG_05442	HQ_13812	TXNDC15	HUMAN	4	multi_copy	1to1	ENSRNOG00000000133	HQ_13812	Txndc15	RATNO	4	multi_copy	1to1	67.2222	59.7531	100.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000112799	OG_05367	HQ_16295	LY86	HUMAN	5	1to1	1to1	ENSRNOG00000000137	HQ_16295	Ly86	RATNO	5	1to1	1to1	65.4321	56.6845	100.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000174332	OG_12319	HQ_10587	GLIS1	HUMAN	5	1to1	1to1	ENSRNOG00000000138	HQ_10587	Glis1	RATNO	5	1to1	1to1	82.8931	83.1021	100.0	99.73	1.0	0.8333333333333334	0.5714285714285714	1	1
ENSG00000120594	OG_06098	HQ_04553	PLXDC2	HUMAN	5	1to1	1to1	ENSRNOG00000000142	HQ_04553	Plxdc2	RATNO	5	1to1	1to1	91.6824	90.4851	100.0	23.82	1.0	0.5	0.5	1	1
ENSG00000117461	OG_05832	HQ_04291	PIK3R3	HUMAN	5	1to1	1to1	ENSRNOG00000000145	HQ_04291	Pik3r3	RATNO	5	1to1	1to1	95.2278	95.2278	75.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSG00000136770	OG_07761	HQ_06180	DNAJC1	HUMAN	5	1to1	1to1	ENSRNOG00000000150	HQ_06180	Dnajc1	RATNO	5	1to1	1to1	84.4765	82.8319	100.0	43.94	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000157978	OG_09907	HQ_08282	LDLRAP1	HUMAN	5	1to1	1to1	ENSRNOG00000000151	HQ_08282	Ldlrap1	RATNO	5	1to1	1to1	89.6104	89.9023	100.0	0.0	1.0	0.625	0.625	1	1
ENSG00000136152	OG_07680	HQ_06101	COG3	HUMAN	5	1to1	1to1	ENSRNOG00000000155	HQ_06101	Cog3	RATNO	5	1to1	1to1	95.6522	91.6667	75.0	55.07	1.0	0.5	0.5	1	1
ENSG00000162591	OG_10339	HQ_08675	MEGF6	HUMAN	5	1to1	1to1	ENSRNOG00000000156	HQ_08675	Megf6	RATNO	5	1to1	1to1	77.2875	75.6671	100.0	0.0	1.0	0.5	0.5	1	1
ENSG00000145782	OG_08855	HQ_07260	ATG12	HUMAN	5	1to1	1to1	ENSRNOG00000000157	HQ_07260	Atg12	RATNO	5	1to1	1to1	85.7143	85.1064	100.0	0.0	1.0	0.4	0.4	1	1
ENSG00000129596	OG_06902	HQ_05333	CDO1	HUMAN	5	1to1	1to1	ENSRNOG00000000158	HQ_05333	Cdo1	RATNO	5	1to1	1to1	92.0	92.0	100.0	0.0	1.0	0.25	0.25	1	1
ENSG00000188419	OG_13779	HQ_11962	CHM	HUMAN	5	1to1	1to1	ENSRNOG00000000161	HQ_11962	Chm	RATNO	5	1to1	1to1	81.1639	81.5385	100.0	82.67	1.0	0.25	0.25	1	1
ENSG00000005893	OG_02233	HQ_00678	LAMP2	HUMAN	5	1to1	1to1	ENSRNOG00000000164	HQ_00678	Lamp2	RATNO	5	1to1	1to1	61.7073	61.4078	100.0	4.66	1.0	0.4	0.4	1	1
ENSG00000158571	OG_09970	HQ_08342	PFKFB1	HUMAN	5	1to1	1to1	ENSRNOG00000000165	HQ_08342	Pfkfb1	RATNO	5	1to1	1to1	95.3291	95.3291	100.0	77.91	1.0	0.5714285714285714	0.375	1	1
ENSG00000169188	OG_01773	HQ_09920	APEX2	HUMAN	5	multi_copy	1to1	ENSRNOG00000000166	HQ_09920	Apex2	RATNO	5	multi_copy	1to1	79.3436	78.5851	75.0	0.0	1.0	0.5714285714285714	0.375	1	1
ENSG00000158578	OG_09971	HQ_08343	ALAS2	HUMAN	5	1to1	1to1	ENSRNOG00000000167	HQ_08343	Alas2	RATNO	5	1to1	1to1	86.201	88.4615	50.0	0.0	0.0	0.14285714285714285	0.125	1	1
ENSG00000171766	OG_11993	HQ_10276	GATM	HUMAN	5	1to1	1to1	ENSRNOG00000000168	HQ_10276	Gatm	RATNO	5	1to1	1to1	95.5083	87.4459	75.0	0.0	1.0	0.25	0.2222222222222222	1	1
ENSG00000171763	OG_11992	HQ_10275	SPATA5L1	HUMAN	5	1to1	1to1	ENSRNOG00000000169	HQ_10275	Spata5l1	RATNO	5	1to1	1to1	79.4157	80.0536	75.0	0.0	1.0	0.375	0.3333333333333333	1	1
ENSG00000104154	OG_04412	HQ_02868	SLC30A4	HUMAN	5	1to1	1to1	ENSRNOG00000000170	HQ_02868	Slc30a4	RATNO	5	1to1	1to1	91.1422	90.9302	100.0	0.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSG00000137767	OG_07905	HQ_06318	SQOR	HUMAN	5	1to1	1to1	ENSRNOG00000000172	HQ_06318	Sqor	RATNO	5	1to1	1to1	86.8889	81.9706	100.0	100.0	1.0	0.4	0.4	1	1
ENSG00000105556	OG_04592	HQ_03034	MIER2	HUMAN	5	1to1	1to1	ENSRNOG00000000175	HQ_03034	Mier2	RATNO	5	1to1	1to1	74.6789	76.3602	75.0	98.6	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSG00000141934	OG_08425	HQ_06833	PLPP2	HUMAN	5	1to1	1to1	ENSRNOG00000000177	HQ_06833	Plpp2	RATNO	5	1to1	1to1	82.9861	78.8779	50.0	70.45	0.0	0.25	0.25	1	1
ENSG00000187045	OG_13645	HQ_11838	TMPRSS6	HUMAN	5	1to1	1to1	ENSRNOG00000000184	HQ_11838	Tmprss6	RATNO	5	1to1	1to1	84.788	85.1064	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000128309	OG_06788	HQ_05218	MPST	HUMAN	5	1to1	1to1	ENSRNOG00000000185	HQ_05218	Mpst	RATNO	5	1to1	1to1	79.4953	84.8485	100.0	34.72	1.0	0.5	0.5	1	1
ENSG00000128311	OG_06789	HQ_05219	TST	HUMAN	5	1to1	1to1	ENSRNOG00000000186	HQ_05219	Tst	RATNO	5	1to1	1to1	90.9091	78.0347	100.0	0.0	1.0	0.6	0.6	1	1
ENSG00000100368	OG_01220	HQ_02401	CSF2RB	HUMAN	5	multi_copy	1to1	ENSRNOG00000000187	HQ_02401	Csf2rb	RATNO	5	multi_copy	1to1	55.8528	55.9152	100.0	0.0	1.0	0.8	0.8	1	1
ENSG00000100393	OG_01221	HQ_02406	EP300	HUMAN	5	multi_copy	1to1	ENSRNOG00000000190	HQ_SNG_011513	Ep300	RATNO	5	multi_copy	singleton	13.2146	87.3973	100.0	65.97	0.0	0.375	0.3333333333333333	2	1
ENSG00000110002	OG_00807	HQ_03520	VWA5A	HUMAN	5	multi_copy	1to1	ENSRNOG00000000195	HQ_18746	Vwa5a	RATNO	5	multi_copy	1to1	67.5573	66.2095	0.0	0.0	0.0	0.16666666666666666	0.0	2	1
ENSG00000137869	OG_00876	HQ_00209	CYP19A1	HUMAN	5	multi_copy	multi_copy	ENSRNOG00000000196	HQ_00209	Cyp19a1	RATNO	5	multi_copy	multi_copy	77.1372	77.1372	50.0	0.0	0.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000203909	OG_00704	HQ_12560	DPPA5	HUMAN	5	multi_copy	1to1	ENSRNOG00000000199	HQ_12560	Dppa5	RATNO	5	multi_copy	1to1	71.5517	71.5517	50.0	0.0	0.0	0.18181818181818182	0.07692307692307693	1	1
ENSG00000135316	OG_07532	HQ_05943	SYNCRIP	HUMAN	5	1to1	1to1	ENSRNOG00000000204	HQ_05943	Syncrip	RATNO	5	1to1	1to1	89.2456	92.3588	50.0	99.04	1.0	0.125	0.125	1	1
ENSG00000160746	OG_10172	HQ_08527	ANO10	HUMAN	5	1to1	1to1	ENSRNOG00000000219	HQ_08527	Ano10	RATNO	5	1to1	1to1	91.0606	84.4101	100.0	0.0	1.0	0.4	0.4	1	1
ENSG00000011198	OG_02369	HQ_00813	ABHD5	HUMAN	5	1to1	1to1	ENSRNOG00000000221	HQ_00813	Abhd5	RATNO	5	1to1	1to1	93.6963	93.9655	100.0	100.0	1.0	0.5	0.5	1	1
ENSG00000103227	OG_04336	HQ_02788	LMF1	HUMAN	5	1to1	1to1	ENSRNOG00000000230	HQ_02788	Lmf1	RATNO	5	1to1	1to1	80.776	77.8912	100.0	0.0	1.0	0.4	0.4	1	1
ENSG00000100379	OG_03965	HQ_02404	KCTD17	HUMAN	5	1to1	1to1	ENSRNOG00000000231	HQ_02404	Kctd17	RATNO	5	1to1	1to1	78.9809	68.3196	100.0	0.0	1.0	0.5	0.5	1	1
ENSG00000113262	OG_05400	HQ_03851	GRM6	HUMAN	5	1to1	1to1	ENSRNOG00000000233	HQ_03851	Grm6	RATNO	5	1to1	1to1	93.2725	93.915	75.0	0.0	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSG00000108666	OG_01304	HQ_03385	C17orf75	HUMAN	5	multi_copy	1to1	ENSRNOG00000000237	HQ_03385	RGD1310429	RATNO	5	multi_copy	1to1	88.3838	89.0585	100.0	0.0	1.0	0.16666666666666666	0.16666666666666666	1	1
ENSG00000108688	OG_15569	HQ_13735	CCL7	HUMAN	4	1to1	1to1	ENSRNOG00000000239	HQ_13735	Ccl7	RATNO	4	1to1	1to1	59.596	60.8247	100.0	0.0	1.0	0.3076923076923077	0.21428571428571427	1	1
ENSG00000121058	OG_06154	HQ_04604	COIL	HUMAN	5	1to1	1to1	ENSRNOG00000000244	HQ_04604	Coil	RATNO	5	1to1	1to1	64.9306	63.0691	100.0	0.0	1.0	0.3333333333333333	0.3	1	1
ENSG00000108932	OG_04970	HQ_03418	SLC16A6	HUMAN	5	1to1	1to1	ENSRNOG00000000245	HQ_03418	Slc16a6	RATNO	5	1to1	1to1	82.0268	54.3726	100.0	0.0	1.0	0.8	0.8	1	1
ENSG00000196704	OG_01978	HQ_12176	AMZ2	HUMAN	5	multi_copy	1to1	ENSRNOG00000000246	HQ_12176	Amz2	RATNO	5	multi_copy	1to1	79.4444	78.7879	25.0	0.0	0.0	0.5	0.5	1	1
ENSG00000092931	OG_03747	HQ_02186	MFSD11	HUMAN	5	1to1	1to1	ENSRNOG00000000247	HQ_02186	Mfsd11	RATNO	5	1to1	1to1	93.3185	93.1111	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000161547	OG_00922	HQ_00433	SRSF2	HUMAN	5	multi_copy	multi_copy	ENSRNOG00000000248	HQ_00433	Srsf2	RATNO	5	multi_copy	multi_copy	100.0	100.0	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000263465	OG_00922	HQ_00433	SRSF8	HUMAN	5	multi_copy	multi_copy	ENSRNOG00000000248	HQ_00433	Srsf2	RATNO	5	multi_copy	multi_copy	58.156	74.2081	0.0	0.0	0.0	0.09090909090909091	0.09090909090909091	1	2
ENSG00000181038	OG_12978	HQ_15262	METTL23	HUMAN	5	1to1	1to1	ENSRNOG00000000249	HQ_15262	Mettl23	RATNO	5	1to1	1to1	87.3684	73.7778	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000070495	OG_03049	HQ_01483	JMJD6	HUMAN	5	1to1	1to1	ENSRNOG00000000250	HQ_01483	Jmjd6	RATNO	5	1to1	1to1	89.0819	90.201	100.0	0.0	1.0	0.4	0.4	1	1
ENSG00000070526	OG_03051	HQ_01485	ST6GALNAC1	HUMAN	5	1to1	1to1	ENSRNOG00000000251	HQ_01485	St6galnac1	RATNO	5	1to1	1to1	60.0	69.2308	100.0	0.0	1.0	0.125	0.125	1	1
ENSG00000103056	OG_04316	HQ_02769	SMPD3	HUMAN	5	1to1	1to1	ENSRNOG00000000257	HQ_02769	Smpd3	RATNO	5	1to1	1to1	90.687	90.687	100.0	17.19	1.0	0.6	0.6	1	1
ENSG00000132600	OG_07211	HQ_05626	PRMT7	HUMAN	5	1to1	1to1	ENSRNOG00000000258	HQ_05626	Prmt7	RATNO	5	1to1	1to1	84.104	82.6705	100.0	0.0	1.0	0.4	0.4	1	1
ENSG00000102984	OG_04302	HQ_02755	ZNF821	HUMAN	5	1to1	1to1	ENSRNOG00000000262	HQ_02755	Zfp821	RATNO	5	1to1	1to1	95.3884	95.1574	100.0	0.0	1.0	0.4	0.4	1	1
ENSG00000140995	OG_08322	HQ_06736	DEF8	HUMAN	5	1to1	1to1	ENSRNOG00000000264	HQ_06736	Def8	RATNO	5	1to1	1to1	92.0177	92.0177	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSG00000165443	OG_10961	HQ_09281	PHYHIPL	HUMAN	5	1to1	1to1	ENSRNOG00000000274	HQ_09281	Phyhipl	RATNO	5	1to1	1to1	89.6277	86.8557	100.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSG00000148541	OG_09107	HQ_07502	FAM13C	HUMAN	5	1to1	1to1	ENSRNOG00000000275	HQ_07502	Fam13c	RATNO	5	1to1	1to1	75.7265	76.9097	100.0	29.08	1.0	0.75	0.75	1	1
ENSG00000138336	OG_07991	HQ_06403	TET1	HUMAN	5	1to1	1to1	ENSRNOG00000000277	HQ_06403	Tet1	RATNO	5	1to1	1to1	54.4944	57.0588	50.0	0.0	0.0	0.125	0.125	1	1
ENSG00000130347	OG_06961	HQ_05385	RTN4IP1	HUMAN	5	1to1	1to1	ENSRNOG00000000279	HQ_05385	Rtn4ip1	RATNO	5	1to1	1to1	90.9091	90.9091	100.0	40.93	1.0	0.7142857142857143	0.5	1	1
ENSG00000277196	OG_01215	HQ_00311	PRODH	HUMAN	5	multi_copy	multi_copy	ENSRNOG00000000281	HQ_00311	Prodh1	RATNO	5	multi_copy	multi_copy	81.5	81.6361	25.0	0.0	0.0	0.14285714285714285	0.14285714285714285	1	1
ENSG00000100033	OG_01215	HQ_00311	PRODH	HUMAN	5	multi_copy	multi_copy	ENSRNOG00000000281	HQ_00311	Prodh1	RATNO	5	multi_copy	multi_copy	81.3333	81.4691	25.0	0.0	0.0	0.1111111111111111	0.1111111111111111	1	2
ENSG00000063515	OG_15374	HQ_13419	GSC2	HUMAN	4	1to1	1to1	ENSRNOG00000000282	HQ_13419	Gsc2	RATNO	4	1to1	1to1	71.7073	68.6916	75.0	0.0	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSG00000100056	OG_15462	HQ_13557	ESS2	HUMAN	4	1to1	1to1	ENSRNOG00000000283	HQ_13557	Ess2	RATNO	4	1to1	1to1	92.6471	92.6471	75.0	0.0	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSG00000244486	OG_14967	HQ_13052	SCARF2	HUMAN	5	1to1	1to1	ENSRNOG00000000288	HQ_13052	Scarf2	RATNO	5	1to1	1to1	84.9884	87.8282	50.0	0.0	0.0	0.2857142857142857	0.2857142857142857	1	1
