ensembl_id_MOUSE	ens_orthogroup_id	ens_hqorthogroup_id_MOUSE	gene_symbol_MOUSE	species_code_MOUSE	n_species_MOUSE	ens_orthogroup_status_MOUSE	ens_hqorthogroup_status_MOUSE	ensembl_id_PIGXX	ens_hqorthogroup_id_PIGXX	gene_symbol_PIGXX	species_code_PIGXX	n_species_PIGXX	ens_orthogroup_status_PIGXX	ens_hqorthogroup_status_PIGXX	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_MOUSE	ortholog_rank_PIGXX
ENSMUSG00000054277	OG_14939	HQ_13026	Arfgap3	MOUSE	5	1to1	1to1	ENSSSCG00000000037	HQ_13026	ARFGAP3	PIGXX	5	1to1	1to1	78.0534	82.2938	100.0	3.99	1.0	0.75	0.75	1	1
ENSMUSG00000018042	OG_03921	HQ_02362	Cyb5r3	MOUSE	5	1to1	1to1	ENSSSCG00000000038	HQ_02362	CYB5R3	PIGXX	5	1to1	1to1	66.4537	69.3333	100.0	0.0	1.0	0.75	0.75	1	1
ENSMUSG00000041815	OG_03916	HQ_02357	Poldip3	MOUSE	5	1to1	1to1	ENSSSCG00000000039	HQ_02357	POLDIP3	PIGXX	5	1to1	1to1	92.619	92.619	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSMUSG00000022456	OG_03906	HQ_13562	Septin3	MOUSE	5	1to1	1to1	ENSSSCG00000000040	HQ_13562	SEPTIN3	PIGXX	5	1to1	1to1	66.18	67.2435	100.0	100.0	1.0	0.14285714285714285	0.14285714285714285	1	1
ENSMUSG00000022450	OG_13389	HQ_11600	Ndufa6	MOUSE	5	1to1	1to1	ENSSSCG00000000045	HQ_11600	NDUFA6	PIGXX	5	1to1	1to1	87.0229	74.026	100.0	0.0	1.0	0.5	0.5	1	1
ENSMUSG00000061740	OG_00179	HQ_00023	Cyp2d22	MOUSE	5	multi_copy	multi_copy	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	70.4	70.4	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSMUSG00000022445	OG_00179	HQ_00023	Cyp2d26	MOUSE	5	multi_copy	multi_copy	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	68.4	68.4	100.0	0.0	1.0	0.3333333333333333	0.25	1	2
ENSMUSG00000068085	OG_00179	HQ_00023	Cyp2d11	MOUSE	5	multi_copy	multi_copy	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	63.8889	64.4	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	3
ENSMUSG00000094806	OG_00179	HQ_00023	Cyp2d10	MOUSE	5	multi_copy	multi_copy	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	65.6746	66.2	100.0	0.0	1.0	0.16666666666666666	0.16666666666666666	1	4
ENSMUSG00000094559	OG_00179	HQ_00023	Cyp2d34	MOUSE	5	multi_copy	multi_copy	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	65.4762	66.0	100.0	0.0	1.0	0.16666666666666666	0.125	1	5
ENSMUSG00000068083	OG_00179	HQ_SNG_009126	Cyp2d40	MOUSE	5	multi_copy	singleton	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	70.7101	47.8	100.0	0.0	0.0	0.3333333333333333	0.25	1	6
ENSMUSG00000118516	OG_00179	HQ_SNG_011473	Cyp2d13	MOUSE	5	multi_copy	singleton	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	55.2632	8.4	100.0	0.0	0.0	0.3333333333333333	0.25	1	7
ENSMUSG00000068086	OG_00179	HQ_00023	Cyp2d9	MOUSE	5	multi_copy	multi_copy	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	65.2778	65.8	0.0	0.0	0.0	0.16666666666666666	0.16666666666666666	1	8
ENSMUSG00000096852	OG_00179	HQ_00023	Cyp2d12	MOUSE	5	multi_copy	multi_copy	ENSSSCG00000000046	HQ_00023	CYP2D6	PIGXX	5	multi_copy	multi_copy	64.4841	65.0	0.0	0.0	0.0	0.16666666666666666	0.125	1	9
ENSMUSG00000022453	OG_14373	HQ_12534	Naga	MOUSE	5	1to1	1to1	ENSSSCG00000000050	HQ_12534	NAGA	PIGXX	5	1to1	1to1	75.1807	80.6202	100.0	6.42	1.0	0.6	0.6	1	1
ENSMUSG00000022471	OG_01016	HQ_12132	Xrcc6	MOUSE	5	multi_copy	1to1	ENSSSCG00000000059	HQ_12132	XRCC6	PIGXX	5	multi_copy	1to1	83.3882	83.6634	25.0	0.0	0.0	0.125	0.125	1	1
ENSMUSG00000022474	OG_01222	HQ_02414	Pmm1	MOUSE	5	multi_copy	1to1	ENSSSCG00000000061	HQ_02414	PMM1	PIGXX	5	multi_copy	1to1	95.0382	95.0382	75.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSMUSG00000042109	OG_12066	HQ_10350	Csdc2	MOUSE	5	1to1	1to1	ENSSSCG00000000062	HQ_10350	CSDC2	PIGXX	5	1to1	1to1	94.8052	95.4248	75.0	0.0	1.0	0.5	0.5	1	1
ENSMUSG00000022476	OG_03972	HQ_02412	Polr3h	MOUSE	5	1to1	1to1	ENSSSCG00000000063	HQ_02412	POLR3H	PIGXX	5	1to1	1to1	98.0392	98.0392	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000022477	OG_03971	HQ_02411	Aco2	MOUSE	5	1to1	1to1	ENSSSCG00000000064	HQ_02411	ACO2	PIGXX	5	1to1	1to1	97.9487	97.9487	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMUSG00000022394	OG_03967	HQ_02407	L3mbtl2	MOUSE	5	1to1	1to1	ENSSSCG00000000066	HQ_02407	L3MBTL2	PIGXX	5	1to1	1to1	86.0622	90.085	100.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000063765	OG_15473	HQ_13576	Chadl	MOUSE	4	1to1	1to1	ENSSSCG00000000067	HQ_13576	CHADL	PIGXX	4	1to1	1to1	75.4011	74.2105	100.0	0.0	1.0	0.5	0.5	1	1
ENSMUSG00000055024	OG_01221	HQ_02406	Ep300	MOUSE	5	multi_copy	1to1	ENSSSCG00000000068	HQ_02406	EP300	PIGXX	5	multi_copy	1to1	93.864	93.5537	100.0	88.91	1.0	0.6	0.6	1	1
ENSMUSG00000022403	OG_00580	HQ_13574	St13	MOUSE	5	multi_copy	1to1	ENSSSCG00000000071	HQ_13574	ST13	PIGXX	5	multi_copy	1to1	90.566	89.8396	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSMUSG00000022404	OG_03962	HQ_13573	Slc25a17	MOUSE	5	1to1	1to1	ENSSSCG00000000072	HQ_13573	SLC25A17	PIGXX	5	1to1	1to1	77.8502	72.6444	100.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000050164	OG_06786	HQ_05217	Mchr1	MOUSE	5	1to1	1to1	ENSSSCG00000000074	HQ_05217	MCHR1	PIGXX	5	1to1	1to1	94.6176	94.6176	100.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSMUSG00000042292	OG_13993	HQ_12162	Mrtfa	MOUSE	5	1to1	1to1	ENSSSCG00000000075	HQ_12162	MRTFA	PIGXX	5	1to1	1to1	61.516	78.2447	100.0	95.38	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSMUSG00000042303	OG_03957	HQ_02396	Sgsm3	MOUSE	5	1to1	1to1	ENSSSCG00000000076	HQ_02396	SGSM3	PIGXX	5	1to1	1to1	90.6667	87.9689	100.0	100.0	1.0	0.4	0.4	1	1
ENSMUSG00000022407	OG_14910	HQ_13000	Adsl	MOUSE	5	1to1	1to1	ENSSSCG00000000077	HQ_13000	ADSL	PIGXX	5	1to1	1to1	86.7769	82.3529	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000047888	OG_03956	HQ_02395	Tnrc6b	MOUSE	5	1to1	1to1	ENSSSCG00000000078	HQ_02395	TNRC6B	PIGXX	5	1to1	1to1	93.2597	92.1397	100.0	99.99	1.0	0.8	0.8	1	1
ENSMUSG00000022408	OG_07318	HQ_05730	Fam83f	MOUSE	5	1to1	1to1	ENSSSCG00000000079	HQ_05730	FAM83F	PIGXX	5	1to1	1to1	78.9899	76.2183	100.0	0.0	1.0	0.8333333333333334	0.8333333333333334	1	1
ENSMUSG00000042351	OG_03954	HQ_02393	Grap2	MOUSE	5	1to1	1to1	ENSSSCG00000000080	HQ_02393	GRAP2	PIGXX	5	1to1	1to1	84.7826	85.3125	100.0	100.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000050439	OG_16490	HQ_15123	Enthd1	MOUSE	4	1to1	1to1	ENSSSCG00000000081	HQ_15123	ENTHD1	PIGXX	4	1to1	1to1	51.7799	56.042	100.0	48.55	1.0	0.8	0.8	1	1
ENSMUSG00000022416	OG_03950	HQ_02389	Cacna1i	MOUSE	5	1to1	1to1	ENSSSCG00000000082	HQ_02389	CACNA1I	PIGXX	5	1to1	1to1	88.7676	89.5002	100.0	0.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSMUSG00000022414	OG_03946	HQ_02384	Tab1	MOUSE	5	1to1	1to1	ENSSSCG00000000087	HQ_02384	TAB1	PIGXX	5	1to1	1to1	95.4183	79.3046	100.0	0.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSMUSG00000009585	OG_03936	HQ_SNG_007870	Apobec3	MOUSE	5	1to1	singleton	ENSSSCG00000000091	HQ_SNG_017073		PIGXX	5	1to1	singleton	19.3182	34.9794	100.0	0.0	0.0	0.2222222222222222	0.1	1	1
ENSMUSG00000022421	OG_14796	HQ_12899	Nptxr	MOUSE	5	1to1	1to1	ENSSSCG00000000092	HQ_12899	NPTXR	PIGXX	5	1to1	1to1	89.858	89.3145	75.0	0.0	1.0	0.2	0.2	1	1
ENSMUSG00000042524	OG_03920	HQ_02361	Sun2	MOUSE	5	1to1	1to1	ENSSSCG00000000094	HQ_02361	SUN2	PIGXX	5	1to1	1to1	81.6689	79.494	100.0	99.69	1.0	0.25	0.25	1	1
ENSMUSG00000042535	OG_03915	HQ_02356	Gtpbp1	MOUSE	5	1to1	1to1	ENSSSCG00000000095	HQ_02356	GTPBP1	PIGXX	5	1to1	1to1	94.3114	91.1722	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000022427	OG_03910	HQ_02351	Tomm22	MOUSE	5	1to1	1to1	ENSSSCG00000000097	HQ_02351	TOMM22	PIGXX	5	1to1	1to1	90.1408	61.8358	100.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000022429	OG_03909	HQ_02349	Dmc1	MOUSE	5	1to1	1to1	ENSSSCG00000000103	HQ_02349	DMC1	PIGXX	5	1to1	1to1	96.4706	96.4706	100.0	0.0	1.0	0.25	0.25	1	1
ENSMUSG00000010830	OG_03908	HQ_02348	Kdelr3	MOUSE	5	1to1	1to1	ENSSSCG00000000105	HQ_02348	KDELR3	PIGXX	5	1to1	1to1	87.8505	63.0872	100.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000044216	OG_16313	HQ_14877	Kcnj4	MOUSE	4	1to1	1to1	ENSSSCG00000000106	HQ_14877	KCNJ4	PIGXX	4	1to1	1to1	97.3034	96.868	100.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSMUSG00000022433	OG_14695	HQ_12817	Csnk1e	MOUSE	5	1to1	1to1	ENSSSCG00000000107	HQ_12817	CSNK1E	PIGXX	5	1to1	1to1	77.1635	74.478	100.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSMUSG00000009035	OG_16926	HQ_15675	Tmem184b	MOUSE	4	1to1	1to1	ENSSSCG00000000108	HQ_15675	TMEM184B	PIGXX	4	1to1	1to1	95.6522	95.6522	100.0	0.0	1.0	0.5	0.5	1	1
ENSMUSG00000042632	OG_13323	HQ_11542	Pla2g6	MOUSE	5	1to1	1to1	ENSSSCG00000000110	HQ_11542	PLA2G6	PIGXX	5	1to1	1to1	90.9542	87.799	100.0	0.0	1.0	0.5	0.5	1	1
ENSMUSG00000018126	OG_06787	HQ_14027	Baiap2l2	MOUSE	5	1to1	1to1	ENSSSCG00000000111	HQ_14027	BAIAP2L2	PIGXX	5	1to1	1to1	90.8046	89.7727	100.0	0.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMUSG00000032988	OG_03904	HQ_02344	Slc16a8	MOUSE	5	1to1	1to1	ENSSSCG00000000113	HQ_02344	SLC16A8	PIGXX	5	1to1	1to1	84.5528	83.0339	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMUSG00000068206	OG_03902	HQ_02342	Pick1	MOUSE	5	1to1	1to1	ENSSSCG00000000114	HQ_02342	PICK1	PIGXX	5	1to1	1to1	93.9904	90.7193	75.0	0.9	1.0	0.625	0.625	1	1
ENSMUSG00000033020	OG_03898	HQ_02338	Polr2f	MOUSE	5	1to1	1to1	ENSSSCG00000000116	HQ_02338	POLR2F	PIGXX	5	1to1	1to1	100.0	100.0	100.0	92.12	1.0	0.5	0.5	1	1
ENSMUSG00000033029	OG_06792	HQ_05222	1700088E04Rik	MOUSE	5	1to1	1to1	ENSSSCG00000000117	HQ_05222	C22orf23	PIGXX	5	1to1	1to1	79.6296	79.2627	75.0	100.0	1.0	0.5	0.5	1	1
ENSMUSG00000033039	OG_03897	HQ_13561	Micall1	MOUSE	5	1to1	1to1	ENSSSCG00000000118	HQ_13561	MICALL1	PIGXX	5	1to1	1to1	73.2184	73.5566	100.0	0.0	1.0	0.5	0.5	1	1
ENSMUSG00000033047	OG_03896	HQ_02337	Eif3l	MOUSE	5	1to1	1to1	ENSSSCG00000000119	HQ_02337	EIF3L	PIGXX	5	1to1	1to1	92.3759	82.8299	100.0	0.0	1.0	0.5	0.5	1	1
ENSMUSG00000033055	OG_03895	HQ_02336	Ankrd54	MOUSE	5	1to1	1to1	ENSSSCG00000000120	HQ_02336	ANKRD54	PIGXX	5	1to1	1to1	92.3077	92.3077	100.0	0.0	1.0	0.5	0.5	1	1
ENSMUSG00000114755	OG_15758	HQ_14028	Galr3	MOUSE	4	1to1	1to1	ENSSSCG00000000121	HQ_14028	GALR3	PIGXX	4	1to1	1to1	88.9189	87.5	100.0	0.0	1.0	0.7142857142857143	0.5	1	1
ENSMUSG00000018008	OG_03875	HQ_02318	Cyth4	MOUSE	5	1to1	1to1	ENSSSCG00000000130	HQ_02318	CYTH4	PIGXX	5	1to1	1to1	91.8575	91.6244	100.0	0.0	1.0	0.6	0.6	1	1
ENSMUSG00000043460	OG_11242	HQ_09562	Elfn2	MOUSE	5	1to1	1to1	ENSSSCG00000000131	HQ_09562	ELFN2	PIGXX	5	1to1	1to1	94.7752	95.2381	100.0	100.0	1.0	0.5714285714285714	0.5714285714285714	1	1
ENSMUSG00000062154	OG_13433	HQ_11642	Tex33	MOUSE	5	1to1	1to1	ENSSSCG00000000132	HQ_11642	TEX33	PIGXX	5	1to1	1to1	60.9023	51.7572	75.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000044986	OG_06789	HQ_05219	Tst	MOUSE	5	1to1	1to1	ENSSSCG00000000133	HQ_05219	TST	PIGXX	5	1to1	1to1	87.8788	74.5714	75.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000033287	OG_03965	HQ_02404	Kctd17	MOUSE	5	1to1	1to1	ENSSSCG00000000135	HQ_02404	KCTD17	PIGXX	5	1to1	1to1	76.1246	63.0373	100.0	66.86	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSMUSG00000071713	OG_01220	HQ_02401	Csf2rb	MOUSE	5	multi_copy	1to1	ENSSSCG00000000136	HQ_02401	CSF2RB	PIGXX	5	multi_copy	1to1	52.0089	52.6554	100.0	13.79	1.0	0.75	0.6	1	1
ENSMUSG00000071714	OG_01220	HQ_SNG_009307	Csf2rb2	MOUSE	5	multi_copy	singleton	ENSSSCG00000000136	HQ_02401	CSF2RB	PIGXX	5	multi_copy	1to1	52.5057	52.0904	0.0	0.0	0.0	0.4	0.3333333333333333	1	2
ENSMUSG00000071715	OG_03961	HQ_02400	Ncf4	MOUSE	5	1to1	1to1	ENSSSCG00000000137	HQ_02400	NCF4	PIGXX	5	1to1	1to1	84.6608	67.6887	75.0	0.0	1.0	0.6	0.5	1	1
ENSMUSG00000005716	OG_03959	HQ_02398	Pvalb	MOUSE	5	1to1	1to1	ENSSSCG00000000138	HQ_02398	PVALB	PIGXX	5	1to1	1to1	86.3636	67.3759	75.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000016637	OG_03958	HQ_02397	Ift27	MOUSE	5	1to1	1to1	ENSSSCG00000000139	HQ_02397	IFT27	PIGXX	5	1to1	1to1	74.1936	70.0508	100.0	45.73	1.0	0.625	0.625	1	1
ENSMUSG00000016554	OG_03955	HQ_02394	Eif3d	MOUSE	5	1to1	1to1	ENSSSCG00000000141	HQ_02394	EIF3D	PIGXX	5	1to1	1to1	99.0876	99.0876	100.0	0.0	1.0	1.0	1.0	1	1
ENSMUSG00000016552	OG_03953	HQ_02392	Foxred2	MOUSE	5	1to1	1to1	ENSSSCG00000000142	HQ_02392	FOXRED2	PIGXX	5	1to1	1to1	83.0075	80.3493	100.0	0.0	1.0	1.0	1.0	1	1
ENSMUSG00000005354	OG_03952	HQ_02391	Txn2	MOUSE	5	1to1	1to1	ENSSSCG00000000144	HQ_02391	TXN2	PIGXX	5	1to1	1to1	75.3012	49.0196	75.0	0.0	0.0	0.3333333333333333	0.3333333333333333	1	1
ENSMUSG00000022443	OG_03949	HQ_02388	Myh9	MOUSE	5	1to1	1to1	ENSSSCG00000000145	HQ_02388	MYH9	PIGXX	5	1to1	1to1	93.9286	95.4875	75.0	0.0	1.0	0.75	0.3333333333333333	1	1
ENSMUSG00000018830	OG_07313	HQ_05724	Myh11	MOUSE	5	1to1	1to1	ENSSSCG00000000146	HQ_05724	MYH11	PIGXX	5	1to1	1to1	96.1091	96.1577	75.0	82.71	1.0	0.5	0.5	1	1
ENSMUSG00000071716	OG_00371	HQ_SNG_009308	Apol7e	MOUSE	3	multi_copy	singleton	ENSSSCG00000000148	HQ_SNG_017075		PIGXX	3	multi_copy	singleton	48.2385	52.5074	100.0	0.0	0.0	0.2	0.0	1	1
ENSMUSG00000010601	OG_00371	HQ_SNG_007877	Apol7a	MOUSE	3	multi_copy	singleton	ENSSSCG00000000148	HQ_SNG_017075		PIGXX	3	multi_copy	singleton	43.7799	53.9823	0.0	0.0	0.0	0.5	0.14285714285714285	2	2
ENSMUSG00000056656	OG_00371	HQ_SNG_008746	Apol8	MOUSE	3	multi_copy	singleton	ENSSSCG00000000148	HQ_SNG_017075		PIGXX	3	multi_copy	singleton	53.3923	53.3923	0.0	0.0	0.0	0.4	0.14285714285714285	2	3
ENSMUSG00000068252	OG_00371	HQ_SNG_009138	Apol7b	MOUSE	3	multi_copy	singleton	ENSSSCG00000000148	HQ_SNG_017075		PIGXX	3	multi_copy	singleton	49.3225	53.6873	0.0	0.0	0.0	0.2	0.0	2	4
ENSMUSG00000044309	OG_00371	HQ_SNG_008421	Apol7c	MOUSE	3	multi_copy	singleton	ENSSSCG00000000148	HQ_SNG_017075		PIGXX	3	multi_copy	singleton	47.4255	51.6224	0.0	0.0	0.0	0.2	0.0	2	5
ENSMUSG00000033576	OG_17061	HQ_SNG_008222	Apol6	MOUSE	4	1to1	singleton	ENSSSCG00000000151	HQ_SNG_017076		PIGXX	4	1to1	singleton	29.7872	22.2727	25.0	0.0	0.0	0.2857142857142857	0.125	1	1
ENSMUSG00000033565	OG_03944	HQ_02383	Rbfox2	MOUSE	5	1to1	1to1	ENSSSCG00000000152	HQ_02383	RBFOX2	PIGXX	5	1to1	1to1	95.5457	95.3333	50.0	81.15	1.0	0.14285714285714285	0.14285714285714285	1	1
ENSMUSG00000001786	OG_03914	HQ_02355	Fbxo7	MOUSE	5	1to1	1to1	ENSSSCG00000000156	HQ_02355	FBXO7	PIGXX	5	1to1	1to1	77.0555	76.4706	100.0	24.34	1.0	0.4	0.4	1	1
ENSMUSG00000050108	OG_13334	HQ_11552	Bpifc	MOUSE	5	1to1	1to1	ENSSSCG00000000157	HQ_11552	BPIFC	PIGXX	5	1to1	1to1	64.8915	67.0061	100.0	100.0	1.0	0.5555555555555556	0.5555555555555556	1	1
ENSMUSG00000001783	OG_01217	HQ_02353	Rtcb	MOUSE	5	multi_copy	1to1	ENSSSCG00000000158	HQ_02353	RTCB	PIGXX	5	multi_copy	1to1	99.4059	99.4059	100.0	0.0	1.0	0.625	0.625	1	1
ENSMUSG00000085111	OG_16799	HQ_15503	Ascl4	MOUSE	4	1to1	1to1	ENSSSCG00000000159	HQ_15503	ASCL4	PIGXX	4	1to1	1to1	74.3056	62.2093	100.0	0.0	1.0	0.625	0.625	1	1
