ensembl_id_MOUSE	ens_orthogroup_id	ens_hqorthogroup_id_MOUSE	gene_symbol_MOUSE	species_code_MOUSE	n_species_MOUSE	ens_orthogroup_status_MOUSE	ens_hqorthogroup_status_MOUSE	ensembl_id_MACFA	ens_hqorthogroup_id_MACFA	gene_symbol_MACFA	species_code_MACFA	n_species_MACFA	ens_orthogroup_status_MACFA	ens_hqorthogroup_status_MACFA	ens_identity	ens_homology_identity	ens_goc_score	ens_wga_coverage	ens_is_high_confidence	atlas_goc_score_pairwise	atlas_hq_goc_score_pairwise	ortholog_rank_MOUSE	ortholog_rank_MACFA
ENSMUSG00000020949	OG_01224	HQ_02422	Fkbp3	MOUSE	5	multi_copy	1to1	ENSMFAG00000000044	HQ_02422		MACFA	5	multi_copy	1to1	80.8036	77.3504	100.0	0.0	1.0	0.2857142857142857	0.2857142857142857	1	1
ENSMUSG00000052459	OG_01342	HQ_00341	Atp6v1a	MOUSE	5	multi_copy	multi_copy	ENSMFAG00000000045	HQ_00341		MACFA	5	multi_copy	multi_copy	98.0551	93.2203	100.0	0.0	1.0	0.5	0.5	1	1
ENSMUSG00000095316	OG_00052	HQ_19506	Gm21876	MOUSE	5	multi_copy	1to1	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	41.4894	20.7447	50.0	0.0	0.0	0.375	0.14285714285714285	1	1
ENSMUSG00000068218	OG_00052	HQ_SNG_009131	Ssxb9	MOUSE	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	30.8108	30.3191	50.0	0.0	0.0	0.25	0.0	4	2
ENSMUSG00000079705	OG_00052	HQ_SNG_009953	Ssxb1	MOUSE	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	32.3529	29.2553	50.0	0.0	0.0	0.25	0.0	5	3
ENSMUSG00000068219	OG_00052	HQ_SNG_009132	Ssxb10	MOUSE	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	32.3529	29.2553	50.0	0.0	0.0	0.2	0.0	5	4
ENSMUSG00000071816	OG_00052	HQ_SNG_009319	Ssxb5	MOUSE	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	33.3333	28.1915	50.0	0.0	0.0	0.2	0.0	4	5
ENSMUSG00000079697	OG_00052	HQ_SNG_009947	Gm5751	MOUSE	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	36.0544	28.1915	50.0	0.0	0.0	0.2	0.0	4	6
ENSMUSG00000079699	OG_00052	HQ_SNG_009948	Gm6592	MOUSE	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	31.5476	28.1915	50.0	0.0	0.0	0.2	0.0	5	7
ENSMUSG00000035371	OG_00052	HQ_SNG_008244	Ssx9	MOUSE	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	30.5882	27.6596	50.0	0.0	0.0	0.2	0.0	5	8
ENSMUSG00000062814	OG_00052	HQ_SNG_008981	Ssxa1	MOUSE	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	43.3071	29.2553	0.0	0.0	0.0	0.375	0.14285714285714285	4	9
ENSMUSG00000079702	OG_00052	HQ_SNG_009950	Ssxb6	MOUSE	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	33.5294	30.3191	0.0	0.0	0.0	0.3333333333333333	0.0	7	10
ENSMUSG00000079701	OG_00052	HQ_SNG_009949	Ssxb3	MOUSE	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	32.9412	29.7872	0.0	0.0	0.0	0.3333333333333333	0.0	7	11
ENSMUSG00000079704	OG_00052	HQ_SNG_009952	Gm14459	MOUSE	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	30.7263	29.2553	0.0	0.0	0.0	0.3333333333333333	0.0	7	12
ENSMUSG00000079703	OG_00052	HQ_SNG_009951	Ssxb8	MOUSE	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	32.3529	29.2553	0.0	0.0	0.0	0.25	0.0	7	13
ENSMUSG00000023165	OG_00052	HQ_SNG_008001	Ssxb2	MOUSE	5	multi_copy	singleton	ENSMFAG00000000046	HQ_SNG_001565		MACFA	5	multi_copy	singleton	32.1212	28.1915	0.0	0.0	0.0	0.25	0.0	6	14
ENSMUSG00000068587	OG_15045	HQ_15988	Mgam	MOUSE	5	1to1	1to1	ENSMFAG00000000048	HQ_15988	MGAM	MACFA	5	1to1	1to1	40.4038	78.6753	100.0	100.0	0.0	0.4	0.4	1	1
ENSMUSG00000060491	OG_14416	HQ_12566	4930522H14Rik	MOUSE	5	1to1	1to1	ENSMFAG00000000049	HQ_12566	C1orf185	MACFA	5	1to1	1to1	46.9565	42.6877	50.0	55.92	0.0	0.45454545454545453	0.45454545454545453	1	1
ENSMUSG00000026657	OG_09335	HQ_14498	Frmd4a	MOUSE	5	1to1	1to1	ENSMFAG00000000050	HQ_SNG_001566		MACFA	5	1to1	singleton	35.2207	94.1026	100.0	48.05	0.0	0.2	0.09090909090909091	1	1
ENSMUSG00000096223	OG_00012	HQ_SNG_010877	Gm21874	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.1724	42.2442	0.0	0.0	0.0	0.14285714285714285	0.0	1	1
ENSMUSG00000096645	OG_00012	HQ_SNG_010966	Spin2e	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	62.2881	48.5149	0.0	0.0	0.0	0.125	0.0	1	2
ENSMUSG00000094601	OG_00012	HQ_SNG_010483	Gm5926	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	61.8644	48.1848	0.0	0.0	0.0	0.125	0.0	1	3
ENSMUSG00000095770	OG_00012	HQ_SNG_010786	Gm21637	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	61.8644	48.1848	0.0	0.0	0.0	0.125	0.0	1	4
ENSMUSG00000094813	OG_00012	HQ_SNG_010541	Gm20777	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	58.6207	44.8845	0.0	0.0	0.0	0.125	0.0	1	5
ENSMUSG00000095032	OG_00012	HQ_SNG_010599	Gm21310	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	58.6207	44.8845	0.0	0.0	0.0	0.125	0.0	1	6
ENSMUSG00000095950	OG_00012	HQ_SNG_010827	Gm20737	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	58.6207	44.8845	0.0	0.0	0.0	0.125	0.0	1	7
ENSMUSG00000104267	OG_00012	HQ_SNG_011224	Gm20807	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	58.6207	44.8845	0.0	0.0	0.0	0.125	0.0	1	8
ENSMUSG00000095148	OG_00012	HQ_SNG_010627	Gm20873	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	57.7586	44.2244	0.0	0.0	0.0	0.125	0.0	1	9
ENSMUSG00000094052	OG_00012	HQ_SNG_010354	Gm21118	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	57.7093	43.2343	0.0	0.0	0.0	0.125	0.0	1	10
ENSMUSG00000094739	OG_00012	HQ_SNG_010517	Gm20806	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	57.2687	42.9043	0.0	0.0	0.0	0.125	0.0	1	11
ENSMUSG00000095324	OG_00012	HQ_SNG_010662	Gm20825	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	57.2687	42.9043	0.0	0.0	0.0	0.125	0.0	1	12
ENSMUSG00000096666	OG_00012	HQ_SNG_010973	Gm20852	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	57.2687	42.9043	0.0	0.0	0.0	0.125	0.0	1	13
ENSMUSG00000099948	OG_00012	HQ_SNG_011107	Gm29424	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.0345	42.9043	0.0	0.0	0.0	0.125	0.0	1	14
ENSMUSG00000094294	OG_00012	HQ_SNG_010412	Gm20909	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.8282	42.5743	0.0	0.0	0.0	0.125	0.0	1	15
ENSMUSG00000094729	OG_00012	HQ_SNG_010515	Gm20747	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.8282	42.5743	0.0	0.0	0.0	0.125	0.0	1	16
ENSMUSG00000095867	OG_00012	HQ_SNG_010806	Gm20917	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.8282	42.5743	0.0	0.0	0.0	0.125	0.0	1	17
ENSMUSG00000101053	OG_00012	HQ_SNG_011148	Gm20815	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.8282	42.5743	0.0	0.0	0.0	0.125	0.0	1	18
ENSMUSG00000091077	OG_00012	HQ_SNG_010128	Gm21292	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.3877	42.2442	0.0	0.0	0.0	0.125	0.0	1	19
ENSMUSG00000093848	OG_00012	HQ_SNG_010300	Gm20865	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.3877	42.2442	0.0	0.0	0.0	0.125	0.0	1	20
ENSMUSG00000094660	OG_00012	HQ_SNG_010497	Gm21394	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.3877	42.2442	0.0	0.0	0.0	0.125	0.0	1	21
ENSMUSG00000095302	OG_00012	HQ_SNG_010658	Ssty2	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.3877	42.2442	0.0	0.0	0.0	0.125	0.0	1	22
ENSMUSG00000095650	OG_00012	HQ_SNG_010746	Gm20854	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.3877	42.2442	0.0	0.0	0.0	0.125	0.0	1	23
ENSMUSG00000079806	OG_00012	HQ_SNG_009957	Gm21719	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.2174	41.9142	0.0	0.0	0.0	0.125	0.0	1	24
ENSMUSG00000093950	OG_00012	HQ_SNG_010324	Gm20823	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.9471	41.9142	0.0	0.0	0.0	0.125	0.0	1	25
ENSMUSG00000094773	OG_00012	HQ_SNG_010525	Gm21812	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.9471	41.9142	0.0	0.0	0.0	0.125	0.0	1	26
ENSMUSG00000095634	OG_00012	HQ_SNG_010742	Gm20816	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.9471	41.9142	0.0	0.0	0.0	0.125	0.0	1	27
ENSMUSG00000095785	OG_00012	HQ_SNG_010789	Gm20924	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.9471	41.9142	0.0	0.0	0.0	0.125	0.0	1	28
ENSMUSG00000096686	OG_00012	HQ_SNG_010979	Gm20830	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.9471	41.9142	0.0	0.0	0.0	0.125	0.0	1	29
ENSMUSG00000096898	OG_00012	HQ_SNG_011035	Gm20867	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.9471	41.9142	0.0	0.0	0.0	0.125	0.0	1	30
ENSMUSG00000094556	OG_00012	HQ_SNG_010472	Gm20821	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.5066	41.5842	0.0	0.0	0.0	0.125	0.0	1	31
ENSMUSG00000099861	OG_00012	HQ_SNG_011101	Gm29049	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.5066	41.5842	0.0	0.0	0.0	0.125	0.0	1	32
ENSMUSG00000094081	OG_00012	HQ_SNG_010360	Gm20826	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	54.6255	40.9241	0.0	0.0	0.0	0.125	0.0	1	33
ENSMUSG00000094484	OG_00012	HQ_SNG_010457	Gm21244	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	54.6255	40.9241	0.0	0.0	0.0	0.125	0.0	1	34
ENSMUSG00000094679	OG_00012	HQ_SNG_010501	Gm21721	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	54.185	40.5941	0.0	0.0	0.0	0.125	0.0	1	35
ENSMUSG00000095242	OG_00012	HQ_SNG_010645	Gm20834	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	53.7445	40.264	0.0	0.0	0.0	0.125	0.0	1	36
ENSMUSG00000094838	OG_00012	HQ_SNG_010547	Gm20828	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	53.0702	39.934	0.0	0.0	0.0	0.125	0.0	1	37
ENSMUSG00000095508	OG_00012	HQ_SNG_010704	Gm20812	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	53.304	39.934	0.0	0.0	0.0	0.125	0.0	1	38
ENSMUSG00000099550	OG_00012	HQ_SNG_011088	Gm28079	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	47.1591	27.3927	0.0	0.0	0.0	0.125	0.0	1	39
ENSMUSG00000095754	OG_00012	HQ_SNG_010780	Spin2f	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	60.2362	50.495	0.0	0.0	0.0	0.1111111111111111	0.0	1	40
ENSMUSG00000095900	OG_00012	HQ_SNG_010812	Gm20773	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	58.6207	44.8845	0.0	0.0	0.0	0.1111111111111111	0.0	1	41
ENSMUSG00000096820	OG_00012	HQ_SNG_011014	Gm21425	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	58.6207	44.8845	0.0	0.0	0.0	0.1111111111111111	0.0	1	42
ENSMUSG00000102739	OG_00012	HQ_SNG_011197	Gm20772	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	58.6207	44.8845	0.0	0.0	0.0	0.1111111111111111	0.0	1	43
ENSMUSG00000103468	OG_00012	HQ_SNG_011215	Gm21440	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	58.6207	44.8845	0.0	0.0	0.0	0.1111111111111111	0.0	1	44
ENSMUSG00000093903	OG_00012	HQ_SNG_010311	Gm21454	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	57.3276	43.8944	0.0	0.0	0.0	0.1111111111111111	0.0	1	45
ENSMUSG00000096036	OG_00012	HQ_SNG_010846	Gm21778	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.0345	42.9043	0.0	0.0	0.0	0.1111111111111111	0.0	1	46
ENSMUSG00000096706	OG_00012	HQ_SNG_010986	Gm21854	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.6034	42.5743	0.0	0.0	0.0	0.1111111111111111	0.0	1	47
ENSMUSG00000096268	OG_00012	HQ_SNG_010886	Gm20914	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.3877	42.2442	0.0	0.0	0.0	0.1111111111111111	0.0	1	48
ENSMUSG00000093927	OG_00012	HQ_SNG_010319	Gm20918	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.9471	41.9142	0.0	0.0	0.0	0.1111111111111111	0.0	1	49
ENSMUSG00000100634	OG_00012	HQ_SNG_011134	Gm28171	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.5066	41.5842	0.0	0.0	0.0	0.1111111111111111	0.0	1	50
ENSMUSG00000095520	OG_00012	HQ_SNG_010708	Gm20877	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	53.304	39.934	0.0	0.0	0.0	0.1111111111111111	0.0	1	51
ENSMUSG00000095659	OG_00012	HQ_SNG_010751	Spin2g	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	60.5932	47.1947	0.0	0.0	0.0	0.1	0.0	1	52
ENSMUSG00000094325	OG_00012	HQ_SNG_010423	Gm20831	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	58.6207	44.8845	0.0	0.0	0.0	0.1	0.0	1	53
ENSMUSG00000095267	OG_00012	HQ_SNG_010650	Ssty1	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	57.3276	43.8944	0.0	0.0	0.0	0.1	0.0	1	54
ENSMUSG00000093868	OG_00012	HQ_SNG_010304	Gm20809	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.3877	42.2442	0.0	0.0	0.0	0.1	0.0	1	55
ENSMUSG00000094575	OG_00012	HQ_SNG_010476	Gm20738	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	55.9471	41.9142	0.0	0.0	0.0	0.1	0.0	1	56
ENSMUSG00000095172	OG_00012	HQ_SNG_010630	Gm20822	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	53.0702	39.934	0.0	0.0	0.0	0.1	0.0	1	57
ENSMUSG00000079566	OG_00012	HQ_SNG_009922	Spin2d	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	63.5593	49.505	0.0	0.0	0.0	0.09090909090909091	0.0	1	58
ENSMUSG00000095452	OG_00012	HQ_SNG_010689	Gm20795	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	58.1897	44.5545	0.0	0.0	0.0	0.09090909090909091	0.0	1	59
ENSMUSG00000096122	OG_00012	HQ_SNG_010864	Gm21943	MOUSE	5	multi_copy	singleton	ENSMFAG00000000052	HQ_00405		MACFA	5	multi_copy	multi_copy	56.8282	42.5743	0.0	0.0	0.0	0.09090909090909091	0.0	1	60
ENSMUSG00000006024	OG_04570	HQ_03017	Napa	MOUSE	5	1to1	1to1	ENSMFAG00000000053	HQ_03017	NAPA	MACFA	5	1to1	1to1	96.6102	76.2032	100.0	0.0	1.0	0.3	0.3	1	1
ENSMUSG00000000142	OG_11540	HQ_09841	Axin2	MOUSE	5	1to1	1to1	ENSMFAG00000000055	HQ_09841	AXIN2	MACFA	5	1to1	1to1	65.4762	63.7312	100.0	46.48	1.0	0.75	0.75	1	1
ENSMUSG00000025383	OG_05144	HQ_03600	Il23a	MOUSE	5	1to1	1to1	ENSMFAG00000000058	HQ_03600	IL23A	MACFA	5	1to1	1to1	70.9184	73.545	100.0	0.0	1.0	0.42857142857142855	0.42857142857142855	1	1
ENSMUSG00000040621	OG_00751	HQ_01079	Gemin8	MOUSE	5	multi_copy	1to1	ENSMFAG00000000059	HQ_01079	GEMIN8	MACFA	5	multi_copy	1to1	68.0672	66.9421	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSMUSG00000036644	OG_14079	HQ_12243	Tbc1d9b	MOUSE	5	1to1	1to1	ENSMFAG00000000062	HQ_12243	TBC1D9B	MACFA	5	1to1	1to1	90.1821	90.9744	100.0	100.0	1.0	0.3333333333333333	0.3333333333333333	1	1
ENSMUSG00000020630	OG_12010	HQ_10294	Rnaseh1	MOUSE	5	1to1	1to1	ENSMFAG00000000063	HQ_10294	RNASEH1	MACFA	5	1to1	1to1	68.7719	66.8942	100.0	0.0	1.0	0.5	0.5	1	1
ENSMUSG00000048170	OG_14158	HQ_12318	Mcmbp	MOUSE	5	1to1	1to1	ENSMFAG00000000064	HQ_12318	MCMBP	MACFA	5	1to1	1to1	83.3333	85.6698	100.0	100.0	1.0	1.0	0.6	1	1
ENSMUSG00000031170	OG_02446	HQ_00887	Slc38a5	MOUSE	5	1to1	1to1	ENSMFAG00000000065	HQ_00887	SLC38A5	MACFA	5	1to1	1to1	60.334	51.8851	50.0	0.0	0.0	0.5	0.2857142857142857	1	1
ENSMUSG00000032745	OG_02835	HQ_01268	Gpbp1	MOUSE	5	1to1	1to1	ENSMFAG00000000066	HQ_01268	GPBP1	MACFA	5	1to1	1to1	95.7404	95.7404	100.0	89.78	1.0	0.4444444444444444	0.4444444444444444	1	1
ENSMUSG00000021177	OG_02619	HQ_01059	Tdp1	MOUSE	5	1to1	1to1	ENSMFAG00000000067	HQ_01059	TDP1	MACFA	5	1to1	1to1	81.7734	79.68	100.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000037157	OG_08481	HQ_06885	Il22ra1	MOUSE	5	1to1	1to1	ENSMFAG00000000068	HQ_06885	IL22RA1	MACFA	5	1to1	1to1	70.9122	71.9023	100.0	0.0	1.0	0.7142857142857143	0.7142857142857143	1	1
ENSMUSG00000028700	OG_03513	HQ_01951	Pomgnt1	MOUSE	5	1to1	1to1	ENSMFAG00000000070	HQ_01951	POMGNT1	MACFA	5	1to1	1to1	98.6364	98.6364	100.0	0.0	1.0	0.6666666666666666	0.6666666666666666	1	1
ENSMUSG00000034210	OG_01665	HQ_00430	Efcab14	MOUSE	5	multi_copy	multi_copy	ENSMFAG00000000071	HQ_00430		MACFA	5	multi_copy	multi_copy	51.2287	76.5537	0.0	0.0	0.0	0.125	0.125	2	1
ENSMUSG00000034457	OG_15807	HQ_14099	Eda2r	MOUSE	4	1to1	1to1	ENSMFAG00000000072	HQ_14099	EDA2R	MACFA	4	1to1	1to1	79.1246	73.8994	100.0	0.0	1.0	0.3333333333333333	0.3333333333333333	1	1
